Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Chrysomelidae			yes	verified	adult			0.0064	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Curculionidae			yes	verified	adult			0.0128	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Scarabeidae			yes	verified	adult			0.04	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Scolytidae			yes	verified	adult			0.016	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera					No		adult			0.0656	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Calliphoridae			yes	verified	adult			0.0096	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Empididae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Muscidae			yes	verified	adult			0.0128	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Rhagionidae			yes	verified	adult			0.0192	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Sarcophagidae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Syrphidae			yes	verified	adult			0.0096	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Tabanidae			yes	verified	adult			0.0192	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Therevidae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera					No		adult			0.24	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hemiptera		Corizidae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hemiptera		Nabidae			yes	verified	adult			0.0064	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hemiptera					No		adult			0.0304	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Homoptera		Corizidae			yes	verified	adult			0.008	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Homoptera		Nabidae			yes	verified	adult			0.0064	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Homoptera		Unidentified			no		adult			0.0304	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Bombidae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Braconidae			yes	verified	adult			0.0064	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Crephidae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Chalcidoidea			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Formicidae			yes	verified	adult			0.2304	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Ichneumonidae			yes	verified	adult			0.0064	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Tenthredinidae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Vespidae			yes	verified	adult			0.0032	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Unidentified			yes	verified	adult			0.0608	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Lepidoptera		Geometridae			yes	verified	adult			0.0117	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Lepidoptera		Nymphalidae			yes	verified	adult			0.0026	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Lepidoptera		Tortricidae			yes	verified	adult			0.0364	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Lepidoptera					no		adult			0.0608	Wt_or_Vol		334							
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Neuroptera					NO		adult			0.02	Wt_or_Vol		334							
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Trichoptera					NO		adult			0.02	Wt_or_Vol		334							
Western Wood-Pewee	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Cleridae			yes	verified	adult			0.01	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Curculionidae			yes	verified	adult			0.02	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Scarabeidae			yes	verified	adult			0.01	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera					No		adult			0.21	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Empididae			yes	verified	adult			0.0093	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Rhagionidae			yes	verified	adult			0.0403	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Syrphidae			yes	verified	adult			0.0093	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Tabanidae			yes	verified	adult			0.031	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera					No		adult			0.2201	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Braconidae			yes	verified	adult			0.0102	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Formicidae			yes	verified	adult			0.0629	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Ichneumonidae			yes	verified	adult			0.0136	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Unidentified			yes	verified	adult			0.0833	Wt_or_Vol		96							
Pacific-slope Flycather	Empidonax difficilis		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Lepidoptera		Tortricidae			yes	verified	adult			0.1364	Wt_or_Vol		96							
