Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		Nabidae				verified				NA	NA	0.0064	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera					Yes					NA	NA	0.0304	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		Cercopidae				verified				NA	NA	0.008	NA			multiple	stomach contents	Order name changed from Homoptera to Hemiptera	YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		Cicadellidae				verified				NA	NA	0.006	NA			multiple	stomach contents	Order name changed from Homoptera to Hemiptera	YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera					Yes					NA	NA	0.006	NA			multiple	stomach contents	Order name changed from Homoptera to Hemiptera	YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Bombidae				unverified				NA	NA	0.0032	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Braconidae				verified				NA	NA	0.0064	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Cephidae				verified				NA	NA	0.0032	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Chalcidoidea				verified				NA	NA	0.0032	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Formicidae		Camponotus herculeanus		verified				NA	NA	0.2304	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Ichneumonidae				verified				NA	NA	0.0064	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Tenthredinidae				verified				NA	NA	0.0032	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Vespidae				verified				NA	NA	0.0032	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera					Yes					NA	NA	0.0608	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Geometridae				verified				NA	NA	0.0117	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Nymphalidae				verified				NA	NA	0.0026	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Tortricidae		Choristoneura fumiferana		verified				NA	NA	0.0364	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera					Yes					NA	NA	0.0793	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Neuroptera						verified				NA	NA	0.02	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Trichoptera						verified				NA	NA	0.02	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Cleridae				verified				NA	NA	0.01	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Curculionidae				verified				NA	NA	0.02	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeidae				unverified				NA	NA	0.01	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera					Yes					NA	NA	0.21	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Empididae				verified				NA	NA	0.0093	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Rhagionidae				verified				NA	NA	0.0403	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Syrphidae				verified				NA	NA	0.0093	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Tabanidae				verified				NA	NA	0.031	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera					Yes					NA	NA	0.2201	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Braconidae				verified				NA	NA	0.0102	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Formicidae		Camponotus herculeanus		verified				NA	NA	0.0629	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera		Ichneumonidae				verified				NA	NA	0.0136	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera					Yes					NA	NA	0.0833	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera		Tortricidae		Choristoneura fumiferana		verified				NA	NA	0.1364	NA	8-12 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera					Yes					NA	NA	0.0836	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Pacific-slope Flycatcher	Empidonax difficilis	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Araneida						unverified				NA	NA	0.02	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeidae				unverified				NA	NA	0.0714	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Hammond's Flycatcher	Empidonax hammondii	Tyrannidae	"AOU 7th ed., 56th supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera					Yes					NA	NA	0.2686	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
