source taxon name	name changed to	taxon id	notes	original source
Tachycellus atrimedius	Bradycellus atrimedeus	ITIS:111003		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Tharops ruficornis	Isorhipis	GBIF:4764415	"reclassified genus, no accepted species name"	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Trogosita virescen	Temnochila virescens	ITIS:113851	misspelling and reclassification	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Ulster 16-striatus	Hister		"misspelled genus, unsure of species"	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Vitis cordifolia	Vitis vulpina	ITIS:28610	renamed and misspelled	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Xylosyctes	Xyloryctes	ITIS:926605	misspelled in publication	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Ephemerida	Ephemeroptera	ITIS:100502	reclassified under Ephemeroptera	"Rathbun, S. F. 1925. The Black Swift and its habits. Auk 42:497-516."
Hemiteline	Ichneumonidae	ITIS: 153360	source taxon was of type tribe and reclassified as Ichneumonidae under hymenoptera	"Rathbun, S. F. 1925. The Black Swift and its habits. Auk 42:497-516."
Myrmeleonitidae	Myrmeleontinae		mispelled in publication and renamed	"Marin, M. 1999b. Food, foraging, and timing of breeding of the Black Swift in California. Wilson Bull. 111:30-37."
Noctuids	Noctuides		misspelled in pulication 	"Errington, P. L. and N. J. Breckenridge. 1938. Food habits of buteo hawks in the north-central United States. Wilson Bull. 50:113-121."
Paniscinae	Panicinae		misspelled in publication	"Rathbun, S. F. 1925. The Black Swift and its habits. Auk 42:497-516."
Trichopteron	Trichoptera	ITIS:115095	misspelled in publication	"Rathbun, S. F. 1925. The Black Swift and its habits. Auk 42:497-516."
Vipionidae	Bibionidae	ITIS:121316	reclassified	"Rathbun, S. F. 1925. The Black Swift and its habits. Auk 42:497-516."
Tettigonioidae	Tettigonioidea	ITIS:650494	reclassified	"Russell, D. N. 1971. Food habits of the starling in eastern Texas. Condor 73:369-372."
Crymodes discicollis	Apamea discicollis		reclassified	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Araneida	Araneidae	ITIS:82737	mispelled in publication and renamed	"French, N. R.. (1959). Life History of the Black Rosy Finch.ï¿½The Auk,ï¿½76(2), 159?180. http://doi.org/10.2307/4081795"
Xylosyctes	Xyloryctes	ITIS:926605	misspelled in publication	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."
Leguminose	Fabaceae  	ITIS:500059	reclassified 	"Dennis, J. V. 1994. A complete guide to bird feeding. Alfred A. Knopf, New York."
Atherestes stomias	Ateresthes stomias	ITIS:172862	misspelled in publication	"Retfalvi, L. 1970. Food of nesting Bald Eagles on San Juan Islan, Washington. Condor 72:358-361."
Plagyodes	Plagiodes		 and reclassfied 	"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. The Condor. 42:198-202."
Romalium	Enaphalodes	ITIS: 701838	reclassified	"Fitch, H. S. 1947. Predation by owls in the Sierran foothills of California. Condor 49:137-151."
Tenbrionidae	Tenebrionidae	ITIS:114419	misspelled in publication 	"Fitch, H. S. 1947. Predation by owls in the Sierran foothills of California. Condor 49:137-151."
Tetigonia hieroglyphica	Graphocephala hieroglyphica		reclassified	"Beal, F. E. L. 1918. Food habits of the swallows, a family of valuable native birds. U.S. Dept. Agric. Bull. 619."
"Sinapsis, Brassica"	Brassicaceae sinapis		reclassified and mispelled in publication 	"Murton, R. and N. Westwood. 1966. The foods of the Rock Dove and feral pigeon. Bird Study 13:130-146."
Megilla maculata	Coleomegilla maculata	ITIS: 692547	reclassified	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Stratiomyiidae	 Stratiomyidae 	IT IS:130150	reclassified and mispelled in publication 	"Bull, E. L. and R. C. Beckwith. 1993. Diet and foraging behavior of Vaux's Swifts in northeastern Oregon. Condor 96:1016-1."
Typhoaea fumata	Typhaea 	ITIS: 187103	misspelled in publication	"Beal, F. E. L. 1918. Food habits of the swallows, a family of valuable native birds. U.S. Dept. Agric. Bull. 619."
Megadrilacea	Haplotaxida 	ITIS: 68498	reclassfied as Lumbricus in order Haplotaxida 	"Newton, I. 1967. The adaptive radiation and feeding ecology of some British finches. Ibis 109:33-98."
Megadrilacea	Haplotaxida 	ITIS: 68498	reclassfied as Lumbricus in order Haplotaxida 	"Hamilton, Jr., W. J. 1951. The food of nestling Bronzed Grackles, Quiscalus quiscula versicolor, in central New York. Auk 68:213-217."
Typophorous viridicyaneus	Typophorus nigritus 		"reclassfied, T. viridicyaneus is now considered a subspecies of T. nigritus "	"Beal, F. E. L. 1918. Food habits of the swallows, a family of valuable native birds. U.S. Dept. Agric. Bull. 619."
				
