"TAXON_ORDER","PRIMARY_COM_NAME","SCI_NAME","Family"
1126,"Red-breasted Partridge","Arborophila hyperythra","Phasianidae"
1129,"Malayan Partridge","Arborophila campbelli","Phasianidae"
1130,"Roll's Partridge","Arborophila rolli","Phasianidae"
1131,"Sumatran Partridge","Arborophila sumatrana","Phasianidae"
1133,"Chestnut-bellied Partridge","Arborophila javanica","Phasianidae"
1136,"Gray-breasted Partridge","Arborophila orientalis","Phasianidae"
1137,"Snow Partridge","Lerwa lerwa","Phasianidae"
1138,"Blood Pheasant","Ithaginis cruentus","Phasianidae"
1153,"Western Tragopan","Tragopan melanocephalus","Phasianidae"
1154,"Satyr Tragopan","Tragopan satyra","Phasianidae"
1155,"Blyth's Tragopan","Tragopan blythii","Phasianidae"
1158,"Temminck's Tragopan","Tragopan temminckii","Phasianidae"
1159,"Cabot's Tragopan","Tragopan caboti","Phasianidae"
1162,"Verreaux's Partridge","Tetraophasis obscurus","Phasianidae"
1163,"Szechenyi's Partridge","Tetraophasis szechenyii","Phasianidae"
1164,"Himalayan Monal","Lophophorus impejanus","Phasianidae"
1165,"Sclater's Monal","Lophophorus sclateri","Phasianidae"
1168,"Chinese Monal","Lophophorus lhuysii","Phasianidae"
1169,"Koklass Pheasant","Pucrasia macrolopha","Phasianidae"
1180,"Wild Turkey","Meleagris gallopavo","Phasianidae"
1188,"Ocellated Turkey","Meleagris ocellata","Phasianidae"
1189,"Ruffed Grouse","Bonasa umbellus","Phasianidae"
1204,"Hazel Grouse","Tetrastes bonasia","Phasianidae"
1217,"Severtzov's Grouse","Tetrastes sewerzowi","Phasianidae"
1218,"Greater Sage-Grouse","Centrocercus urophasianus","Phasianidae"
1219,"Gunnison Sage-Grouse","Centrocercus minimus","Phasianidae"
1221,"Dusky Grouse","Dendragapus obscurus","Phasianidae"
1226,"Sooty Grouse","Dendragapus fuliginosus","Phasianidae"
1232,"Sharp-tailed Grouse","Tympanuchus phasianellus","Phasianidae"
1241,"Greater Prairie-Chicken","Tympanuchus cupido","Phasianidae"
1246,"Lesser Prairie-Chicken","Tympanuchus pallidicinctus","Phasianidae"
1249,"White-tailed Ptarmigan","Lagopus leucura","Phasianidae"
1255,"Willow Ptarmigan","Lagopus lagopus","Phasianidae"
1276,"Rock Ptarmigan","Lagopus muta","Phasianidae"
1308,"Siberian Grouse","Falcipennis falcipennis","Phasianidae"
1309,"Spruce Grouse","Canachites canadensis","Phasianidae"
1320,"Black-billed Capercaillie","Tetrao urogalloides","Phasianidae"
1324,"Western Capercaillie","Tetrao urogallus","Phasianidae"
1333,"Black Grouse","Lyrurus tetrix","Phasianidae"
1342,"Caucasian Grouse","Lyrurus mlokosiewiczi","Phasianidae"
1344,"Long-billed Partridge","Rhizothera longirostris","Phasianidae"
1345,"Dulit Partridge","Rhizothera dulitensis","Phasianidae"
1346,"Tibetan Partridge","Perdix hodgsoniae","Phasianidae"
1350,"Gray Partridge","Perdix perdix","Phasianidae"
1358,"Daurian Partridge","Perdix dauurica","Phasianidae"
1361,"Copper Pheasant","Syrmaticus soemmerringii","Phasianidae"
1367,"Reeves's Pheasant","Syrmaticus reevesii","Phasianidae"
1368,"Mikado Pheasant","Syrmaticus mikado","Phasianidae"
1369,"Elliot's Pheasant","Syrmaticus ellioti","Phasianidae"
1370,"Hume's Pheasant","Syrmaticus humiae","Phasianidae"
1373,"Golden Pheasant","Chrysolophus pictus","Phasianidae"
1374,"Lady Amherst's Pheasant","Chrysolophus amherstiae","Phasianidae"
1375,"Ring-necked Pheasant","Phasianus colchicus","Phasianidae"
1412,"Cheer Pheasant","Catreus wallichii","Phasianidae"
1413,"Tibetan Eared-Pheasant","Crossoptilon harmani","Phasianidae"
1414,"White Eared-Pheasant","Crossoptilon crossoptilon","Phasianidae"
1421,"Brown Eared-Pheasant","Crossoptilon mantchuricum","Phasianidae"
1422,"Blue Eared-Pheasant","Crossoptilon auritum","Phasianidae"
1423,"Edwards's Pheasant","Lophura edwardsi","Phasianidae"
1424,"Swinhoe's Pheasant","Lophura swinhoii","Phasianidae"
1425,"Bulwer's Pheasant","Lophura bulweri","Phasianidae"
1426,"Kalij Pheasant","Lophura leucomelanos","Phasianidae"
1436,"Silver Pheasant","Lophura nycthemera","Phasianidae"
1453,"Crestless Fireback","Lophura erythrophthalma","Phasianidae"
1456,"Siamese Fireback","Lophura diardi","Phasianidae"
1457,"Salvadori's Pheasant","Lophura inornata","Phasianidae"
1460,"Crested Fireback","Lophura ignita","Phasianidae"
1465,"Vietnamese Crested Argus","Rheinardia ocellata","Phasianidae"
1466,"Malayan Crested Argus","Rheinardia nigrescens","Phasianidae"
1467,"Great Argus","Argusianus argus","Phasianidae"
1470,"Congo Peacock","Afropavo congensis","Phasianidae"
1471,"Indian Peafowl","Pavo cristatus","Phasianidae"
1473,"Green Peafowl","Pavo muticus","Phasianidae"
1478,"Scaly-breasted Partridge","Tropicoperdix chloropus","Phasianidae"
1487,"Chestnut-necklaced Partridge","Tropicoperdix charltonii","Phasianidae"
1493,"Crimson-headed Partridge","Haematortyx sanguiniceps","Phasianidae"
1494,"Red Spurfowl","Galloperdix spadicea","Phasianidae"
