TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
145,species,rustin1,,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
146,species,bartin2,,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),Tinamous,
147,species,smbtin1,,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
148,species,bartin1,,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),Tinamous,
149,species,tattin1,,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
154,spuh,cryptu1,,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
155,species,rewtin1,,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),Tinamous,
159,species,huatin1,,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),Tinamous,
160,species,tactin1,,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
161,species,orntin1,,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),Tinamous,
165,species,chitin1,,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),Tinamous,
168,species,brutin1,,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),Tinamous,
171,species,andtin1,,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
180,species,cubtin1,,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
183,spuh,nothop1,,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
184,species,whbnot1,,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),Tinamous,
185,species,lesnot1,,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),Tinamous,
186,species,darnot1,,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
192,species,sponot1,,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
202,slash,y01225,,White-bellied/Spotted Nothura,Nothura boraquira/maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
203,slash,y01226,,Lesser/Spotted Nothura,Nothura minor/maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
204,species,dwatin1,,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
205,species,elctin1,,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),Tinamous,
216,species,quctin1,,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
219,species,puntin1,,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
220,species,pattin1,,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
221,spuh,tinamo1,,tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
223,species,horscr1,,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Screamers,
224,species,souscr1,,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),Screamers,
225,species,norscr1,,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),Screamers,
227,species,maggoo1,,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Waterfowl,
229,species,spwduc1,,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
230,species,plwduc1,,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
231,species,wfwduc1,,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
232,hybrid,x00721,,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
233,species,bbwduc,,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
234,issf,bkbwhd1,,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,bbwduc
235,issf,bkbwhd2,,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,bbwduc
236,hybrid,x01141,,White-faced x Black-bellied Whistling-Duck (hybrid),Dendrocygna viduata x autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
237,species,wiwduc1,,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
238,hybrid,x00775,,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
239,species,fuwduc,,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
240,hybrid,x00938,,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
241,hybrid,x00875,,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
242,species,wawduc1,,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
246,hybrid,x00990,,Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
247,slash,y01227,,Plumed/Wandering Whistling-Duck,Dendrocygna eytoni/arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
248,species,lewduc1,,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
249,slash,y01080,,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
250,hybrid,x00360,,Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
251,spuh,whistl1,,whistling-duck sp.,Dendrocygna sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
252,species,whbduc1,,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
255,species,bahgoo,,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
256,species,empgoo,,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
257,species,snogoo,,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
260,hybrid,x00991,,Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
261,species,rosgoo,,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
262,hybrid,sxrgoo1,,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
263,slash,y00469,,Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
264,species,gragoo,,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
265,issf,gragoo2,,Graylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
266,issf,gragoo3,,Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
267,domestic,gragoo1,,Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
268,hybrid,x00992,,Bar-headed x Graylag Goose (hybrid),Anser indicus x anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
269,hybrid,x01119,,Emperor x Graylag Goose (hybrid),Anser canagicus x anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
270,species,swagoo1,,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
271,domestic,swagoo2,,Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,swagoo1
272,hybrid,x01143,,Bar-headed x Swan Goose (hybrid),Anser indicus x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
273,hybrid,x01144,,Snow x Swan Goose (hybrid),Anser caerulescens x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
274,hybrid,x01142,,Bar-headed x Snow x Swan Goose (hybrid),Anser indicus x caerulescens x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
275,hybrid,x00776,,Graylag x Swan Goose (hybrid),Anser anser x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
276,species,gwfgoo,,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
277,issf,gwfgoo1,,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
278,issf,gwfgoo4,,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
279,issf,gwfgoo2,,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
282,issf,gwfgoo3,,Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
283,hybrid,x00755,,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
284,hybrid,x00361,,Emperor x Greater White-fronted Goose (hybrid),Anser canagicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
285,hybrid,x00627,,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
286,hybrid,x00362,,Ross's x Greater White-fronted Goose (hybrid),Anser rossii x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
287,hybrid,x01145,,Graylag x Greater White-fronted Goose (hybrid),Anser anser x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
288,species,lwfgoo,,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
289,slash,y00707,,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
290,species,taibeg1,,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
294,species,tunbeg1,,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
297,hybrid,x01089,,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),Anser albifrons x serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
298,slash,y00468,,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
299,species,pifgoo,,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
300,domestic,domgoo1,,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
301,spuh,anser1,,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
302,species,brant,,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
303,issf,dabbra1,,Brant (Dark-bellied),Branta bernicla bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
304,issf,atlbra1,,Brant (Atlantic),Branta bernicla hrota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
305,issf,blkbra1,,Brant (Black),Branta bernicla nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
306,form,gybbra1,,Brant (Gray-bellied),Branta bernicla (Gray-bellied),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
307,intergrade,brant2,,Brant (Dark-bellied x Black),Branta bernicla bernicla x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
308,intergrade,brant1,,Brant (Atlantic x Black),Branta bernicla hrota x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
309,hybrid,x00685,,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
310,species,bargoo,,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
311,hybrid,x00363,,Bar-headed x Barnacle Goose (hybrid),Anser indicus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
312,hybrid,x00993,,Emperor x Barnacle Goose (hybrid),Anser canagicus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
313,hybrid,x00994,,Snow x Barnacle Goose (hybrid),Anser caerulescens x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
314,hybrid,x00995,,Ross's x Barnacle Goose (hybrid),Anser rossii x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
315,hybrid,x00649,,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
316,hybrid,x00757,,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
317,hybrid,x00364,,Lesser White-fronted x Barnacle Goose (hybrid),Anser erythropus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
318,hybrid,x00756,,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
319,species,cacgoo1,,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
320,issf,alcgoo1,,Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
321,issf,ricgoo1,,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
322,issf,cacgoo2,,Cackling Goose (minima),Branta hutchinsii minima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
323,issf,tacgoo1,,Cackling Goose (Taverner's),Branta hutchinsii taverneri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cacgoo1
324,hybrid,x00831,,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
325,hybrid,x00692,,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
326,hybrid,x00694,,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
327,hybrid,x00722,,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
328,hybrid,x00414,,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
329,hybrid,x00416,,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
330,species,cangoo,,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
331,issf,cangoo4,,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cangoo
334,issf,cangoo3,,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cangoo
337,issf,cangoo1,,Canada Goose (canadensis Group),Branta canadensis [canadensis Group],Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,cangoo
341,hybrid,x00908,,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
342,hybrid,swagoo3,,Swan Goose x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
343,hybrid,x00650,,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
344,hybrid,x00415,,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
345,hybrid,x01088,,Greater White-fronted x Cackling/Canada Goose (hybrid),Anser albifrons x Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
346,hybrid,x00758,,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
347,hybrid,x00759,,Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
348,hybrid,x00197,,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
349,hybrid,x00693,,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
350,hybrid,x00417,,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
351,slash,y00470,,Cackling/Canada Goose,Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
352,hybrid,y00765,,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
