Order,CommonName,SciName,Status
117,Western Grebe,Aechmophorus occidentalis,
118,Clark's Grebe,Aechmophorus clarkii,
119,Rock Pigeon,Columba livia,Introduced species
120,Scaly-naped Pigeon,Patagioenas squamosa,Rare/Accidental
121,White-crowned Pigeon,Patagioenas leucocephala,Near-threatened
122,Red-billed Pigeon,Patagioenas flavirostris,
123,Band-tailed Pigeon,Patagioenas fasciata,
124,Passenger Pigeon,Ectopistes migratorius,Extinct
125,European Turtle-Dove,Streptopelia turtur,Rare/Accidental Vulnerable
126,Oriental Turtle-Dove,Streptopelia orientalis,
127,Eurasian Collared-Dove,Streptopelia decaocto,Introduced species
128,African Collared-Dove,Streptopelia roseogrisea,Introduced species
129,Spotted Dove,Streptopelia chinensis,Introduced species
130,Laughing Dove,Streptopelia senegalensis,Introduced species
131,Zebra Dove,Geopelia striata,
132,Inca Dove,Columbina inca,
133,Common Ground-Dove,Columbina passerina,
134,Ruddy Ground-Dove,Columbina talpacoti,
135,Ruddy Quail-Dove,Geotrygon montana,Rare/Accidental
136,Key West Quail-Dove,Geotrygon chrysia,Rare/Accidental
137,White-tipped Dove,Leptotila verreauxi,
138,White-winged Dove,Zenaida asiatica,
139,Zenaida Dove,Zenaida aurita,Rare/Accidental
140,Mourning Dove,Zenaida macroura,
141,Chestnut-bellied Sandgrouse,Pterocles exustus,Introduced species
142,Smooth-billed Ani,Crotophaga ani,
143,Groove-billed Ani,Crotophaga sulcirostris,
144,Lesser Roadrunner,Geococcyx velox,
145,Greater Roadrunner,Geococcyx californianus,
146,Dark-billed Cuckoo,Coccyzus melacoryphus,Rare/Accidental
147,Yellow-billed Cuckoo,Coccyzus americanus,
148,Mangrove Cuckoo,Coccyzus minor,
149,Black-billed Cuckoo,Coccyzus erythropthalmus,
150,Common Cuckoo,Cuculus canorus,
151,Oriental Cuckoo,Cuculus optatus,Rare/Accidental
152,Lesser Nighthawk,Chordeiles acutipennis,
153,Common Nighthawk,Chordeiles minor,
154,Antillean Nighthawk,Chordeiles gundlachii,
155,Common Pauraque,Nyctidromus albicollis,
156,Common Poorwill,Phalaenoptilus nuttallii,
157,Chuck-will's-widow,Antrostomus carolinensis,
158,Buff-collared Nightjar,Antrostomus ridgwayi,
159,Eastern Whip-poor-will,Antrostomus vociferus,
160,Mexican Whip-poor-will,Antrostomus arizonae,
161,Gray Nightjar,Caprimulgus jotaka,Rare/Accidental
162,Black Swift,Cypseloides niger,
163,White-collared Swift,Streptoprocne zonaris,Rare/Accidental
164,Chimney Swift,Chaetura pelagica,Near-threatened
165,Vaux's Swift,Chaetura vauxi,
166,White-throated Needletail,Hirundapus caudacutus,
167,Mariana Swiftlet,Aerodramus bartschi,Introduced species Endangered
168,White-nest Swiftlet,Aerodramus fuciphagus,
169,Common Swift,Apus apus,
170,Pacific Swift,Apus pacificus,
171,House Swift,Apus nipalensis,Rare/Accidental
