"common_name","sci_name","code","family","order"
"Green-winged Teal","Anas crecca",1,"Anatidae","Anseriformes"
"Mottled Duck","Anas fulvigula",1,"Anatidae","Anseriformes"
"Laysan Duck","Anas laysanensis",3,"Anatidae","Anseriformes"
"Mallard","Anas platyrhynchos",1,"Anatidae","Anseriformes"
"American Black Duck","Anas rubripes",1,"Anatidae","Anseriformes"
"Hawaiian Duck","Anas wyvilliana",2,"Anatidae","Anseriformes"
"Greater White-fronted Goose","Anser albifrons",1,"Anatidae","Anseriformes"
"Snow Goose","Anser caerulescens",1,"Anatidae","Anseriformes"
"Emperor Goose","Anser canagicus",2,"Anatidae","Anseriformes"
"Taiga Bean-Goose","Anser fabalis",3,"Anatidae","Anseriformes"
"Ross's Goose","Anser rossii",1,"Anatidae","Anseriformes"
"Tundra Bean-Goose","Anser serrirostris",3,"Anatidae","Anseriformes"
"Lesser Scaup","Aythya affinis",1,"Anatidae","Anseriformes"
"Redhead","Aythya americana",1,"Anatidae","Anseriformes"
"Ring-necked Duck","Aythya collaris",1,"Anatidae","Anseriformes"
"Common Pochard","Aythya ferina",3,"Anatidae","Anseriformes"
"Tufted Duck","Aythya fuligula",3,"Anatidae","Anseriformes"
"Greater Scaup","Aythya marila",1,"Anatidae","Anseriformes"
"Canvasback","Aythya valisineria",1,"Anatidae","Anseriformes"
"Brant","Branta bernicla",1,"Anatidae","Anseriformes"
"Canada Goose","Branta canadensis",1,"Anatidae","Anseriformes"
"Cackling Goose","Branta hutchinsii",1,"Anatidae","Anseriformes"
"Hawaiian Goose","Branta sandvicensis",2,"Anatidae","Anseriformes"
"Bufflehead","Bucephala albeola",1,"Anatidae","Anseriformes"
"Common Goldeneye","Bucephala clangula",1,"Anatidae","Anseriformes"
"Barrow's Goldeneye","Bucephala islandica",1,"Anatidae","Anseriformes"
"Muscovy Duck","Cairina moschata",2,"Anatidae","Anseriformes"
"Long-tailed Duck","Clangula hyemalis",1,"Anatidae","Anseriformes"
"Trumpeter Swan","Cygnus buccinator",1,"Anatidae","Anseriformes"
"Tundra Swan","Cygnus columbianus",1,"Anatidae","Anseriformes"
"Whooper Swan","Cygnus cygnus",3,"Anatidae","Anseriformes"
"Mute Swan","Cygnus olor",1,"Anatidae","Anseriformes"
"Black-bellied Whistling-Duck","Dendrocygna autumnalis",1,"Anatidae","Anseriformes"
"Fulvous Whistling-Duck","Dendrocygna bicolor",1,"Anatidae","Anseriformes"
"Harlequin Duck","Histrionicus histrionicus",1,"Anatidae","Anseriformes"
"Hooded Merganser","Lophodytes cucullatus",1,"Anatidae","Anseriformes"
"American Wigeon","Mareca americana",1,"Anatidae","Anseriformes"
"Eurasian Wigeon","Mareca penelope",2,"Anatidae","Anseriformes"
"Gadwall","Mareca strepera",1,"Anatidae","Anseriformes"
"Black Scoter","Melanitta americana",1,"Anatidae","Anseriformes"
"White-winged Scoter","Melanitta deglandi",1,"Anatidae","Anseriformes"
"Surf Scoter","Melanitta perspicillata",1,"Anatidae","Anseriformes"
"Smew","Mergellus albellus",3,"Anatidae","Anseriformes"
"Common Merganser","Mergus merganser",1,"Anatidae","Anseriformes"
"Red-breasted Merganser","Mergus serrator",1,"Anatidae","Anseriformes"
"Masked Duck","Nomonyx dominicus",3,"Anatidae","Anseriformes"
"Ruddy Duck","Oxyura jamaicensis",1,"Anatidae","Anseriformes"
"Steller's Eider","Polysticta stelleri",2,"Anatidae","Anseriformes"
"Spectacled Eider","Somateria fischeri",2,"Anatidae","Anseriformes"
"Common Eider","Somateria mollissima",1,"Anatidae","Anseriformes"
"King Eider","Somateria spectabilis",2,"Anatidae","Anseriformes"
"Northern Shoveler","Spatula clypeata",1,"Anatidae","Anseriformes"
"Cinnamon Teal","Spatula cyanoptera",1,"Anatidae","Anseriformes"
"Blue-winged Teal","Spatula discors",1,"Anatidae","Anseriformes"
"Mariana Swiftlet","Aerodramus bartschi",3,"Apodidae","Caprimulgiformes"
"White-throated Swift","Aeronautes saxatalis",1,"Apodidae","Caprimulgiformes"
"Chimney Swift","Chaetura pelagica",1,"Apodidae","Caprimulgiformes"
"Vaux's Swift","Chaetura vauxi",1,"Apodidae","Caprimulgiformes"
"Black Swift","Cypseloides niger",2,"Apodidae","Caprimulgiformes"
"Mexican Whip-poor-will","Antrostomus arizonae",2,"Caprimulgidae","Caprimulgiformes"
"Chuck-will's-widow","Antrostomus carolinensis",1,"Caprimulgidae","Caprimulgiformes"
"Buff-collared Nightjar","Antrostomus ridgwayi",3,"Caprimulgidae","Caprimulgiformes"
"Eastern Whip-poor-will","Antrostomus vociferus",1,"Caprimulgidae","Caprimulgiformes"
"Lesser Nighthawk","Chordeiles acutipennis",1,"Caprimulgidae","Caprimulgiformes"
"Antillean Nighthawk","Chordeiles gundlachii",2,"Caprimulgidae","Caprimulgiformes"
"Common Nighthawk","Chordeiles minor",1,"Caprimulgidae","Caprimulgiformes"
"Common Pauraque","Nyctidromus albicollis",2,"Caprimulgidae","Caprimulgiformes"
"Common Poorwill","Phalaenoptilus nuttallii",1,"Caprimulgidae","Caprimulgiformes"
"Berylline Hummingbird","Amazilia beryllina",3,"Trochilidae","Caprimulgiformes"
"Violet-crowned Hummingbird","Amazilia violiceps",2,"Trochilidae","Caprimulgiformes"
"Buff-bellied Hummingbird","Amazilia yucatanensis",2,"Trochilidae","Caprimulgiformes"
"Black-chinned Hummingbird","Archilochus alexandri",1,"Trochilidae","Caprimulgiformes"
"Ruby-throated Hummingbird","Archilochus colubris",1,"Trochilidae","Caprimulgiformes"
"Lucifer Hummingbird","Calothorax lucifer",2,"Trochilidae","Caprimulgiformes"
"Anna's Hummingbird","Calypte anna",1,"Trochilidae","Caprimulgiformes"
"Costa's Hummingbird","Calypte costae",1,"Trochilidae","Caprimulgiformes"
"Mexican Violetear","Colibri thalassinus",3,"Trochilidae","Caprimulgiformes"
"Broad-billed Hummingbird","Cynanthus latirostris",2,"Trochilidae","Caprimulgiformes"
"Rivoli's Hummingbird","Eugenes fulgens",2,"Trochilidae","Caprimulgiformes"
"White-eared Hummingbird","Hylocharis leucotis",3,"Trochilidae","Caprimulgiformes"
"Blue-throated Mountain-gem","Lampornis clemenciae",2,"Trochilidae","Caprimulgiformes"
"Calliope Hummingbird","Selasphorus calliope",1,"Trochilidae","Caprimulgiformes"
"Broad-tailed Hummingbird","Selasphorus platycercus",1,"Trochilidae","Caprimulgiformes"
"Rufous Hummingbird","Selasphorus rufus",1,"Trochilidae","Caprimulgiformes"
"Allen's Hummingbird","Selasphorus sasin",1,"Trochilidae","Caprimulgiformes"
"Turkey Vulture","Cathartes aura",1,"Cathartidae","Cathartiformes"
"Black Vulture","Coragyps atratus",1,"Cathartidae","Cathartiformes"
"California Condor","Gymnogyps californianus",2,"Cathartidae","Cathartiformes"
"Crested Auklet","Aethia cristatella",2,"Alcidae","Charadriiformes"
"Parakeet Auklet","Aethia psittacula",2,"Alcidae","Charadriiformes"
"Least Auklet","Aethia pusilla",2,"Alcidae","Charadriiformes"
"Whiskered Auklet","Aethia pygmaea",2,"Alcidae","Charadriiformes"
"Razorbill","Alca torda",1,"Alcidae","Charadriiformes"
"Dovekie","Alle alle",2,"Alcidae","Charadriiformes"
"Kittlitz's Murrelet","Brachyramphus brevirostris",2,"Alcidae","Charadriiformes"
"Marbled Murrelet","Brachyramphus marmoratus",1,"Alcidae","Charadriiformes"
"Long-billed Murrelet","Brachyramphus perdix",3,"Alcidae","Charadriiformes"
"Pigeon Guillemot","Cepphus columba",1,"Alcidae","Charadriiformes"
"Black Guillemot","Cepphus grylle",1,"Alcidae","Charadriiformes"
"Rhinoceros Auklet","Cerorhinca monocerata",1,"Alcidae","Charadriiformes"
"Atlantic Puffin","Fratercula arctica",1,"Alcidae","Charadriiformes"
"Tufted Puffin","Fratercula cirrhata",1,"Alcidae","Charadriiformes"
"Horned Puffin","Fratercula corniculata",1,"Alcidae","Charadriiformes"
"Cassin's Auklet","Ptychoramphus aleuticus",1,"Alcidae","Charadriiformes"
"Ancient Murrelet","Synthliboramphus antiquus",2,"Alcidae","Charadriiformes"
"Craveri's Murrelet","Synthliboramphus craveri",3,"Alcidae","Charadriiformes"
"Guadalupe Murrelet","Synthliboramphus hypoleucus",3,"Alcidae","Charadriiformes"
"Scripps's Murrelet","Synthliboramphus scrippsi",2,"Alcidae","Charadriiformes"
"Common Murre","Uria aalge",1,"Alcidae","Charadriiformes"
"Thick-billed Murre","Uria lomvia",1,"Alcidae","Charadriiformes"
"Common Ringed Plover","Charadrius hiaticula",3,"Charadriidae","Charadriiformes"
"Piping Plover","Charadrius melodus",2,"Charadriidae","Charadriiformes"
"Lesser Sand-Plover","Charadrius mongolus",3,"Charadriidae","Charadriiformes"
"Mountain Plover","Charadrius montanus",2,"Charadriidae","Charadriiformes"
"Snowy Plover","Charadrius nivosus",1,"Charadriidae","Charadriiformes"
"Semipalmated Plover","Charadrius semipalmatus",1,"Charadriidae","Charadriiformes"
"Killdeer","Charadrius vociferus",1,"Charadriidae","Charadriiformes"
"Wilson's Plover","Charadrius wilsonia",1,"Charadriidae","Charadriiformes"
"American Golden-Plover","Pluvialis dominica",1,"Charadriidae","Charadriiformes"
"Pacific Golden-Plover","Pluvialis fulva",2,"Charadriidae","Charadriiformes"
"Black-bellied Plover","Pluvialis squatarola",1,"Charadriidae","Charadriiformes"
"Black Oystercatcher","Haematopus bachmani",1,"Haematopodidae","Charadriiformes"
"American Oystercatcher","Haematopus palliatus",1,"Haematopodidae","Charadriiformes"
"Blue-gray Noddy","Anous ceruleus",3,"Laridae","Charadriiformes"
"Black Noddy","Anous minutus",2,"Laridae","Charadriiformes"
"Brown Noddy","Anous stolidus",2,"Laridae","Charadriiformes"
"Black Tern","Chlidonias niger",1,"Laridae","Charadriiformes"
"Bonaparte's Gull","Chroicocephalus philadelphia",1,"Laridae","Charadriiformes"
"Black-headed Gull","Chroicocephalus ridibundus",2,"Laridae","Charadriiformes"
"Gull-billed Tern","Gelochelidon nilotica",1,"Laridae","Charadriiformes"
"White Tern","Gygis alba",2,"Laridae","Charadriiformes"
"Little Gull","Hydrocoloeus minutus",2,"Laridae","Charadriiformes"
"Caspian Tern","Hydroprogne caspia",1,"Laridae","Charadriiformes"
"Herring Gull","Larus argentatus",1,"Laridae","Charadriiformes"
"California Gull","Larus californicus",1,"Laridae","Charadriiformes"
"Mew Gull","Larus canus",1,"Laridae","Charadriiformes"
"Ring-billed Gull","Larus delawarensis",1,"Laridae","Charadriiformes"
"Lesser Black-backed Gull","Larus fuscus",2,"Laridae","Charadriiformes"
"Glaucous-winged Gull","Larus glaucescens",1,"Laridae","Charadriiformes"
"Iceland Gull","Larus glaucoides",1,"Laridae","Charadriiformes"
"Heermann's Gull","Larus heermanni",1,"Laridae","Charadriiformes"
"Glaucous Gull","Larus hyperboreus",1,"Laridae","Charadriiformes"
"Yellow-footed Gull","Larus livens",3,"Laridae","Charadriiformes"
"Great Black-backed Gull","Larus marinus",1,"Laridae","Charadriiformes"
"Western Gull","Larus occidentalis",1,"Laridae","Charadriiformes"
"Slaty-backed Gull","Larus schistisagus",3,"Laridae","Charadriiformes"
"Laughing Gull","Leucophaeus atricilla",1,"Laridae","Charadriiformes"
"Franklin's Gull","Leucophaeus pipixcan",1,"Laridae","Charadriiformes"
"Aleutian Tern","Onychoprion aleuticus",2,"Laridae","Charadriiformes"
"Bridled Tern","Onychoprion anaethetus",2,"Laridae","Charadriiformes"
"Sooty Tern","Onychoprion fuscatus",2,"Laridae","Charadriiformes"
"Gray-backed Tern","Onychoprion lunatus",2,"Laridae","Charadriiformes"
"Ivory Gull","Pagophila eburnea",3,"Laridae","Charadriiformes"
"Ross's Gull","Rhodostethia rosea",3,"Laridae","Charadriiformes"
"Red-legged Kittiwake","Rissa brevirostris",2,"Laridae","Charadriiformes"
"Black-legged Kittiwake","Rissa tridactyla",1,"Laridae","Charadriiformes"
"Black Skimmer","Rynchops niger",1,"Laridae","Charadriiformes"
"Roseate Tern","Sterna dougallii",2,"Laridae","Charadriiformes"
"Forster's Tern","Sterna forsteri",1,"Laridae","Charadriiformes"
"Common Tern","Sterna hirundo",1,"Laridae","Charadriiformes"
"Arctic Tern","Sterna paradisaea",1,"Laridae","Charadriiformes"
"Least Tern","Sternula antillarum",1,"Laridae","Charadriiformes"
"Elegant Tern","Thalasseus elegans",1,"Laridae","Charadriiformes"
"Royal Tern","Thalasseus maximus",1,"Laridae","Charadriiformes"
"Sandwich Tern","Thalasseus sandvicensis",1,"Laridae","Charadriiformes"
"Sabine's Gull","Xema sabini",1,"Laridae","Charadriiformes"
"Black-necked Stilt","Himantopus mexicanus",1,"Recurvirostridae","Charadriiformes"
"American Avocet","Recurvirostra americana",1,"Recurvirostridae","Charadriiformes"
"Common Sandpiper","Actitis hypoleucos",3,"Scolopacidae","Charadriiformes"
"Spotted Sandpiper","Actitis macularius",1,"Scolopacidae","Charadriiformes"
"Ruddy Turnstone","Arenaria interpres",1,"Scolopacidae","Charadriiformes"
"Black Turnstone","Arenaria melanocephala",1,"Scolopacidae","Charadriiformes"
"Upland Sandpiper","Bartramia longicauda",1,"Scolopacidae","Charadriiformes"
"Sharp-tailed Sandpiper","Calidris acuminata",3,"Scolopacidae","Charadriiformes"
"Sanderling","Calidris alba",1,"Scolopacidae","Charadriiformes"
"Dunlin","Calidris alpina",1,"Scolopacidae","Charadriiformes"
"Baird's Sandpiper","Calidris bairdii",1,"Scolopacidae","Charadriiformes"
"Red Knot","Calidris canutus",1,"Scolopacidae","Charadriiformes"
"Curlew Sandpiper","Calidris ferruginea",3,"Scolopacidae","Charadriiformes"
"White-rumped Sandpiper","Calidris fuscicollis",1,"Scolopacidae","Charadriiformes"
"Stilt Sandpiper","Calidris himantopus",1,"Scolopacidae","Charadriiformes"
"Purple Sandpiper","Calidris maritima",1,"Scolopacidae","Charadriiformes"
"Western Sandpiper","Calidris mauri",1,"Scolopacidae","Charadriiformes"
"Pectoral Sandpiper","Calidris melanotos",1,"Scolopacidae","Charadriiformes"
"Least Sandpiper","Calidris minutilla",1,"Scolopacidae","Charadriiformes"
"Rock Sandpiper","Calidris ptilocnemis",2,"Scolopacidae","Charadriiformes"
"Ruff","Calidris pugnax",3,"Scolopacidae","Charadriiformes"
"Semipalmated Sandpiper","Calidris pusilla",1,"Scolopacidae","Charadriiformes"
"Red-necked Stint","Calidris ruficollis",3,"Scolopacidae","Charadriiformes"
"Long-toed Stint","Calidris subminuta",3,"Scolopacidae","Charadriiformes"
"Buff-breasted Sandpiper","Calidris subruficollis",1,"Scolopacidae","Charadriiformes"
"Temminck's Stint","Calidris temminckii",3,"Scolopacidae","Charadriiformes"
"Surfbird","Calidris virgata",1,"Scolopacidae","Charadriiformes"
"Wilson's Snipe","Gallinago delicata",1,"Scolopacidae","Charadriiformes"
"Common Snipe","Gallinago gallinago",3,"Scolopacidae","Charadriiformes"
"Short-billed Dowitcher","Limnodromus griseus",1,"Scolopacidae","Charadriiformes"
"Long-billed Dowitcher","Limnodromus scolopaceus",1,"Scolopacidae","Charadriiformes"
"Marbled Godwit","Limosa fedoa",1,"Scolopacidae","Charadriiformes"
"Hudsonian Godwit","Limosa haemastica",1,"Scolopacidae","Charadriiformes"
"Bar-tailed Godwit","Limosa lapponica",2,"Scolopacidae","Charadriiformes"
"Black-tailed Godwit","Limosa limosa",3,"Scolopacidae","Charadriiformes"
"Long-billed Curlew","Numenius americanus",1,"Scolopacidae","Charadriiformes"
"Whimbrel","Numenius phaeopus",1,"Scolopacidae","Charadriiformes"
"Bristle-thighed Curlew","Numenius tahitiensis",2,"Scolopacidae","Charadriiformes"
"Red Phalarope","Phalaropus fulicarius",1,"Scolopacidae","Charadriiformes"
"Red-necked Phalarope","Phalaropus lobatus",1,"Scolopacidae","Charadriiformes"
"Wilson's Phalarope","Phalaropus tricolor",1,"Scolopacidae","Charadriiformes"
"American Woodcock","Scolopax minor",1,"Scolopacidae","Charadriiformes"
"Gray-tailed Tattler","Tringa brevipes",3,"Scolopacidae","Charadriiformes"
"Lesser Yellowlegs","Tringa flavipes",1,"Scolopacidae","Charadriiformes"
"Wood Sandpiper","Tringa glareola",2,"Scolopacidae","Charadriiformes"
"Wandering Tattler","Tringa incana",1,"Scolopacidae","Charadriiformes"
"Greater Yellowlegs","Tringa melanoleuca",1,"Scolopacidae","Charadriiformes"
"Common Greenshank","Tringa nebularia",3,"Scolopacidae","Charadriiformes"
"Willet","Tringa semipalmata",1,"Scolopacidae","Charadriiformes"
"Solitary Sandpiper","Tringa solitaria",1,"Scolopacidae","Charadriiformes"
"Terek Sandpiper","Xenus cinereus",3,"Scolopacidae","Charadriiformes"
"Long-tailed Jaeger","Stercorarius longicaudus",1,"Stercorariidae","Charadriiformes"
"South Polar Skua","Stercorarius maccormicki",2,"Stercorariidae","Charadriiformes"
"Parasitic Jaeger","Stercorarius parasiticus",1,"Stercorariidae","Charadriiformes"
"Pomarine Jaeger","Stercorarius pomarinus",1,"Stercorariidae","Charadriiformes"
"Great Skua","Stercorarius skua",3,"Stercorariidae","Charadriiformes"
"Wood Stork","Mycteria americana",1,"Ciconiidae","Ciconiiformes"
"Rock Pigeon","Columba livia",1,"Columbidae","Columbiformes"
"Inca Dove","Columbina inca",1,"Columbidae","Columbiformes"
"Common Ground Dove","Columbina passerina",1,"Columbidae","Columbiformes"
"Ruddy Ground Dove","Columbina talpacoti",3,"Columbidae","Columbiformes"
"Zebra Dove","Geopelia striata",2,"Columbidae","Columbiformes"
"White-tipped Dove","Leptotila verreauxi",2,"Columbidae","Columbiformes"
"Band-tailed Pigeon","Patagioenas fasciata",1,"Columbidae","Columbiformes"
"Red-billed Pigeon","Patagioenas flavirostris",2,"Columbidae","Columbiformes"
"White-crowned Pigeon","Patagioenas leucocephala",2,"Columbidae","Columbiformes"
"Spotted Dove","Streptopelia chinensis",2,"Columbidae","Columbiformes"
"Eurasian Collared-Dove","Streptopelia decaocto",1,"Columbidae","Columbiformes"
"White-winged Dove","Zenaida asiatica",1,"Columbidae","Columbiformes"
"Mourning Dove","Zenaida macroura",1,"Columbidae","Columbiformes"
"Green Kingfisher","Chloroceryle americana",2,"Alcedinidae","Coraciiformes"
"Belted Kingfisher","Megaceryle alcyon",1,"Alcedinidae","Coraciiformes"
"Ringed Kingfisher","Megaceryle torquata",2,"Alcedinidae","Coraciiformes"
"Yellow-billed Cuckoo","Coccyzus americanus",1,"Cuculidae","Cuculiformes"
"Black-billed Cuckoo","Coccyzus erythropthalmus",1,"Cuculidae","Cuculiformes"
"Mangrove Cuckoo","Coccyzus minor",2,"Cuculidae","Cuculiformes"
"Smooth-billed Ani","Crotophaga ani",3,"Cuculidae","Cuculiformes"
"Groove-billed Ani","Crotophaga sulcirostris",2,"Cuculidae","Cuculiformes"
"Common Cuckoo","Cuculus canorus",3,"Cuculidae","Cuculiformes"
"Greater Roadrunner","Geococcyx californianus",1,"Cuculidae","Cuculiformes"
"Crested Caracara","Caracara cheriway",2,"Falconidae","Falconiformes"
"Merlin","Falco columbarius",1,"Falconidae","Falconiformes"
"Aplomado Falcon","Falco femoralis",3,"Falconidae","Falconiformes"
"Prairie Falcon","Falco mexicanus",1,"Falconidae","Falconiformes"
"Peregrine Falcon","Falco peregrinus",1,"Falconidae","Falconiformes"
"Gyrfalcon","Falco rusticolus",2,"Falconidae","Falconiformes"
"American Kestrel","Falco sparverius",1,"Falconidae","Falconiformes"
"Plain Chachalaca","Ortalis vetula",2,"Cracidae","Galliformes"
"California Quail","Callipepla californica",1,"Odontophoridae","Galliformes"
"Gambel's Quail","Callipepla gambelii",1,"Odontophoridae","Galliformes"
"Scaled Quail","Callipepla squamata",1,"Odontophoridae","Galliformes"
"Northern Bobwhite","Colinus virginianus",1,"Odontophoridae","Galliformes"
"Montezuma Quail","Cyrtonyx montezumae",2,"Odontophoridae","Galliformes"
"Mountain Quail","Oreortyx pictus",1,"Odontophoridae","Galliformes"
"Chukar","Alectoris chukar",2,"Phasianidae","Galliformes"
"Ruffed Grouse","Bonasa umbellus",1,"Phasianidae","Galliformes"
"Gunnison Sage-Grouse","Centrocercus minimus",2,"Phasianidae","Galliformes"
"Greater Sage-Grouse","Centrocercus urophasianus",1,"Phasianidae","Galliformes"
"Sooty Grouse","Dendragapus fuliginosus",2,"Phasianidae","Galliformes"
"Dusky Grouse","Dendragapus obscurus",2,"Phasianidae","Galliformes"
"Spruce Grouse","Falcipennis canadensis",2,"Phasianidae","Galliformes"
"Black Francolin","Francolinus francolinus",2,"Phasianidae","Galliformes"
"Gray Francolin","Francolinus pondicerianus",2,"Phasianidae","Galliformes"
"Red Junglefowl","Gallus gallus",2,"Phasianidae","Galliformes"
"Willow Ptarmigan","Lagopus lagopus",2,"Phasianidae","Galliformes"
"White-tailed Ptarmigan","Lagopus leucura",2,"Phasianidae","Galliformes"
"Rock Ptarmigan","Lagopus muta",2,"Phasianidae","Galliformes"
"Kalij Pheasant","Lophura leucomelanos",2,"Phasianidae","Galliformes"
"Wild Turkey","Meleagris gallopavo",1,"Phasianidae","Galliformes"
"Indian Peafowl","Pavo cristatus",2,"Phasianidae","Galliformes"
"Gray Partridge","Perdix perdix",2,"Phasianidae","Galliformes"
"Ring-necked Pheasant","Phasianus colchicus",1,"Phasianidae","Galliformes"
"Erckel's Francolin","Pternistis erckelii",2,"Phasianidae","Galliformes"
"Himalayan Snowcock","Tetraogallus himalayensis",2,"Phasianidae","Galliformes"
"Greater Prairie-Chicken","Tympanuchus cupido",2,"Phasianidae","Galliformes"
"Lesser Prairie-Chicken","Tympanuchus pallidicinctus",2,"Phasianidae","Galliformes"
"Sharp-tailed Grouse","Tympanuchus phasianellus",2,"Phasianidae","Galliformes"
"Yellow-billed Loon","Gavia adamsii",2,"Gaviidae","Gaviiformes"
"Arctic Loon","Gavia arctica",2,"Gaviidae","Gaviiformes"
"Common Loon","Gavia immer",1,"Gaviidae","Gaviiformes"
"Pacific Loon","Gavia pacifica",1,"Gaviidae","Gaviiformes"
"Red-throated Loon","Gavia stellata",1,"Gaviidae","Gaviiformes"
"Limpkin","Aramus guarauna",2,"Aramidae","Gruiformes"
"Sandhill Crane","Antigone canadensis",1,"Gruidae","Gruiformes"
"Whooping Crane","Grus americana",2,"Gruidae","Gruiformes"
"Yellow Rail","Coturnicops noveboracensis",2,"Rallidae","Gruiformes"
"Hawaiian Coot","Fulica alai",2,"Rallidae","Gruiformes"
"American Coot","Fulica americana",1,"Rallidae","Gruiformes"
"Common Gallinule","Gallinula galeata",1,"Rallidae","Gruiformes"
"Black Rail","Laterallus jamaicensis",2,"Rallidae","Gruiformes"
"Purple Gallinule","Porphyrio martinica",1,"Rallidae","Gruiformes"
"Western Swamphen","Porphyrio porphyrio",2,"Rallidae","Gruiformes"
"Sora","Porzana carolina",1,"Rallidae","Gruiformes"
"Clapper Rail","Rallus crepitans",1,"Rallidae","Gruiformes"
"King Rail","Rallus elegans",1,"Rallidae","Gruiformes"
"Virginia Rail","Rallus limicola",1,"Rallidae","Gruiformes"
"Ridgway's Rail","Rallus obsoletus",2,"Rallidae","Gruiformes"
"Millerbird","Acrocephalus familiaris",3,"Acrocephalidae","Passeriformes"
"Bushtit","Psaltriparus minimus",1,"Aegithalidae","Passeriformes"
"Eurasian Skylark","Alauda arvensis",2,"Alaudidae","Passeriformes"
"Horned Lark","Eremophila alpestris",1,"Alaudidae","Passeriformes"
"Cedar Waxwing","Bombycilla cedrorum",1,"Bombycillidae","Passeriformes"
"Bohemian Waxwing","Bombycilla garrulus",2,"Bombycillidae","Passeriformes"
"Lapland Longspur","Calcarius lapponicus",1,"Calcariidae","Passeriformes"
"Chestnut-collared Longspur","Calcarius ornatus",1,"Calcariidae","Passeriformes"
"Smith's Longspur","Calcarius pictus",2,"Calcariidae","Passeriformes"
"McKay's Bunting","Plectrophenax hyperboreus",3,"Calcariidae","Passeriformes"
"Snow Bunting","Plectrophenax nivalis",1,"Calcariidae","Passeriformes"
"McCown's Longspur","Rhynchophanes mccownii",2,"Calcariidae","Passeriformes"
"Northern Cardinal","Cardinalis cardinalis",1,"Cardinalidae","Passeriformes"
"Pyrrhuloxia","Cardinalis sinuatus",1,"Cardinalidae","Passeriformes"
"Lazuli Bunting","Passerina amoena",1,"Cardinalidae","Passeriformes"
"Blue Grosbeak","Passerina caerulea",1,"Cardinalidae","Passeriformes"
"Painted Bunting","Passerina ciris",1,"Cardinalidae","Passeriformes"
"Indigo Bunting","Passerina cyanea",1,"Cardinalidae","Passeriformes"
"Varied Bunting","Passerina versicolor",2,"Cardinalidae","Passeriformes"
"Rose-breasted Grosbeak","Pheucticus ludovicianus",1,"Cardinalidae","Passeriformes"
"Black-headed Grosbeak","Pheucticus melanocephalus",1,"Cardinalidae","Passeriformes"
"Flame-colored Tanager","Piranga bidentata",3,"Cardinalidae","Passeriformes"
"Hepatic Tanager","Piranga flava",2,"Cardinalidae","Passeriformes"
"Western Tanager","Piranga ludoviciana",1,"Cardinalidae","Passeriformes"
"Scarlet Tanager","Piranga olivacea",1,"Cardinalidae","Passeriformes"
"Summer Tanager","Piranga rubra",1,"Cardinalidae","Passeriformes"
"Dickcissel","Spiza americana",1,"Cardinalidae","Passeriformes"
"Brown Creeper","Certhia americana",1,"Certhiidae","Passeriformes"
"American Dipper","Cinclus mexicanus",1,"Cinclidae","Passeriformes"
"California Scrub-Jay","Aphelocoma californica",1,"Corvidae","Passeriformes"
"Florida Scrub-Jay","Aphelocoma coerulescens",2,"Corvidae","Passeriformes"
