Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Source
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	7	1971	8	1971	Summer	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Triodia	NA	NA	seed	NA	NA	0.0474	NA	NA	76	5	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	7	1971	8	1971	Summer	Plantae	Tracheophyta	Magnoliopsida	Asterales	NA	Asteraceae	Iva	NA	NA	seed	NA	NA	0.0582	NA	NA	76	5	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	7	1971	8	1971	Summer	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	NA	NA	NA	NA	0.0658	NA	NA	76	5	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	7	1971	8	1971	Summer	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Setaria	NA	NA	seed	NA	NA	0.0796	NA	NA	76	5	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	7	1971	8	1971	Summer	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Digitaria	NA	NA	seed	NA	NA	0.693	NA	NA	76	5	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	12	1971	2	1972	Winter	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	NA	Euphorbiaceae	Acalypha	NA	NA	seed	NA	NA	0.015	NA	NA	583	9	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	12	1971	2	1972	Winter	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Panicum	NA	NA	seed	NA	NA	0.017	NA	NA	583	9	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	12	1971	2	1972	Winter	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	NA	Euphorbiaceae	Unidentified	NA	NA	seed	NA	NA	0.018	NA	NA	583	9	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	12	1971	2	1972	Winter	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Chloris	NA	NA	seed	NA	NA	0.052	NA	NA	583	9	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Chipping Sparrow	Spizella passerina	Emberizidae	"AOU 7th ed., 55th supplement"	NA	NA	NA	NA	NA	Texas	Nacogdoches County	coniferous forest; grassland	12	1971	2	1972	Winter	Plantae	Tracheophyta	Magnoliopsida	Poales	NA	Poaceae	Setaria	NA	NA	seed	NA	NA	0.065	NA	NA	583	9	2	stomach contents		"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
