Keyname	Author	Date	Title	Journal	Vol:Pages	Class	Order	Family	Genus	species	Common Name	Region	Habitat	Observation	Food	Benthic Inverts	Comments	Occurrence
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:15-28	Aves	Limicolae	Phalaropodidae	Ste	anopu		tricolor	Wilson's phalarope,		fresh marsh, muddy shores, shallow water, mud flats		Arthropoda, Insecta, Diptera, mosquito larvae, cranefly larvae, Coleoptera, predaceous diving beetles	
Audubon, 1840	*Audubon, J.J.	1840				Aves	Limicolae	Recurvirostridae	Recurvirostra	americana	American avocet				Arthropoda, Insecta, aquatic (surface), and flying			
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:37-46	Aves	Limicolae	Recurvirostridae	Recurvirostra	americana	American avocet			reports	Arthropoda, Insecta, Orthoptera, grasshoppers, crickets, Coleoptera, weevils, predaceous diving beetles, Mollusca, snails, sea slugs, Crustacea, Pisces	reports from other observers, in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, WGMx, south FL, occasional occurrence NGMx	
Wetmore, 1925	*Wetmore, A.	1925	Food of American Phalaropes, Avocets, and Stilts	United States Department of Agriculture Bulletin 	1359	Aves	Limicolae	Recurvirostridae	Recurvirostra	americana	American avocet			gut contents	Animalia (65.1%), Arthropoda, Insecta, dragonfly nymphs, back swimmers, water boatmen, Coleoptera, Diptera, flies and larvae, phyllopods, vegetation (34.9%), seeds of aquatic and marsh plants.	contents of 67 stomachs	winter range, WGMx, south FL, occasional occurrence NGMx	
Wetmore, 1925	*Wetmore, A.	1925	Food of American Phalaropes, Avocets, and Stilts	United States Department of Agriculture Bulletin 	1359	Aves	Limicolae	Recurvirostridae	Himantopus	mexicanus	Black-necked stilt	California, Utah, Florida, Puerto Rico	muddy shores and shallow water	gut contents	Animalia (98.9%), Arthropoda, Insecta, Hemiptera, aquatic bugs, Coleoptera, beetles, billbugs Odonata, dragonfly nymphs, mayfly nymphs, Tricoptera, caddisfly nymphs Diptera, flies, mosquito larvae, Orthoptera, grasshoppers, Crustacea, Decapoda, crayfish, Mollusca, Gastropoda, snails, Pisces, vegetation (1.1%), seeds of aquatic and marsh plants.	contents of 80 stomachs	Breeding and winter range,	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:61-78	Aves	Limicolae	Scolopacidae	Rubicola	minor	American woodcock		boggy thickets		Annelida, Oligochaeta, earthworms,Arthropoda, Insecta, adults and larvae, Orthoptera, grasshoppers, Mollusca, Gastropoda, slugs 	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	common, breeding and winter range,	
Gordon, 1915	*Gordon, S.	1915				Aves	Limicolae	Scolopacidae	Scolopax	rusticola	European woodcock	Europe			Annelida, Oligochaeta, vegetation, blackberries		casual records	
Webster, 1887	*Webster,	1887				Aves	Limicolae	Scolopacidae	Rubicola	minor	American woodcock			gut contents	vegetation,leaves of common fern	report from one crop	common, breeding, and winter range	
Witherby, 1920	*Witherby's Handbook	1920				Aves	Limicolae	Scolopacidae	Scolopax	rusticola	European woodcock	Europe			Annelida, Oligochaeta, Arthropoda, Insecta, Coleoptera (adult and larvae), Orthoptera, Lepidoptera (larvae), Mollusca, Bivalvia, Mytilus, Crustacea, vegetation, corn (grains of maize)		casual records	
Rich, 1907	*Rich,	1907				Aves	Limicolae	Scolopacidae	Rubicola	minor	American woodcock				Arthropoda, Insecta, Hymenoptera, ants	early spring feeding	common, breeding, and winter range	
Gault, 1902	*Gault, B. T. 	1902				Aves	Limicolae	Scolopacidae	Capella•	gallinago delicata	Wilson snipe		mudflat, 				common, winter range	
Henshaw, 1875	*Henshaw, H. W. 	1875				Aves	Limicolae	Scolopacidae	Capella	gallinago delicata	Wilson snipe	Arizona, New Mexico	Creek edge	visual behavior	Arthropoda, Insecta	during migration	common, winter range	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:81-98	Aves	Limicolae	Scolopacidae	Capella	gallinago delicata	Wilson snipe		marshes, meadows, pastures	general reports	Annelida, Oligochaeta, earthworms, Hirudinea, leaches, Arthropoda, Insecta, Coleoptera, beetles, wireworms, Lepidoptera, cutworms, Orthoptera, grasshoppers, locusts?, Diptera, mosquitos, etc. vegetation, seeds of marsh plants	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	common, breeding and winter range,	
Yarrell, 1871	*Yarrell,	1871				Aves	Limicolae	Scolopacidae	Capella	media	Great snipe	Europe			Annelida, Oligochaeta, Arthropoda, Insecta, insect larvae, Diptera, Tipulidae, larvae, Mollusca, Gastropoda, slugs		One report from Canada	
Naumann, 1887	*Naumann,	1887				Aves	Limicolae	Scolopacidae	Capella	media	Great snipe	Europe			Annelida, Oligochaeta, Arthropoda, Insecta, insect larvae, water insects, Coleoptera, Tricoptera, Phrynganidae, caddisfly larvae, Mollusca, Gastropoda, snails		One report from Canada	
Naumann, 1887	*Naumann,	1887				Aves	Limicolae	Scolopacidae	Lymnocryptes	minimus	Jack snipe	Europe			Annelida, Oligochaeta, Arthropoda, Insecta, insects, vegetation, grass seeds 		One report from Alaska	
Jourdain, 1927	Jourdain, F. C. R.	1927	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 142: pp 101-106.			Aves	Limicolae	Scolopacidae	Lymnocryptes	minimus 	Jack snipe		marshes, meadows,	Reports from Newstead, Saxby and Cordeaux. No Lit. cited.	Annelida, Oligochaeta, earthworms, Arthropoda, Insecta, Coleoptera, beetles, Mollusca, Gastropoda, Helix, Tellina, Bivalvia, Pisidia, vegetation,  grass seeds and fibers	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	1 record from AK	
*Preble and McAtee, 1923	*Preble and McAtee	1923				Aves	Limicolae	Scolopacidae	_Limnodromus_	_griseus_ _scolopaceus_	long-billed dowitcher, western red breasted snipe	St. Paul Island	sheltered bays and estuaries: mud flats, sandflats, marsh ponds	gut contents	Arthropoda, Insecta, Diptera, Chironimidae, midges (75-100%), vegetation, seeds of aquatic plants	contents of 2 guts	winter range,	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:81-98	Aves	Limicolae	Scolopacidae	_Limnodromus_	_griseus_ _griseus_	eastern dowitcher, eastern red breasted snipe		sheltered bays and estuaries: mud flats, sandflats, marsh ponds	general reports	Annelida, Polychaeta, marine worms, oyster worms, Hirudinea, leaches, Arthropoda, Insecta, Coleoptera, beetles, Orthoptera, grasshoppers, Diptera, flies, maggots, Hemiptera, water bugs, Mollusca, Pisces, fish eggs, vegetation, seeds of aquatic plants, _Zostera_, eelgrass roots	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	common, winter range,	
*Hart,1880	*Hart, H.C.	1880				Aves	Limicolae	Scolopacidae	_Calidris_	_canutus_ _rufus_	american knot, red breast	arctic		gut contents	Animalia, Arthropoda, Insecta, Lepidoptera, caterpillars (2), Hymenoptera, bee (1), vegetation	contents of 1 gut	migration	
*Forbush, 1912	*Forbush, E.H.	1912				Aves	Limicolae	Scolopacidae	_Calidris_	_canutus_ _rufus_	american knot, red breast	arctic		visual	Animalia, Arthropoda, Chelicerata, _Limulus_, horseshoe crab eggs		migration	
*McAtee, 1911	*McAtee, W. L.	1911				Aves	Limicolae	Scolopacidae	_Calidris_	_canutus_ _rufus_	american knot, red breast	arctic		gut contents	Animalia, Arthropoda, Insecta, Orthoptera, grasshopper, Annelida, Polychaeta, _Nereis_		migration	
*Mackay, 1893	*Mackay,	1893				Aves	Limicolae	Scolopacidae	_Calidris_	_canutus_ _rufus_	american knot, red breast	arctic	marshes	gut contents	Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae, cutworms		migration	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:81-98	Aves	Limicolae	Scolopacidae	_Calidris_	_canutus_ _rufus_	american knot	WFL	sandy beaches, sand flats, mud flats 		Arthropoda, Insecta, marine insects and larvae, Mollusca, _Cocuinas_ ?=_Donax_	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, (rarely), migration	
Yarrell, 1871	*Yarrell,	1871				Aves	Limicolae	Scolopacidae	_Arquatella_	_maritima_	purple sandpiper, winter snipe, rock snipe				Arthropoda, Insecta, marine insects, Crustacea, Amphipoda, sandhoppers, Decapoda, young crabs, small shrimps, Mollusca,		casual records	
Witherby, 1920	*Witherby's handbook	1920				Aves	Limicolae	Scolopacidae	_Arquatella_	_maritima_	purple sandpiper, winter snipe, rock snipe				Arthropoda, Insecta, Coleoptera, Diptera, _Chironomus_ midges, Collembola, Chelicerata, Arachnida, Aranea, spiders, Crustacea, Amphipoda, _Orchestia_, _Gammarus_,_Podocerus_, Isopoda, _Idotia_, Mollusca, Bivalvia, _Mytilus_, Gastropoda _Littorina_, _Purpura_, Pisces small fish and eggs, vegetation, algae, grasses, moss, leaves and buds of phanerogams, remains of cryptogams, seeds of _Cochlearia_		casual records	
*Hatch, 1892	*Hatch, P. L.	1892				Aves	Limicolae	Scolopacidae	_Pisobia_	_maculata_	pectoral sandpiper, jack snipe, grass bird, creaker, creeker, Krieker			gut contents	Arthropoda, Insecta, Orthoptera, crickets (spring), grasshoppers (fall), Coleoptera, dry land larvae, Annelida, Oligochaeta		migration	
*Preble and McAtee, 1923	*Preble and McAtee	1923				Aves	Limicolae	Scolopacidae	_Pisobia_	_maculata_	pectoral sandpiper, jack snipe, grass bird, creaker, creeker, Krieker			gut contents	Arthropoda, Insecta, Diptera (54.5%), Coleoptera (8%), Hymenoptera (2.1%), Hemiptera (1.3%), Trichoptera, Crustacea, Amphipoda (22.3%) vegetation, algae (10.5%), seeds of grass, lupine and violet	contents of 21 gizzards	migration	
*Bowdish, 1902	*Bowdish, B. S.	1902				Aves	Limicolae	Scolopacidae	_Pisobia_	_maculata_	pectoral sandpiper, jack snipe, grass bird, creaker, creeker, Krieker	Puerto Rico		gut contents	Arthropoda, Crustacea, Decapoda, _Uca_, fiddler crabs		migration	
*Danforth, 1925	*Danforth, S. T.	1925				Aves	Limicolae	Scolopacidae	_Pisobia_	_fuscicollis_	white-rumped sandpiper, Bonaparte sandpiper	Puerto Rico		gut contents	Animalia, (77.7%), Arthropoda, Diptera, Chironimidae, blood worms (50%), Hemiptera, _Corixa_ _reticulata_ (5%), Mollusca, Gastropoda, Planorbis snails, vegetation (22.3%), _Sesbas_ _emerus_ (30%), _Persicaria_ _portoricencsis_ (37.6%) 	contents of 4 stomachs	migration	
*McAtee, 1911	*McAtee, W. L.	1911				Aves	Limicolae	Scolopacidae	_Pisobia_	_fuscicollis_	white-rumped sandpiper, Bonaparte sandpiper				Arthropoda, Orthoptera, grasshoppers, Coleoptera, clover-root curculio, Annelida, Polychaeta, _Nereis_		migration	
*Preble and McAtee, 1923	*Preble and McAtee	1923				Aves	Limicolae	Scolopacidae	_Pisobia_	_bairdi_	baird sandpiper,	Pribiloff Is., AK		gut contents	Arthropoda, Insecta, Coleoptera,  Crustacea, Amphipoda, vegetation, algae 	contents of 3 stomachs	casual, during migration, in Gulf	
*McAtee, 1911	*McAtee, W. L.	1911				Aves	Limicolae	Scolopacidae	_Pisobia_	_bairdi_	baird sandpiper,				Arthropoda, Insecta, Diptera, mosquito and cranefly larvae, Orthoptera, grasshoppers, Coleoptera, clover-root curculio, 		casual in Gulf during migration	
Preble and McAtee, 1923	*Preble, E.A. and W. L. McAtee	1923				Aves	Limicolae	Scolopacidae	_Pisobia_	_minutilla_	least sandpiper,	Pribilof Is. AK		gut contents	Arthropoda, Crustacea, Amphipoda, vegetation, seeds	stomachs of 2 birds	winter range (rarely), migration	
*Howell, 1924	*Howell, A. H.	1924				Aves	Limicolae	Scolopacidae	_Pisobia_	_minutilla_	least sandpiper,	AL		gut contents	Arthropoda, Insecta, Diptera, Chironomidae, midges, Coleoptera	stomachs of 19 birds	winter range (rarely), migration	
Wetmore, 1925	*Wetmore, A.	1925	Food of American Phalaropes, Avocets, and Stilts	United States Department of Agriculture Bulletin 	1359	Aves	Limicolae	Scolopacidae	_Pisobia_	_minutilla_	least sandpiper,	Puerto Rico		gut contents	Arthropoda, Insecta, Diptera, Coleoptera	stomach of 1 bird	winter range (rarely), migration	
Townsend, 1927	Townsend, C. W.	1927	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 142: pp 203-213.			Aves	Limicolae	Scolopacidae	_Pisobia_	_minutella_	Least sandpiper		marshes, beaches		Beaches: Annelida, Polychaeta, Arthropoda, Crustacea. Marshes: Insecta, adults and larvae (Diptera, mosquitos and Tabanidae)	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range (rarely), migration	
Witherby, 1920	*Witherby's handbook	1920				Aves	Limicolae	Scolopacidae	_Pelidna_	_alpina_ _alpina_	dunlin	Old World			Arthropoda, Insecta, Coleoptera, Diptera, Chelicerata, Arachnida, Aranea, spiders, Crustacea, Amphipoda, sandhoppers, Decapoda, shrimps, Mollusca, Annelida_		accidental	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:221-232	Aves	Limicolae	Scolopacidae	_Pelidna_	_alpina_ _sakhalina_	red-backed sandpiper, american dunlin		sandy beaches, sand flats, mud flats 		Arthropoda, Insecta, Diptera, Colembola, diving and aquatic beetles, marine insects and larvae, Crustacea, Amphipoda, sandfleas etc., Mollusca, Annelida, Polychaeta, vegetation, seeds of aquatic plants 	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
Jourdain, 1927	Jourdain, F. C. R.	1927	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 142: pp 232-236.			Aves	Limicolae	Scolopacidae	_Erolia_	_ferruginea_	curlew sandpiper	Old World		Reports from Newstead, Saxby and Cordeaux. No Lit. cited.	Annelida, Oligochaeta, earthworms, Arthropoda, Insecta, Coleoptera, beetles, Diptera, Crustacea, Amphipoda, Mollusca,  vegetation,  	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	rarely during migration (West Indies)	
Townsend, 1927	Townsend, C. W.	1927	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 142: pp 244-255.			Aves	Limicolae	Scolopacidae	_Ereunetes_	_pusillus_	semipalmated sandpiper, sand peep	New England                  	beaches, estuarine sandflats, saltmarshes	stomach contents	Arthropoda, Insecta, insects, Crustacea, Amphipoda, _Gammarus_ _orchestia_, Annelida, Mollusca, Gastropoda, _Littorina_	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
*Wetmore, 1916	*Wetmore, A.	1916				Aves	Limicolae	Scolopacidae	_Ereunetes_	_pusillus_	semipalmated sandpiper, sand peep	Puerto Rico	beaches, estuarine sandflats, saltmarshes	stomach contents	Arthropoda, Insecta, Coleoptera, beetles including Hydrophilidae (water scavenger beetles), ground beetles (_Bembidium_), Hemiptera, back swimmers (_Notonecta_), Diptera larvae insects, Mollusca, Gastropoda, Planorbis snails	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
*Howell, 1924	*Howell, A. H.	1924				Aves	Limicolae	Scolopacidae	_Ereunetes_	_pusillus_	semipalmated sandpiper, sand peep	AL	beaches,(waveline) estuarine sandflats, saltmarshes	stomach contents	Arthropoda, Insecta, Coleoptera, beetles, Diptera, mosquitos, fly larvae, Mollusca, Annelida, Polychaeta	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
*Howell, 1924	*Howell, A. H.	1924				Aves	Limicolae	Scolopacidae	_Ereunetes_	_pusillus_	Western sandpiper,	AL		stomach contents	Arthropoda, Insecta, Coleoptera, beetles, Diptera, fly larvae, Hemiptera, Mollusca, Gastropoda, Annelida, Polychaeta	6 stomachs	winter range,	
*Danforth, 1925	*Danforth, S. T.	1925				Aves	Limicolae	Scolopacidae	_Ereunetes_	_pusillus_	Western sandpiper,	Puerto Rico		stomach contents	Arthropoda, Insecta, Coleoptera, water scavenger beetles (Hydrophilidae), Diptera, Chironomidae larvae (blood worms),	1 stomach 	winter range,	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:265-277	Aves	Limicolae	Scolopacidae	_Crocethia_	_alba_	sanderling		sandy beaches, swash zone		Arthropoda, Insecta, Diptera, flies and larvae, insects, Crustacea, Amphipoda, sandfleas etc., Mollusca, mollusks including _Mytilus_ _edulis_ Annelida, Polychaeta, vegetation, seeds of aquatic plants 	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:277-289	Aves	Limicolae	Scolopacidae	_Limosa_	_fedoa_	marbled godwit				Arthropoda, Insecta, insects and larvae, Crustacea, Mollusca, Gastropods, snails, Annelida, Hirudinea, leaches, worms	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
*Roberts, 1919	Roberts,	1919				Aves	Limicolae	Scolopacidae	_Limosa_	_fedoa_	marbled godwit		shallow water of lake shores and sloughs, meadows and low-lying prairies 		Arthropoda, Insecta, Orthoptera, grasshoppers, aquatic and terrestrial insects and larvae, Mollusca, 	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
*Palmer, 1899	Palmer, W.	1899				Aves	Limicolae	Scolopacidae	_Limosa_	_lapponica_ _baueri_	pacific godwit	AK	ponds	stomach contents	Arthropoda, Insecta, Coleoptera, beetle, _Aegialites_ _debilis_, Diptera, flies, Chironomidae, midges  	contents of six stomachs	none	
*Preble and McAtee, 1923	*Preble and McAtee	1923				Aves	Limicolae	Scolopacidae	_Limosa_	_lapponica_ _baueri_	pacific godwit			gut contents	Arthropoda, Insecta, Diptera, flies (76.6%), Coleoptera, beetles (17%), Mollusca (3.6%), Annelida, Polychaeta (1.3%), vegetation (1%)		none	
*Forbush, 1925	*Forbush, E. H.	1925				Aves	Limicolae	Scolopacidae	_Limosa_	_haemastica_	hudsonian godwit				Arthropoda, Insecta, Diptera, horseflies and mosquitoes, insects, Mollusca, Crustacea, Annelida,		rare or extinct, migration	
*Naumann, 1887	*Naumann	1887				Aves	Limicolae	Scolopacidae	_Limosa_	_limosa_ _limosa_	black-tailed godwit				Arthropoda, Insecta, Coleoptera, Orthoptera, Odonata, insect larvae, Mollusca, Gastropoda, slugs and snails, freshwater and marine mollusks, Crustacea, Amphipoda, Gammeridea,  Annelida,	European	none	
Jourdain, 1927	Jourdain, F. C. R.	1927	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 142: pp 101-106.			Aves	Limicolae	Scolopacidae	_Glottis_	_nebularia_	greenshank				Arthropoda, Insecta, Coleoptera, small water beetles,_Phyllopertha_, _Cneorhinus_, _Harpalus_, _Dytiscus_, _Gyrinus_, _Aphodius_, _Ilybius_, Diptera, _Tipula_ (adults and larvae), _Notonecta_ _glauca_, _Lestes_ _nympha_, Crustacea, Stomatopoda, _Squilla_, Decapoda, _Crangon_, _Palaemon_, _Hyppolyte_, Mollusca, Gastropoda, _Planorbis_, Annelida, Polychaeta, _Arinicola_ lugworms and worms, 	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	1 record from FL	
Jourdain, 1927	Jourdain, F. C. R.	1927	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 142: pp 101-106.			Aves	Limicolae	Scolopacidae	_Totanus_	_totanus_	redshank		shore, riverside, marsh		Arthropoda, Insecta, Coleoptera, beetles, _Hyperidrus_, _Onthophagus_, Diptera, Tipulidae (adults and larvae), Ephemeridae, Phryganeidae, Chelicerata, Arachnida, Aranaea, spiders Crustacea, Amphipoda, Gameridae, Decapoda, shrimps and crabs, Mollusca, Gastropoda, Bivalvia,  _Cardium_, Annelida, Oligochaeta, _Lumbrici_ 	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	Greenland, Europe	
*Danforth, 1925	*Danforth, S. T.	1925				Aves	Limicolae	Scolopacidae	_Totanus_	_melanoleucus_	greater yellow-legs	Puerto Rico		gut contents	Arthropoda, Insecta, Odonata, dragonfly naiads (65.33%), Hemiptera, _Belostoma_ sp (22%), Coleoptera, Dytiscid larvae (0.66%), Picses, _Poecilia_ _vivipara_ (6%)	contents of 3 stomachs	breeding and winter range	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:321-336	Aves	Limicolae	Scolopacidae	_Totanus_	_melanoleucus_	Greater Yellow-legs		damp grassy meadows		Arthropoda, Insecta, insects and larvae, Crustacea, Mollusca, Gastropods, snails, Annelida, worms	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
*Howell, 1924	*Howell, A. H.	1924				Aves	Limicolae	Scolopacidae	_Totanotus_	_flavipes_	lesser yellow-legs	AL			Arthropoda, Insecta, Diptera, flies, Hemiptera, bugs, hymenoptera, ants, Crustacea, Annelida, Pisces		winter range, migration	
*Danforth, 1925	*Danforth, S. T.	1925				Aves	Limicolae	Scolopacidae	_Totanus_	_flavipes_	lesser yellow-legs	Puerto Rico		gut contents	Arthropoda, Insecta, Coleoptera, Dytiscid larvae (26.6%), adults (0.7%), Hydrophilid adults (3.1%), Bupestrid beetles (0.55%), Flea beetles (1.1%), carabid beetles, _Stenous_ sp (0.55), other beetles (3.2%), Diptera, Chironomidae, blood worms (5.1%), Hemiptera, Notonectidae, backswimmers, Orthoptera, grasshoppers (0.22%), Chelicerata, Arachnida, Aranaea, Lycosid spiders (0.55%), Mollusca, Gastropoda, Planorbis snails (5%), Picses, fish scales (0.33%)	contents of 9 stomachs	winter range, migration	
Wetmore, 1916	*Wetmore, A. in Cleveland Bent	1916				Aves	Limicolae	Scolopacidae	_Totanus_	_flavipes_	lesser yellow-legs	Puerto Rico		gut contents	Arthropoda, Insecta, Hemiptera, water boatmen, (57.5%), Crustacea (42.5%), Decapoda, crabs,	4 stomachs 	winter range, migration	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:336-350	Aves	Limicolae	Scolopacidae	_Totanus_	_flavipes_	Lesser Yellow-legs	Monomoy	marshes, mud flats, shallow ponds, damp grassy meadows		Arthropoda, Insecta, insects, Orthoptera, grass hoppers 	in:  Dover Publications 1962 reprinting of USNM Bulletin 142	winter range, migration	
Coues, 1874	*Coues,E.	1874				Aves	Limicolae	Scolopacidae	_Tringa_	_solitaria_ _solitaria_	solitary sandpiper		tidal creeks and ditshes, low meadows,stagnant pools		Arthropoda, Insecta, aquatic insects and larvae, Mollusca, Annelida		migration	
Bent, 1929	Bent, A. C.	1929	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 1-13.			Aves	Limicolae	Scolopacidae	_Tringa_	_solitaria_ _solitaria_	solitary sand piper				Arthropoda, Insecta, insects and larvae, Odonata, dragon-fly nymphs, Coleoptera, water-scavenger beetles, Hemiptera, water boatmen, Lepidoptera, caterpillars, Orthoptera, grass hoppers, Chelicerata, Arachnida, Aranaea, spiders, Crustacea, Annelida, Amphibia, small frogs 	observations by other observers, in:  Dover Publications 1962 reprinting of USNM Bulletin 146	migration	
