taxon,taxonomic_rank,commonName,Prey_Kingdom,Prey_Stage
Mesostigmata,Prey_Order,mesostigs,Animalia,NA
Mugiliformes,Prey_Order,mullets,Animalia,NA
Myctophiformes,Prey_Order,lanternfishes,Animalia,NA
Myrtales,Prey_Order,"myrtles, evening primroses, and allies",Plantae,NA
Mysida,Prey_Order,opossum shrimps,Animalia,NA
Neogastropoda,Prey_Order,neogastropod snails,Animalia,NA
Neuroptera,Prey_Order,"antlions, lacewings, and allies",Animalia,NA
Notostraca,Prey_Order,tadpole shrimps,Animalia,NA
Nymphaeales,Prey_Order,"water-lilies, fanworts, and allies",Plantae,NA
Octopoda,Prey_Order,octopuses,Animalia,NA
Odonata,Prey_Order,dragonflies and damselflies,Animalia,NA
Ophidiiformes,Prey_Order,cusk-eels,Animalia,NA
Ophioglossales,Prey_Order,adder's-tongues and allies,Plantae,NA
Opiliones,Prey_Order,harvestmen,Animalia,NA
Orthoptera,Prey_Order,"grasshoppers, crickets, and katydids",Animalia,NA
Osmeriformes,Prey_Order,smelts and allies,Animalia,NA
Otidiformes,Prey_Order,bustards,Animalia,NA
Oxalidales,Prey_Order,"woodsorrels, quandongs, and allies",Plantae,NA
Pandanales,Prey_Order,"screwpines, stemona, and allies",Plantae,NA
Passeriformes,Prey_Order,perching birds,Animalia,NA
Patellogastropoda,Prey_Order,true limpets,Animalia,NA
Pedunculata,Prey_Order,gooseneck barnacles,Animalia,NA
Pelecaniformes,Prey_Order,"pelicans, herons, ibises, and allies",Animalia,NA
Perciformes,Prey_Order,perch-like fishes,Animalia,NA
Percopsiformes,Prey_Order,"trout-perches, pirate perches, and cavefishes",Animalia,NA
Perissodactyla,Prey_Order,odd-toed ungulates,Animalia,NA
Petromyzontiformes,Prey_Order,lampreys,Animalia,NA
Phasmida,Prey_Order,stick insects,Animalia,NA
Piciformes,Prey_Order,"woodpeckers, barbets, and allies",Animalia,NA
Pinales,Prey_Order,conifers,Plantae,NA
Plecoptera,Prey_Order,stoneflies,Animalia,NA
Pleuronectiformes,Prey_Order,flatfishes,Animalia,NA
Poales,Prey_Order,"grasses, sedges, and allies",Plantae,NA
Podicipediformes,Prey_Order,grebes,Animalia,NA
Polydesmida,Prey_Order,flat-backed millipedes,Animalia,NA
Procellariiformes,Prey_Order,tubenoses,Animalia,NA
Proteales,Prey_Order,"proteas, lotuses, planes, and allies",Plantae,NA
Pseudoscorpiones,Prey_Order,pseudoscorpions,Animalia,NA
Psittaciformes,Prey_Order,parrots,Animalia,NA
Psocodea,Prey_Order,"barklice, booklice, and parasitic lice",Animalia,NA
Rajiformes,Prey_Order,skates,Animalia,NA
Ranunculales,Prey_Order,"buttercups, poppies, and allies",Plantae,NA
Raphidioptera,Prey_Order,snakeflies,Animalia,NA
Rodentia,Prey_Order,rodents,Animalia,NA
Rosales,Prey_Order,"roses, elms, figs, and allies",Plantae,NA
Salmoniformes,Prey_Order,"salmons, trouts, and whitefishes",Animalia,NA
Santalales,Prey_Order,"sandalwoods, mistletoes, and allies",Plantae,NA
Sapindales,Prey_Order,"soapberries, cashews, mahoganies, and allies",Plantae,NA
Saxifragales,Prey_Order,"saxifrages, stonecrops, and allies",Plantae,NA
Scolopendromorpha,Prey_Order,tropical centipedes,Animalia,NA
Scorpaeniformes,Prey_Order,mail-cheeked fishes,Animalia,NA
Scorpiones,Prey_Order,scorpions,Animalia,NA
Selaginellales,Prey_Order,spikemosses,Plantae,NA
Sessilia,Prey_Order,sessile barnacles,Animalia,NA
Siluriformes,Prey_Order,catfishes,Animalia,NA
Siphonophorae,Prey_Order,siphonophores,Animalia,NA
Siphonostomatoida,Prey_Order,siphon-mouth copepods,Animalia,NA
Solanales,Prey_Order,"nightshades, bindweeds, gooseweeds, and allies",Plantae,NA
Solifugae,Prey_Order,solifuges,Animalia,NA
Squaliformes,Prey_Order,squaliform sharks,Animalia,NA
Squamata,Prey_Order,squamates,Animalia,NA
Stomatopoda,Prey_Order,mantis shrimps,Animalia,NA
Strigiformes,Prey_Order,owls,Animalia,NA
Stylommatophora,Prey_Order,common land snails and slugs,Animalia,NA
Suliformes,Prey_Order,"gannets, cormorants, and allies",Animalia,NA
Tanaidacea,Prey_Order,tanaids,Animalia,NA
Testudines,Prey_Order,turtles and tortoises,Animalia,NA
Tetraodontiformes,Prey_Order,puffers and filefishes,Animalia,NA
Thysanoptera,Prey_Order,thrips,Animalia,NA
Trichoptera,Prey_Order,caddisflies,Animalia,NA
Trogoniformes,Prey_Order,trogons and quetzals,Animalia,NA
Trombidiformes,Prey_Order,trombidiforms,Animalia,NA
Ulvales,Prey_Order,sea lettuces and allies,Plantae,NA
Unionoida,Prey_Order,freshwater mussels,Animalia,NA
Valvatida,Prey_Order,valvatidan sea stars,Animalia,NA
Xiphosurida,Prey_Order,horseshoe crabs,Animalia,NA
Zingiberales,Prey_Order,"gingers, bananas, and allies",Plantae,NA
Zygnematales,Prey_Order,desmid,Plantae,NA
Zygophyllales,Prey_Order,calthrops and ratanies,Plantae,NA
Adephaga,Prey_Suborder,ground and water beetles,Animalia,NA
Amphisbaenia,Prey_Suborder,amphisbaenians,Animalia,NA
Anisoptera,Prey_Suborder,dragonflies,Animalia,NA
Apocrita,Prey_Suborder,narrow-waisted hymenopterans,Animalia,NA
Araneomorphae,Prey_Suborder,typical spiders,Animalia,NA
Archostemata,Prey_Suborder,reticulated and telephone-pole beetles,Animalia,NA
Auchenorrhyncha,Prey_Suborder,"cicadas, hoppers, and spittlebugs",Animalia,NA
Balanomorpha,Prey_Suborder,symmetrical sessile barnacles,Animalia,NA
Blennioidei,Prey_Suborder,blennies,Animalia,NA
Brachycera,Prey_Suborder,brachyceran flies,Animalia,NA
Caelifera,Prey_Suborder,"grasshoppers, locusts, and allies",Animalia,NA
Castorimorpha,Prey_Suborder,"beavers, pocket gophers, and allies",Animalia,NA
Cladocera,Prey_Suborder,water fleas,Animalia,NA
Dendrobranchiata,Prey_Suborder,prawns,Animalia,NA
Ensifera,Prey_Suborder,long-horned orthopterans,Animalia,NA
Gekkota,Prey_Suborder,geckos,Animalia,NA
Hemerobiiformia,Prey_Suborder,"lacewings, mantidflies, and allies",Animalia,NA
Heteroptera,Prey_Suborder,true bugs,Animalia,NA
Littorinoidea,Prey_Suborder,periwinkle snails and allies,Animalia,NA
Mantodea,Prey_Suborder,mantises,Animalia,NA
Myomorpha,Prey_Suborder,"mice, rats, and hamsters",Animalia,NA
Nematocera,Prey_Suborder,nematoceran flies,Animalia,NA
Oniscidea,Prey_Suborder,woodlice and pillbugs,Animalia,NA
Pleocyemata,Prey_Suborder,"crabs, lobsters, and allies",Animalia,NA
Polyphaga,Prey_Suborder,"water, rove, scarab, long-horned, leaf, and snout beetles",Animalia,NA
Prostigmata,Prey_Suborder,prostigs,Animalia,NA
Rhynchobdellida,Prey_Suborder,jawless leeches,Animalia,NA
Sciuromorpha,Prey_Suborder,"squirrels, dormice, and mountain beavers",Animalia,NA
Serpentes,Prey_Suborder,snakes,Animalia,NA
Sternorrhyncha,Prey_Suborder,plant-parasitic hemipterans,Animalia,NA
Symphypleona,Prey_Suborder,globular springtails,Animalia,NA
Symphyta,Prey_Suborder,"sawflies, horntails, and wood wasps",Animalia,NA
Yangochiroptera,Prey_Suborder,yangochiropteran bats,Animalia,NA
Zygoptera,Prey_Suborder,damselflies,Animalia,NA
Abrocomidae,Prey_Family,chinchilla rats,Animalia,NA
Acanthaceae,Prey_Family,acanthus family,Plantae,NA
Acanthosomatidae,Prey_Family,shield bugs,Animalia,NA
Acanthuridae,Prey_Family,"surgeonfishes, tangs, and unicornfishes",Animalia,NA
Acaridae,Prey_Family,stored products mites,Animalia,NA
Accipitridae,Prey_Family,"hawks, eagles, and kites",Animalia,NA
Achilidae,Prey_Family,achilid planthoppers,Animalia,NA
Achiridae,Prey_Family,american soles,Animalia,NA
Acipenseridae,Prey_Family,sturgeons,Animalia,NA
Acoraceae,Prey_Family,sweet flags,Plantae,NA
Acrididae,Prey_Family,short-horned grasshoppers,Animalia,NA
Acroceridae,Prey_Family,small-headed flies,Animalia,NA
Actiniidae,Prey_Family,sea anemones,Animalia,NA
Adelgidae,Prey_Family,spruce aphids,Animalia,NA
Aderidae,Prey_Family,ant-like leaf beetles,Animalia,NA
Adoxaceae,Prey_Family,moschatel family,Plantae,NA
Aegithalidae,Prey_Family,long-tailed tits,Animalia,NA
Aeshnidae,Prey_Family,darners,Animalia,NA
Agamidae,Prey_Family,dragons,Animalia,NA
Agelenidae,Prey_Family,funnel weavers,Animalia,NA
Agonidae,Prey_Family,poachers,Animalia,NA
Agromyzidae,Prey_Family,leaf-miner flies,Animalia,NA
Aizoaceae,Prey_Family,stone plants,Plantae,NA
Alaudidae,Prey_Family,larks,Animalia,NA
Alcedinidae,Prey_Family,kingfishers,Animalia,NA
Alcidae,Prey_Family,"auks, murres, guillemots, and puffins",Animalia,NA
Alismataceae,Prey_Family,water-plantains,Plantae,NA
Alpheidae,Prey_Family,snapping shrimp,Animalia,NA
Alseuosmiaceae,Prey_Family,toropapa family,Plantae,NA
Altingiaceae,Prey_Family,sweetgums and allies,Plantae,NA
Alydidae,Prey_Family,broad-headed bugs,Animalia,NA
Alytidae,Prey_Family,disc-tongued frogs,Animalia,NA
Amaranthaceae,Prey_Family,amaranths,Plantae,NA
Amaryllidaceae,Prey_Family,amaryllis family,Plantae,NA
Ambystomatidae,Prey_Family,mole salamanders,Animalia,NA
Ammodytidae,Prey_Family,sand lances,Animalia,NA
Ampullariidae,Prey_Family,apple snails,Animalia,NA
Anablepidae,Prey_Family,"four-eyed fishes, onesided livebearers, and white-eye",Animalia,NA
Anacardiaceae,Prey_Family,cashew family,Plantae,NA
Anatidae,Prey_Family,"ducks, geese, and swans",Animalia,NA
Andrenidae,Prey_Family,mining bees,Animalia,NA
Anguidae,Prey_Family,glass and alligator lizards,Animalia,NA
Anguillidae,Prey_Family,freshwater eels,Animalia,NA
Anhingidae,Prey_Family,darters,Animalia,NA
Anisopodidae,Prey_Family,wood gnats,Animalia,NA
Annonaceae,Prey_Family,custard-apples,Plantae,NA
Antennariidae,Prey_Family,frogfishes,Animalia,NA
Anthicidae,Prey_Family,ant-like flower beetles,Animalia,NA
Anthocoridae,Prey_Family,minute pirate bugs,Animalia,NA
Anthomyiidae,Prey_Family,root-maggot flies,Animalia,NA
Anthribidae,Prey_Family,fungus weevils,Animalia,NA
Antilocapridae,Prey_Family,pronghorns,Animalia,NA
Anyphaenidae,Prey_Family,ghost spiders,Animalia,NA
Aphididae,Prey_Family,typical aphids,Animalia,NA
Aphredoderidae,Prey_Family,pirate perches,Animalia,NA
Aphrophoridae,Prey_Family,true spittlebugs,Animalia,NA
Apiaceae,Prey_Family,carrot family,Plantae,NA
Apidae,Prey_Family,"honey bees, bumble bees, and allies",Animalia,NA
Apocynaceae,Prey_Family,dogbane family,Plantae,NA
Apodidae,Prey_Family,swifts,Animalia,NA
Apogonidae,Prey_Family,cardinalfishes,Animalia,NA
Aquifoliaceae,Prey_Family,holly family,Plantae,NA
Araceae,Prey_Family,aroids,Plantae,NA
Aradidae,Prey_Family,flat bugs,Animalia,NA
Araliaceae,Prey_Family,ivy family,Plantae,NA
Araneidae,Prey_Family,orbweavers,Animalia,NA
Araucariaceae,Prey_Family,araucarians,Plantae,NA
Ardeidae,Prey_Family,"herons, egrets, and bitterns",Animalia,NA
Arecaceae,Prey_Family,palms,Plantae,NA
Argasidae,Prey_Family,softbacked ticks,Animalia,NA
Argidae,Prey_Family,argid sawflies,Animalia,NA
Argonautidae,Prey_Family,argonauts,Animalia,NA
Ariidae,Prey_Family,sea catfishes,Animalia,NA
Artemiidae,Prey_Family,brine shrimp,Animalia,NA
Asilidae,Prey_Family,robber flies,Animalia,NA
Asparagaceae,Prey_Family,asparagus family,Plantae,NA
Asteraceae,Prey_Family,"sunflowers, daisies, asters, and allies",Plantae,NA
Asteriidae,Prey_Family,asteriid sea stars,Animalia,NA
Atherinidae,Prey_Family,old world silversides,Animalia,NA
Atherinopsidae,Prey_Family,neotropical silversides,Animalia,NA
Attelabidae,Prey_Family,leaf rolling weevils,Animalia,NA
Atyidae,Prey_Family,atyid shrimps,Animalia,NA
Atypidae,Prey_Family,purseweb spiders,Animalia,NA
Baetidae,Prey_Family,small mayflies,Animalia,NA
Balistidae,Prey_Family,triggerfishes,Animalia,NA
Balitoridae,Prey_Family,river loaches,Animalia,NA
Balsaminaceae,Prey_Family,balsam family,Plantae,NA
Batrachoididae,Prey_Family,toadfishes,Animalia,NA
Belonidae,Prey_Family,needlefishes,Animalia,NA
Belostomatidae,Prey_Family,giant water bugs,Animalia,NA
Berberidaceae,Prey_Family,barberry family,Plantae,NA
Berytidae,Prey_Family,stilt bugs,Animalia,NA
Bethylidae,Prey_Family,flat wasps,Animalia,NA
Betulaceae,Prey_Family,birch family,Plantae,NA
Bibionidae,Prey_Family,march flies,Animalia,NA
Bignoniaceae,Prey_Family,bignonia family,Plantae,NA
Bittacidae,Prey_Family,hangingflies,Animalia,NA
Blaberidae,Prey_Family,giant cockroaches,Animalia,NA
Blattidae,Prey_Family,household cockroaches,Animalia,NA
Blenniidae,Prey_Family,combtooth blennies,Animalia,NA
Blephariceridae,Prey_Family,net-winged midges,Animalia,NA
Blissidae,Prey_Family,chinch bugs and allies,Animalia,NA
Bombycillidae,Prey_Family,waxwings,Animalia,NA
Bombyliidae,Prey_Family,bee flies,Animalia,NA
Boraginaceae,Prey_Family,borage family,Plantae,NA
Boridae,Prey_Family,conifer bark beetles,Animalia,NA
Bostrichidae,Prey_Family,auger beetles,Animalia,NA
Bothidae,Prey_Family,lefteye flounders,Animalia,NA
Bovidae,Prey_Family,bovids,Animalia,NA
Braconidae,Prey_Family,braconid wasps,Animalia,NA
Bramidae,Prey_Family,pomfrets,Animalia,NA
Brassicaceae,Prey_Family,mustard family,Plantae,NA
Brentidae,Prey_Family,straight-snouted weevils,Animalia,NA
Bromeliaceae,Prey_Family,bromeliads,Plantae,NA
Buccinidae,Prey_Family,true whelks,Animalia,NA
Bufonidae,Prey_Family,true toads,Animalia,NA
Buprestidae,Prey_Family,metallic wood-boring beetles,Animalia,NA
Burseraceae,Prey_Family,torchwoods,Plantae,NA
Buthidae,Prey_Family,arrowbreasted scorpions,Animalia,NA
Byrrhidae,Prey_Family,moss beetles,Animalia,NA
Cabombaceae,Prey_Family,fanwort family,Plantae,NA
Cactaceae,Prey_Family,cactuses,Plantae,NA
Caeciliusidae,Prey_Family,lizard barklice,Animalia,NA
Caesionidae,Prey_Family,fusiliers,Animalia,NA
Calcariidae,Prey_Family,longspurs and snow buntings,Animalia,NA
Callianassidae,Prey_Family,ghost shrimps,Animalia,NA
Calliphoridae,Prey_Family,blow flies,Animalia,NA
Calopterygidae,Prey_Family,broad-winged damselflies,Animalia,NA
Cambaridae,Prey_Family,cambarid crayfishes,Animalia,NA
Campanulaceae,Prey_Family,bellflower family,Plantae,NA
Cancridae,Prey_Family,rock crabs,Animalia,NA
Canidae,Prey_Family,canines,Animalia,NA
Cannabaceae,Prey_Family,hemp family,Plantae,NA
Cantharidae,Prey_Family,soldier beetles,Animalia,NA
Capparaceae,Prey_Family,caper family,Plantae,NA
Caprifoliaceae,Prey_Family,honeysuckle family,Plantae,NA
Caprimulgidae,Prey_Family,nightjars and nighthawks,Animalia,NA
Carabidae,Prey_Family,ground beetles,Animalia,NA
Carangidae,Prey_Family,jacks,Animalia,NA
Cardiidae,Prey_Family,cockles,Animalia,NA
Cardinalidae,Prey_Family,cardinals and allies,Animalia,NA
Caricaceae,Prey_Family,papaya family,Plantae,NA
Caryophyllaceae,Prey_Family,pink family,Plantae,NA
Castoridae,Prey_Family,beavers,Animalia,NA
Casuarinaceae,Prey_Family,sheoaks,Plantae,NA
Cathartidae,Prey_Family,new world vultures,Animalia,NA
Catostomidae,Prey_Family,suckers,Animalia,NA
Cecidomyiidae,Prey_Family,gall and forest midges,Animalia,NA
Celastraceae,Prey_Family,staff-vine family,Plantae,NA
Centrarchidae,Prey_Family,sunfishes,Animalia,NA
Centrolophidae,Prey_Family,medusafishes,Animalia,NA
Centropomidae,Prey_Family,snooks,Animalia,NA
Cephidae,Prey_Family,stem sawflies,Animalia,NA
Cerambycidae,Prey_Family,longhorn beetles,Animalia,NA
Ceratophyllaceae,Prey_Family,coontails,Plantae,NA
Ceratopogonidae,Prey_Family,biting midges,Animalia,NA
Cercopidae,Prey_Family,froghoppers,Animalia,NA
Cerithiidae,Prey_Family,ceriths,Animalia,NA
Cerithiopsidae,Prey_Family,cerithiopsid snails,Animalia,NA
Certhiidae,Prey_Family,treecreepers,Animalia,NA
Cervidae,Prey_Family,deer,Animalia,NA
Chaetodontidae,Prey_Family,butterflyfishes,Animalia,NA
Chalcididae,Prey_Family,chalcidid wasps,Animalia,NA
Chamaemyiidae,Prey_Family,aphid flies,Animalia,NA
Chanidae,Prey_Family,milkfishes,Animalia,NA
Channidae,Prey_Family,snakeheads,Animalia,NA
Chaoboridae,Prey_Family,phantom midges,Animalia,NA
Characidae,Prey_Family,characids,Animalia,NA
Charadriidae,Prey_Family,plovers and lapwings,Animalia,NA
Cheilodactylidae,Prey_Family,morwongs,Animalia,NA
Chelydridae,Prey_Family,snapping turtles,Animalia,NA
Chinchillidae,Prey_Family,chinchillas and viscachas,Animalia,NA
Chironomidae,Prey_Family,non-biting midges,Animalia,NA
Chloropidae,Prey_Family,grass flies,Animalia,NA
Chrysididae,Prey_Family,cuckoo wasps,Animalia,NA
Chrysobalanaceae,Prey_Family,coco plum family,Plantae,NA
Chrysomelidae,Prey_Family,leaf beetles,Animalia,NA
Chrysopidae,Prey_Family,green lacewings,Animalia,NA
Chthoniidae,Prey_Family,chthoniid pseudoscorpions,Animalia,NA
Chyromyidae,Prey_Family,golden flies,Animalia,NA
Cicadellidae,Prey_Family,typical leafhoppers,Animalia,NA
Cicadidae,Prey_Family,typical cicadas,Animalia,NA
Cichlidae,Prey_Family,cichlids,Animalia,NA
