x	
"Beal, F. E. L. 1911. Food of the woodpeckers of the United States. U.S. Dept. Agr. Biol. Surv. Bull. 37."	
"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."	
"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. No. 44."	
"Beal, F. E. L. 1918. Food habits of the swallows, a family of valuable native birds. U.S. Dept. Agric. Bull. 619."	
"Beal, F. E. L., W. L. McAtee, and E. R. Kalmbach. 1916. Common birds of southeastern United States in relation to agriculture. USDA Farmers' Bull. 755."	
"Beal, F. E. L., W. L. McAtee, and E. R. Kalmbach. 1916. Red-cockaded Woodpecker. Pages 34-35 in Common birds of southeastern United States in relation to agriculture. U.S. Dep. Agr. Farmer's Bull. 755."	
"Beal, F. E.L. 1941. Common birds of southeastern United States in relation to agricutlure. U.S. Fish Wildl. Serv. Conserv. Bull. 15."	
Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.	
"Beaver, D. L. and P. H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers."	
"Bent, A. C. 1942. Beardless flycatcher. Pages 309-314 in Life histories of North American flycatchers, larks, swallows and their allies. Am. Ornithol. Union, Washington, D.C."	
"Bielefeldt, J., R. N. Rosenfield, and J. M. Papp. 1992. Unfounded assumptions about diet of the Cooper's Hawk. Condor 94:427-436."	
Blair and schitoskey. 1982. Breeding Biology and Diet of the Ferruginous Hawk in South Dakota. Wilson Bull. 94. 46-54	
Blair and schitoskey. 1982. Breeding Biology and Diet of the Ferruginous Hawk in South Dakota. Wilson Bull. 94. 46-55	
"Bloom, P. H. and S. J. Hawks. 1982. Food habits of nesting Golden Eagles in northeast California and northwest Nevada. Raptor Res. 16:110-115."	
"Bosakowski, T. and D. G. Smith. 1992. Comparative diets of sympatric nesting raptors in the eastern deciduous forest biome. Can. J. Zool. 70:984-992."	
"Bosakowski, T., R. Speiser, and D. G. Smith. 1989. Nesting ecology of forest-dwelling Great Horned Owls in the Eastern Deciduous Forest Biome. Can. Field-Nat. 103:65-69."	
"Brown, B. T., W. C. Leibfried, T. R. Huels, and J. A. Olivera. 1991. Prey remains from Bald Eagle nests in Sonora, Mexico. Southwest Nat. 36:259-262."	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. Univ. Calif. Publ. Zool. 11:377-510."	
"Buckley, N. J. 1996. Food finding and the influence of information, local enhancement, and communal roosting on foraging success of North American vultures. Auk 113:473-488."	
"Bull, E. L. and J. H. Hohmann. 1994. Breeding biology of northern goshawks in northeastern Oregon. Stud. Avian Biol. 16:103-105."	
"Bull, E. L. and M. G. Henjum. 1990. Ecology of the great gray owl. U.S. Dept. Agric., For. Serv., Gen. Tech. Rep. PNW-GTR-265."	
"Bull, E. L. and R. C. Beckwith. 1993. Diet and foraging behavior of Vaux's Swifts in northeastern Oregon. Condor 96:1016-1."	
"Bull, E. L., R. C. Beckwith, and R. S. Holthausen. 1992a. Arthropod diet of Pileated Woodpeckers in northeastern Oregon. Northwest Nat. 73:42-45."	
"Burger, J. C., M. A. Patten, J. T. Rotenberry, and R. A. Redak. 1999. Foraging ecology of the California Gnatcatcher deduced from fecal samples. Oecologia 120:304-310."	
"Butler, A. W. 1897. The birds of Indiana. Indiana Department of Geology and Natural Resources, Annual Report 22:515-1187."	
"Caccamise, D. F. 1974. Competitive relationships of the Common and Lesser Nighthawks. Condor 76:1-20."	
"Carlisle, et al. 2012. Food Availability, Foraging Behavior, and Diet of Autumn Migrant Landbirds in the Boise Foothills of Southwestern Idaho. The Condor 114(3):449-461"	
"Carlisle, et al. 2012. Food Availability, Foraging Behavior, and Diet of Autumn Migrant Landbirds in the Boise Foothills of Southwestern Idaho. The Condor 114(3):449-462"	
"Carlisle, et al. 2012. Food Availability, Foraging Behavior, and Diet of Autumn Migrant Landbirds in the Boise Foothills of Southwestern Idaho. The Condor 114(3):449-463"	
"Carlisle, et al. 2012. Food Availability, Foraging Behavior, and Diet of Autumn Migrant Landbirds in the Boise Foothills of Southwestern Idaho. The Condor 114(3):449-464"	
"Carlisle, et al. 2012. Food Availability, Foraging Behavior, and Diet of Autumn Migrant Landbirds in the Boise Foothills of Southwestern Idaho. The Condor 114(3):449-465"	
"Carnie, S. K. 1954. Food habits of nesting Golden Eagles in the coast ranges of California. Condor 56:3-12."	
"Cash, K. J., J. P. Austin-Smith, D. Banks, D. Harris, and P. C. Smith. 1985. Remains from Bald Eagle Nest Sites on Cape Breton Island, Nova Scotia. The Journal of Wildlife Management. 49:223-225."	
"Cava, J. A., A. C. Stewart, and R. N. Rosenfield. 2012. Introduced Species Dominate the Diet of Breeding Urban Cooper's Hawks in British Columbia. The Wilson Journal of Ornithology. 124(4): 775-782. "	
"Chapin, E. A. 1925. Food habits of vireos: a family of insectivorous birds. U.S. Dep. Agric. Bull. 1355."	
"Cline and Clark. 1981. Chesapeake Bay Bald Eagle BandingProject,1981 report and five year summary. National Wildlife Federation Raptor Information Center. "	
"Coleman, J. S. and J. D. Fraser. 1987. Food habits of Black and Turkey vultures in Pennsylvania and Maryland. J. Wildl. Manage. 51:733-739."	
"Collopy, M. W. 1983. A comparison of direct observations and collections of prey remains in determining the diet of Golden Eagles. J. Wildl. Manage. 47:360-368."	
"Cottam, C. and J. B. Trefethen. 1968. White-wings: the life history, status, and management of the White-winged Dove. D. Van Nostrand Co., Inc. Princeton, NJ."	
"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."	
"Cottam, C. and P. Knappen.?1939.?Food of some uncommon North American birds.?Field Mus. Nat. Hist. Zool. ser., vol. 20."	
"Cottam, E. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."	
"Cottrell, M. J. 1981. Resource partitioning and reproductive success of three species of hawks (Buteo spp.) in an Oregon prairie. Master's Thesis. Oregon State Univ. Corvallis."	
"Crase, F. T. and R. W. DeHaven. 1977. Food of nestling Tricolored Blackbirds. Condor 79:265-269."	
"Crocoll, S. T. 1984. Breeding biology of Broad-winged and Red-shouldered hawks in western New York. Master's Thesis. State Univ. College, Fredonia, NY."	
"Csada, R. D., R. M. Brigham, and B. R. Pittendrigh. 1992. Prey selection in relation to insect availability by the Common Poorwill (Phalaenoptilus nuttallii). Can. J. Zool. 70:1299-1303."	
"Cunningham, S. C., R. W. Engel-Wilson, P. M. Smith, and W. B. Ballard. 1997. Food habits and nesting characteristics of sympatric Mourning and White-winged doves in Buckeye-Arlington Valley, Arizona. Tech. Rep. no. 26. Arizona Game Fish Dep. Phoenix."	
"Custer, T. W. and F. A. Pitelka. 1978. Seasonal trends in summer diet of the Lapland Longspur near Barrow, Alaska. Condor 80:295-301."	
"Davis II, W. R. and K. A. Arnold. 1972. Food habits of the Great-tailed Grackle in Brazos County, Texas. Condor 74:439-446."	
"Dellasala, D. A., C. L. Thomas, and R. G. Anthony. 1989. Use of domestic sheep carrion by Bald Eagles wintering in the Willamette Valley, Oregon. Northwest Sci. 63:104-108."	
"Deloria-Sheffield, C.M., et al. 2001. Kirtland's warbler diet as determined through fecal analysis. Wilson Bulletin 113(4): 384-387."	
"Dennis, J. V. 1994. A complete guide to bird feeding. Alfred A. Knopf, New York."	
"Depkin, F. C., M. C. Coulter, and A. L. Bryan, Jr. 1992. Food of nestling Wood Storks in east-central Georgia. Colon. Waterbirds 15:219-225."	
"Dick, J. A. and J. D. Rising. 1965. A comparison of foods eaten by Eastern Kingbirds and Western Kingbirds in Kansas. Bull. Kansas Ornithol. Soc. 16:23-24."	
"Dickey, D. R. and A. J. van Rossem. 1938. The birds of El Salvador. Publ. Field Mus. Nat. Hist. Zool. Ser. 23."	
"Dixon, J. B., Dixon, R. E., & Dixon, J. E. (1957). Natural history of the white-tailed kite in San Diego County, California.·The Condor,·59(3), 156-165."	
"Dixon, M. D., W. C. Johnson, and C. S. Adkisson. 1997. Effects of weevil larvae on acorn use by Blue Jays. Oecologia 111:201-208."	
"Dolbeer, R. A., P. P. Woronecki, A. R. Stickley, Jr., and S. B. White. 1978. Agricultural impact of a winter population of blackbirds and starlings. Wilson Bull. 90:31-44."	
"Dolton, D. D. 1975. Patterns and influencing factors of White-winged Dove feeding activity in the lower Rio Grande valley of Texas and Mexico. Master's Thesis. Texas A&M Univ. College Station."	
"Dorn, J. L. 1972. The Common Raven in Jackson Hole, Wyoming. Master's Thesis. Univ. of Wyoming, Laramie."	
"Duncan, J. R. 1992. Influence of prey abundance and snow cover on Great Gray Owl breeding dispersal. Phd Thesis. Univ. of Manitoba, Winnipeg."	
"Dunstan, T. C. 1974. Feeding activities of Ospreys in Minnesota. Wilson Bull. 86:74-76."	
"Dunstan, T. C. and J. F. Harper. 1975. Food Habits of Bald Eagles in North-Central Minnesota. The Journal of Wildlife Management. 39:140-143. "	
"Durst, S.L., T.C. Theimer, E.H. Paxton, M.K. Sogge. 2008. Age, Habitat, and Yearly Variation in the Diet of a Generalist Insectivore, The Southwestern Willow Flycatcher. Condor 110 (3): 514-525."	
"Eakle, W. L. and T. G. Grubb. 1986. Prey remains from Golden Eagle nests in central Arizona. West. Birds 17:87-89."	
"Easterla, D. A. 1962. Foods of Le Conte's Sparrow. Auk 79:272-273."	
"Eaton, S. W. 1958. A life history study of the Louisiana Waterthrush. Wilson Bull. 70:210-235."	
"Elias, D. J. and G. D. Valencia. 1982. Unusual feeding behavior by a population of Black Vultures. Wilson Bull. 94:214."	
"Ellison, W. G.?1991.?The mechanism and ecology of range expansion by the Blue-gray Gnatcatcher.?Master's Thesis. Univ. Connecticut, Storrs."	
"Errington, P. L. and N. J. Breckenridge. 1938. Food habits of buteo hawks in the north-central United States. Wilson Bull. 50:113-121."	
"Errington, P. L., F. Hamerstrom, and F. N. Hamerstrom, Jr. 1940. The Great Horned Owl and its prey in north-central United States. Iowa Agric. Exp. Stn. Res. Bull. 277:757-850."	
"Estes, W. A. and R. W. Mannan. 2003. Feeding behavior of Cooper's Hawks at urban and rural nests in southeastern Arizona. Condor 105:107-116."	
"Etzel, K. E., T. C. Theimer, M. J. Johnson, and J. A. Holmes. 2014. Variation in Prey Delivered to Common Black-Hawk (Buteogallus anthracinus) Nests in Arizona Drainage Basins"	
"Evans, F. C. 1964. The food of Vesper, Field, and Chipping sparrows nesting in an abandoned field in southeastern Michigan. Am. Midl. Nat. 72:57-75."	
"Feist, F. G. 1968. Breeding bird populations in relation to proposed sagebrush control in central Montana. Master's Thesis. Montana State Univ. "	
"Findholt, S. L. and S. H. Anderson. 1995b. Diet and prey use patterns of the American White Pelican (Pelecanus erythrorhynchos) nesting at Pathfinder Reservoir, Wyoming. Colonial Waterbirds 18:58-68."	
"Fischer, D. H. 1981b. Wintering ecology of thrashers in southern Texas. Condor 83:340-346."	
"Fischer, et al. 2010. Predation on bats by Great Kiskadees. Journal of Field Ornithology 81(1): 17-20."	
"Fitch, F. W. 1950. Life history and ecology of the Scissor-tailed Flycatcher, Muscivora forficata. Auk 67:145-168."	
"Fitch, H. S. 1947. Predation by owls in the Sierran foothills of California. Condor 49:137-151."	
"Fitch, H. S. 1974. Observations on the food and nesting of the Broad-winged Hawk (Buteo platypterus) in northeastern Kansas. Condor 76:331-360."	
"Fitzner, R. E., D. Berry, L. L. Boyd, and C. A. Reick. 1977. Nesting of Ferruginous Hawks (Buteo regalis) in Washington, 1974-75. Condor 79:245-249."	
"Fitzner. 1978. Behavioral Ecology of Swainson's Hawk in Se. Was. Was. State University, Pullman, Ph.D diss."	
"Forbes, S. A. 1882. Birds and canker worms. Annual report of the Michigan State Horticultural Society for 1881:203-204."	
"Forbes, S. A. 1883. The regulative action of birds upon insect oscillation. Bull Ill. State Lab. Nat. Hist. 1(6)"	
"Franklin, A. B. 1988. Breeding biology of the Great Gray Owl in southeastern Idaho and northwestern Wyoming. Condor 90:689-696."	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081774"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081775"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081776"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081777"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081778"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081779"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081780"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081781"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081782"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081783"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081785"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081786"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081787"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081788"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081789"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081790"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081791"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081792"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081793"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081794"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081795"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081796"	
"French, N. R.. (1959). Life History of the Black Rosy Finch.?The Auk,?76(2), 159?180. http://doi.org/10.2307/4081797"	
"Gabrielson, I. N. 1924. Food habits of some winter bird visitants. U.S. Dep. Agric. Bull. 1249."	
"Gavett, A. P. and J. S. Wakeley. 1986. Diets of House Sparrows in urban and rural habitats. Wilson Bull. 98:137-144."	
"Gibbon, R. S. 1970. The breeding biology and food of the Yellow-bellied Sapsucker in New Brunswick. Master's Thesis. York Univ. Toronto, ON."	
"Gilmer, D. S. and R. E. Stewart. 1983. Ferruginous Hawk populations and habitat use in North Dakota. J. Wildl. Manage. 47:146-157."	
"Glinski, R. Food habits data for Mississippi Kite, Black Hawk, Zone-tailed Hawk, and Gray Hawk. (unpublished). [from Sherrod, Steve K. 1978. Diets of North American Falconiformes. Raptor Research. 12(3/4 ):49-121.]"	
"Glinski, R. L. and R. D. Ohmart. 1983. Breeding ecology of the Mississippi Kite in Arizona. Condor 85:200-207."	
"Goddard, S. V. 1967. Management of blackbird populations in western Oklahoma. Phd Thesis. Oklahoma State Univ. Stillwater."	
"Goggans, R. 1986. Habitat use by Flammulated Owls in northeastern Oregon. Master's Thesis. Oregon State Univ. Corvallis."	
"Goldwasser, L. and J. Roughgarden. 1993. Construction and analysis of a large Caribbean food web. Ecology 74:1216-1233."	
"Goulet, R. 2010. Aspects of the Ecology of Urban-nesting Bald Eagles ( Haliaeetus leucocephalus) in South-Coastal British Columbia. McGill University. "	
"Grubb, T. G. 1995. Food habits of Bald Eagles breeding in the Arizona desert. Wilson Bull. 107:258-274."	
"Grubb, T. G. and R. G. Lopez. 2000. Food Habits of Bald Eagles wintering in northern Arizona. Journal of Raptor Research. 35: 287-292. "	
"Grubb, T. G. and R. J. Hensel. 1978. Food Habits of Nesting Bald Eagles on Kodiak Island, Alaska. The Murrelet. 59:70-72. "	
"Grundel, R. and D. L. Dahlsten. 1991. The feeding ecology of Mountain Chickadees (Parus gambeli): patterns of arthropod prey delivery to nestling birds. Can. J. Zool. 69:1793-1804."	
"Haag, K. R., J. C. Joyce, W. M. Hetrick, and J. C. Jordan. 1987. Predation on waterhyacinth weevils and other aquatic insects by three wetland birds in Florida. Fla."	
"Hall, L. S. 1996. Habitat selection by the Elegant Trogon (Trogon elegans) at multiple scales. Phd Thesis. Univ. of Arizona, Tucson."	
"Hamel, P. B. 1992. Cerulean warbler, Dendroica cerulea. Pages 385-400 in Migratory nongame birds of management concern in the North-east. (Schneider, K. J. and D. M. Pence, Eds.) U.S. Fish Wildl. Serv. Newton Corner, MA."	
"Hamerstrom, F. N. Jr. and F. Hamerstrom. 1951. Food of Young Raptors n the Edwin S. George Reserve. The Wilson Bulletin. 63(1): 16-25. "	
"Hamilton, Jr., W. J. 1940. Summer food of the Robin determined by fecal analyses. Wilson Bull. 52:179-182."	
"Hamilton, Jr., W. J. 1951. The food of nestling Bronzed Grackles, Quiscalus quiscula versicolor, in central New York. Auk 68:213-217."	
"Hanson, M. R. 2012. Food habits of breeding Bald Eagles (Haliaeetus leucocephalus) in Florida Everglades National Park. Florida Atlantic University. "	
"Harlow, R. F. and M. R. Lennartz. 1977. Foods of nestling Red-cockaded Woodpeckers in coastal South Carolina. Auk 94:376-377."	
"Harmata, A. R. 1984. Bald Eagles of the San Luis valley, Colorado: their winter ecology and spring migration. Phd Thesis. Montana State Univ. Bozeman."	
"Haughey, R. A. 1986. Diet of desert-nesting western White-winged Doves Zenaida asiatica mearnsi. Master's Thesis. Univ. of Arizona, Tucson."	
"Hayward, G. D., P. H. Hayward, and E. O. Garton. 1993. Ecology of Boreal Owls in the Northern Rocky Mountains, USA. Wildl. Monogr. No. 124."	
"Haywood, D. D. and R. D. Ohmart. 1986. Utilization of benthic-feeding fish by inland breeding Bald Eagles. Condor 88:35-42."	
"Heinrich, B. and R. Bell. 1995. Winter food of a small insectivorous bird, the Golden-crowned Kinglet. Wilson Bull. 107:558-561."	
"Hering, P. E. 1934. The food of the American Crow in central New York State. Auk 51:470-476."	
"Hiraldo, F., M. Delibes, and J. A. Donazar. 1991. Comparison of diets of Turkey Vultures in three regions of northern Mexico. J. Field Ornithol. 62:319-324."	
"Hiraldo, F., M. Delibes, J. Bustamante, and R. Estrella. 1991. Overlap in the diet of diurnal raptors breeding at the Michilia Biosphere Reserve, Durango, Mexico. J. Raptor Res. 25:25-29."	
"Holmes, R. T. and S. K. Robinson. 1988. Spatial patterns, foraging tactics, and diets of ground-foraging birds in a northern hardwoods forest. Wilson Bull. 100:377-394."	
"Howell, A. H. 1924. Birds of Alabama. Dep. Game Fish. of Alabama, Montgomery."	
"Hunt, W. G., R. E. Jackman, and N. L. Hutchins. 2007. Bald Eagle Foraging and Reservoir Management in Northern California. Journal of Raptor Research. 41: 202-211. "	
"Hunt, W. G., R. E. Jackman, T. L. Brown, J. G. Gilardi, D. E. Driscoll, and L. Culp. 1995. A pilot Golden Eagle population study in the Altamont Pass Wind Resource Area, California. Predatory Bird Res. Group, Univ. of California, Santa Cruz."	
"Imler, R. H. 1939. Comparison of the food of the White-necked Raven and crows in Oklahoma. Wilson Bull. 51:121-122."	
"Jackson, J. A. 1976a. A comparison of some aspects of the breeding ecology of Red-headed and Red-bellied woodpeckers in Kansas. Condor 78:67-76."	
"Jahn, A.E. et al. 2010. Seasonal differences in rainfall, food availability, and the foraging behavior of Tropical Kingbirds in the southern Amazon Basin. Journal of Field Ornithology 81: 4, 340-348"	
"Jaksic, F. M., H. W. Greene, and J. L. Ya????ez. 1981. The guild structure of a community of predatory vertebrates in central Chile. Oecologia 49:21-28."	
"Janik, C. A. and J. A. Mosher. 1982. Breeding Biology of Raptors in the Central Appalachians. Raptor Research. 16(1):18-24. "	
"Jarvis, R. L. and M. F. Passmore. 1992. Ecology of Band-tailed Pigeons in Oregon. U.S. Fish Wildl. Serv. Biol. Rep. 6."	
"Joy, S. M., R. T. Reynolds, R. L. Knight, and R. W. Hoffman. 1994. Feeding ecology of Sharp-shinned Hawks nesting in deciduous and coniferous forests in Colorado. Condor 96:455-467."	
"Judd, S. D. 1898. Food of shrikes: Cuckoos and shrikes in their relation to agriculture. U.S. Dep. Agric., Div. Biol. Surv. Bull. 9:15-26."	
"Judd, S. D. 1901. The relation of sparrows to agriculture. U.S. Dep. Agric., Biol. Surv. Bull. no. 15."	
"Judd, S. O. 1901. The relation of sparrows to agriculture. U.S. Dep. Agric. Biol. Surv. Bull. 15:1-98."	
"Kalmbach, E. R. 1927. The Magpie in relation to agriculture. USDA Tech. Rep. no. 24:1-29."	
"Kennedy, P. L., D. E. Crowe, and T. F. Dean. 1995. Breeding biology of the Zone-tailed Hawk at the limit of its distribution. J. Raptor Res. 29:110-116."	
"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."	
"Kleintjes, P.K. and D.L. Dahlsten.  1992. A comparison of three techniques for analyzing the diet of Plain Titmouse (Parus inornatus) and Chestnut-backed Chickadees (P. rufescens). J. Field Ornithol. 63:276-285."	
"Knight, R. L. and R. E. Jackman. 1984. Food-niche relationships between Great Horned Owls and Common Barn-Owls in eastern Washington. Auk 101:175-179."	
"Kochert, M. N. 1972. Population status and chemical contamination in Golden Eagles in southwestern Idaho. Master's Thesis. Univ. of Idaho, Moscow."	
"Koplin, J. R. and P. H. Baldwin. 1970. Woodpecker predation on an endemic population of Engelmann spruce beetles. Am. Midl. Nat. 83:510-515."	
"Korpimaki, E. 1987a. Prey caching of breeding Tengmalm's owls Aegolius funereus as a buffer against temporary food shortage. Ibis 129:499-510."	
"Kozie, K. D. and R. K. Anderson. 1991. Productivity, diet, and environmental contaminants in Bald Eagles nesting near the Wisconsin shoreline of Lake Superior. Arch. Environ. Contam. Toxicol. 20:41-48."	
"Kroll, J. C. 1980. Habitat requirements of the Golden-cheeked Warbler: management implications. J. Range Manage. 33:60-65."	
"Kushlan, J. A. 1979. Prey choice by tactile foraging wading birds. Proc. Colon. Waterbird Soc. Group 3:133-142."	
"Lafontaine, A. R. and J. H. Fowler. 1976. Golden Eagle preys on Osprey. Auk 93:390."	
"Landers, J. L. and J. L. Buckner. 1979. Ground dove use of young pine plantations. Wilson Bull. 91:467-468."	
"Lawrence Bryan, A., L. B. Hopkins, C. S. Eldridge, I. L. Brisbin Jr., and C. H Jagoe. 2005. Behavior and Food Habits at a Bald Eagle Nest in Inland South Carolina. Southeastern Naturalist. 4:459-468. "	
"Lefebvre, G., B. Poulin, and R. McNeil. 1992. Abundance, feeding behavior, and body condition of Nearctic warblers wintering in"	
"Lefebvre, G., B. Poulin, and R. McNeil. 1992. Abundance, feeding behavior, and body condition of Nearctic warblers wintering in Venezuelan mangroves. Wilson Bull. 104:400-412."	
"Lockhart, J. M. 1976. The food habits, status and ecology of nesting Golden Eagles in the Trans-Pecos region of Texas. Master's Thesis. Sul Ross State Univ. Alpine, TX."	
"Lokemoen, J. T. and H. F. Duebbert. 1976. Ferruginous Hawk nesting ecology and raptor populations in northern South Dakota. Condor 78:464-470."	
"Macarthur, R. H. 1958. Population ecology of some warblers of northeastern coniferous forest. Ecology 39:599-619."	
"Maclaren, P. A., S. H. Anderson, and D. E. Runde. 1988. Food habits and nest characteristics of breeding raptors in southwestern Wyoming. Great Basin Nat. 48:548-553."	
"Macroberts, M. H. and B. R. MacRoberts. 1976. Social organization and behavior of the Acorn Woodpecker in central coastal California. Ornithol. Monogr. 21:1-115."	
"Marin, M. 1999b. Food, foraging, and timing of breeding of the Black Swift in California. Wilson Bull. 111:30-37."	
"Markham, A. C., and B. D. Watts. 2008. The Influence of Salinity on the Diet of Nesting Bald Eagles. The Journal of Raptor Research. 42:99-109."	
"Marquiss, M. and I. Newton. 1982. The goshawk in Britain. Br. Birds 75:243-260."	
"Marr, N. V. and R. L. Knight. 1983. Food habits of Golden Eagles in eastern Washington. Murrelet 64:73-77."	
"Marshall, Jr., J. T. 1960. Interrelationships of Abert's and Brown Towhees. Condor 62:49-64."	
"Marti, C. D. 1974. Feeding ecology of four sympatric owls. Condor 76:45-61."	
"Mcatee, W. L. 1904. Warblers and grapes. Auk 21:489-491."	
"Mcatee, W. L. 1908. Food habits of the grosbeaks. Bureau of Biol. Surv. Bull. no. 32. Washington, D.C."	
"Mcatee, W. L. 1908. Food habits of the grosbeaks. U.S. Dept. Agricult. Biol. Surv. Bull. 32."	
"Mcewan, L. C. and D. H. Hirth. 1980. Food habits of the Bald Eagle in north-central Florida. Condor 82:229-231."	
"Mcgahan, J. 1967. Quantified estimates of predation by a Golden Eagle population. J. Wildl. Manage. 31:496-501."	
"Mcgahan, J. 1968. Ecology of the Golden Eagle. Auk 85:1-12."	
"Mclachlin, R. A. 1983. Dispersion of the Western Winter Wren (Troglodytes troglodytes) in the coastal western hemlock forest at the University of British Columbia Research Forest in southwestern British Columbia. Phd Thesis. Univ. of British Columbia, Vancouver."	
