Source	Common_Name	Subspecies	Observation_Year_Begin	Observation_Month_Begin	Observation_Season	Analysis_Number	Bird_Sample_Size	Habitat_type	Location_Region	Location_Specific	Item_Sample_Size	Diet_Type	Study_Type	Sites	Sum_Diet	Checked
"Blackwell, B. F., W. B. Krohn, and R. B. Allen. 1995. Foods of nestling Double-crested Cormorants in Penobscot Bay, Maine, U.S.A.: temporal and spatial comparisons. Colon. Waterbirds 18(Spec. Publ. 1):199-208."	Double-crested Cormorant	NA	1993	7	summer	NA	NA	wetland	Maine	Middle Penobscot Bay	614	Wt_or_Vol	emetic	1	0.924	
"Blackwell, B. F., W. B. Krohn, and R. B. Allen. 1995. Foods of nestling Double-crested Cormorants in Penobscot Bay, Maine, U.S.A.: temporal and spatial comparisons. Colon. Waterbirds 18(Spec. Publ. 1):199-208."	Double-crested Cormorant	NA	1993	7	summer	NA	NA	wetland	Maine	Northern Penobscot Bay	462	Wt_or_Vol	emetic	1	1.14	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1992	5	spring	NA	29	wetland	Maine	Penobscot River	324	Wt_or_Vol	stomach contents	NA	1.103	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1992	6	spring	NA	15	wetland	Maine	Penobscot River	164	Wt_or_Vol	stomach contents	NA	1.068	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1992	6	spring	NA	58	wetland	Maine	Penobscot River	634	Items	stomach contents	NA	1.067	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1992	6	spring	NA	58	wetland	Maine	Penobscot River	634	Wt_or_Vol	stomach contents	NA	0.946	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1993	5	spring	NA	3	wetland	Maine	Penobscot River	8	Wt_or_Vol	stomach contents	NA	0.667	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1993	5	spring	NA	3	wetland	Maine	Penobscot River	15	Wt_or_Vol	stomach contents	NA	1.335	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1993	5	spring	NA	13	wetland	Maine	Penobscot River	31	Wt_or_Vol	stomach contents	NA	0.9235	
"Blackwell, B. F., W. B. Krohn, N. R. Dube, and A. J. Godin. 1997. Spring prey use by double-crested cormorants on the Penobscot River, Maine, USA. Waterbird Soc. 20:77-86."	Double-crested Cormorant	NA	1993	5	spring	NA	17	wetland	Maine	Penobscot River	41	Wt_or_Vol	stomach contents	NA	0.801	
