Source	Common_Name	Subspecies	Observation_Year_Begin	Observation_Month_Begin	Observation_Season	Analysis_Number	Bird_Sample_Size	Habitat_type	Location_Region	Location_Specific	Item_Sample_Size	Diet_Type	Study_Type	Sites	Sum_Diet	Checked
"Schneider, D. C. and G. L. Hunt, Jr. 1984. A comparison of seabird diets and foraging distribution around the Pribilof I. Pages 86-95 in Marine birds: their feeding ecology and commercial fisheries interactions. (Nettleship, D. N., G. A. Sanger, and P. F. Springer, Eds.) Can. Wildl. Serv. Spec. Publ. Ottawa, ON."	Red-faced Cormorant	NA	1975	6	summer	NA	52	wetland	Alaska	St. George	125	Wt_or_Vol	emetic	NA	1.06	
"Schneider, D. C. and G. L. Hunt, Jr. 1984. A comparison of seabird diets and foraging distribution around the Pribilof I. Pages 86-95 in Marine birds: their feeding ecology and commercial fisheries interactions. (Nettleship, D. N., G. A. Sanger, and P. F. Springer, Eds.) Can. Wildl. Serv. Spec. Publ. Ottawa, ON."	Red-faced Cormorant	NA	1975	6	summer	NA	77	wetland	Alaska	St. Paul	384	Items	emetic	NA	1.165	
"Schneider, D. C. and G. L. Hunt, Jr. 1984. A comparison of seabird diets and foraging distribution around the Pribilof I. Pages 86-95 in Marine birds: their feeding ecology and commercial fisheries interactions. (Nettleship, D. N., G. A. Sanger, and P. F. Springer, Eds.) Can. Wildl. Serv. Spec. Publ. Ottawa, ON."	Red-faced Cormorant	NA	1975	6	summer	NA	77	wetland	Alaska	St. Paul	384	Wt_or_Vol	emetic	NA	1.13	
"Schwartz, C. W. and E. R. Schwartz. 1951. A survey of the Lace-necked Dove in Hawaii. Pacific Science 5(1):90-107."	Spotted Dove	chinensis	1946	2	multiple	1	71	forest;agriculture;wetland;urban	Hawaii	multiple	NA	Wt_or_Vol	crop contents; stomach contents	NA	1.032	
"Schwartz, C. W. and E. R. Schwartz. 1951. A survey of the Lace-necked Dove in Hawaii. Pacific Science 5(1):90-107."	Spotted Dove	chinensis	1946	NA	multiple	1	71	forest;agriculture;wetland;urban	Hawaii	multiple	NA	Wt_or_Vol	crop contents; stomach contents	NA	0.002	
"Scott, J. M. 1973. Resource allocation in four syntopic species of marine diving birds. Ph.D. thesis. Oregon State Univ., Newport."	Brandt's Cormorant	NA	1969	6	summer	NA	29	wetland	Oregon	Off Yaquina Head	NA	Items	esophagus contents	NA	1.057	
"Scott, J. M. 1973. Resource allocation in four syntopic species of marine diving birds. Ph.D. thesis. Oregon State Univ., Newport."	Brandt's Cormorant	NA	1969	6	summer	NA	29	wetland	Oregon	Off Yaquina Head	NA	Wt_or_Vol	esophagus contents	NA	0.828	
"Seefelt, N. E. and J. C. Gillingham. 2008. Bioenergetics and Prey Consumption of Breeding Double-crested Cormorants in the Beaver Archipelago, Northern Lake Michigan. J. Great Lakes Res. 34:122-133."	Double-crested Cormorant	NA	2000	4	spring	NA	31	wetland	Michigan	Beaver Archipelago	NA	Wt_or_Vol	emetic; stomach contents	NA	0.91	
"Stollberg, B. P. 1949. Competiton of American Coots and shoal-winter ducks for food. J. Wildl. Manage. 13:423-424."	American Coot	NA	1949	10	fall	1	32	wetland	Wisconsin	Horicon Marsh	NA	Wt_or_Vol	stomach contents	1	1.0505	
"Unander, S., A. Mortensen, and A. Elvebakk. 1985. Seasonal changes in crop content of the Svalbard Ptarmigan Lagopus mutus hyperboreus. Polar Research 3: 239-245."	Rock Ptarmigan	hyperboreus	1979	9	summer	2	NA	tundra	Norway	Nyalesund; Longyearbyen	NA	Wt_or_Vol	crop contents	2	0.966	
"Webb, L. A. and J. T. Harvey. 2015. Diet of a piscivorous seabird reveals spatiotemporal variation in abundance of forage fishes in the Monterey Bay region. J. Mar. Sys. 146:59-71."	Brandt's Cormorant	NA	2006	9	fall;winter	NA	67	wetland	California	Monterey Bay	NA	Items	pellet contents	3	0.868	
"Webb, L. A. and J. T. Harvey. 2015. Diet of a piscivorous seabird reveals spatiotemporal variation in abundance of forage fishes in the Monterey Bay region. J. Mar. Sys. 146:59-71."	Brandt's Cormorant	NA	2007	9	fall;winter	NA	67	wetland	California	Monterey Bay	NA	Items	pellet contents	3	0.835	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1904	9	multiple	NA	4	multiple	Colorado	Hall Valley	NA	Wt_or_Vol	crop contents	1	0.96	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1904	9	multiple	NA	6	multiple	Colorado	Bullion Peak	NA	Wt_or_Vol	crop contents	1	0.89	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1904	9	multiple	NA	13	multiple	Colorado	Arapaho Peak; Bullion Peak	NA	Wt_or_Vol	crop contents	2	0.83	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1904	9	multiple	NA	19	multiple	Colorado	Independence Pass	NA	Wt_or_Vol	crop contents	1	0.81	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1919	11	multiple	NA	1	multiple	Alberta	Waterton Lakes	NA	Wt_or_Vol	crop contents	1	0.94	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1919	11	multiple	NA	2	multiple	Alberta	Banff National Park	NA	Wt_or_Vol	crop contents	1	0.89	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1919	11	multiple	NA	2	multiple	British Columbia	Hazelton	NA	Wt_or_Vol	crop contents	1	0.94	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1919	11	multiple	NA	3	multiple	British Columbia	Stikine River; Lorna Lake	NA	Wt_or_Vol	crop contents	2	0.92	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1923	8	multiple	NA	4	multiple	Alaska	Mt. McKinley NP; Summit Lake	NA	Wt_or_Vol	crop contents	2	0.89	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1923	8	multiple	NA	12	multiple	Alaska	Little Susitna River	NA	Wt_or_Vol	crop contents	1	0.96	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1941	6	multiple	NA	6	multiple	Canada	Vancouver Island; Mount Edward Albert	NA	Wt_or_Vol	crop contents	1	0.95	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1957	5	multiple	NA	1	multiple	British Columbia	Chilkat Pass	NA	Wt_or_Vol	crop contents	1	2	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1957	5	multiple	NA	4	multiple	British Columbia	Chilkat Pass; Atlin	NA	Wt_or_Vol	crop contents	2	0.95	
"Weeden, R. B. 1967. Seasonal and geographic variation in the foods of adult White-tailed Ptarmigan. Condor 69:303-309."	White-tailed Ptarmigan	NA	1957	5	multiple	NA	7	multiple	British Columbia	Chilkat Pass; Atlin	NA	Wt_or_Vol	crop contents	2	0.94	
"West, G. C. and M. S. Meng. 1966. Nutrition of Willow Ptarmigan in northern Alaska. Auk 83:603-615."	Willow Ptarmigan	NA	NA	3	winter	NA	NA	NA	Alaska	Umiat	NA	Wt_or_Vol	crop contents	1	1.0558	
"West, G. C. and M. S. Meng. 1966. Nutrition of Willow Ptarmigan in northern Alaska. Auk 83:603-615."	Willow Ptarmigan	NA	NA	10	fall	NA	NA	NA	Alaska	Umiat	NA	Wt_or_Vol	crop contents	1	1.882	
"West, G. C. and M. S. Meng. 1966. Nutrition of Willow Ptarmigan in northern Alaska. Auk 83:603-615."	Willow Ptarmigan	NA	NA	11	fall	NA	NA	NA	Alaska	Umiat	NA	Wt_or_Vol	crop contents	1	1.0618	
"Wetmore, A. 1916. Birds of Porto Rico. U.S. Dep. Agric. Bull. 326."	Cave Swallow		1911	12	multiple	1	36	grassland;mudflat;urban	Puerto Rico	NA	NA	Wt_or_Vol	stomach contents	NA	1.1597	
"Wiens, J. A. and J. T. Rotenberry. 1979. Diet niche relationships among North American grassland and shrubsteppe birds. Oecologia 42:253-292."	Grasshopper Sparrow	NA	1972	6	summer	1	11	grassland	Texas	Northwestern Texas	239	Wt_or_Vol	stomach contents	NA	0.9505	
"Wiens, J. A. and J. T. Rotenberry. 1979. Diet niche relationships among North American grassland and shrubsteppe birds. Oecologia 42:253-292."	Grasshopper Sparrow	NA	1972	6	summer	1	20	grassland	Oklahoma	Northeastern Oklahoma	1094	Wt_or_Vol	stomach contents	NA	0.96	
