common_name	family	revised	section	subsection	citation	checked	usable_data	notes
Bald Eagle	Accipitridae		Found in other references		"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. 42:198-202."	y	Y	
Bald Eagle	Accipitridae		Found in other references		"Munro, J. A. 1938. The Northern Bald Eagle in British Columbia. 50:28-35. "	y	n	
Bald Eagle	Accipitridae		Found in other references		"Cline and Clark. 1981. Chesapeake Bay Bald Eagle BandingProject,1981 report and five year summary. National Wildlife Federation Raptor Information Center. "	y	Y	
Bald Eagle	Accipitridae		Found in other references		"Grubb, T. G. and R. J. Hensel. 1978. Food Habits of Nesting Bald Eagles on Kodiak Island, Alaska. The Murrelet. 59:70-72. "	y	Y	
Bald Eagle	Accipitridae		Found in other references		"Dunstan, T. C. and J. F. Harper. 1975. Food Habits of Bald Eagles in North-Central Minnesota. The Journal of Wildlife Management. 39:140-143. "	y	Y	
Bald Eagle	Accipitridae		Found in other references		"Cash, K. J., J. P. Austin-Smith, D. Banks, D. Harris, and P. C. Smith. 1985. Remains from Bald Eagle Nest Sites on Cape Breton Island, Nova Scotia. The Journey of Wildlife Management. 49:223-225."	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Grubb, T. G. and R. G. Lopez. 2000. Food Habits of Bald Eagles wintering in northern Arizona. Journal of Raptor Research. 35: 287-292. "	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Lawrence Bryan, A., L. B. Hopkins, C. S. Eldridge, I. L. Brisbin Jr., and C. H Jagoe. 2005. Behaviorand Food Habits at a Bald Eagle Nest in Inland South Carolina. Southeastern Naturalist. 4:459-468. "	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Hanson, M. R. 2012. Food habits of breeding Bald Eagles (Haliaeetus leucocephalus) in Florida Everglades National Park. Florida Atlantic University. "	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Watson, J. W. 2002. Comparative Home Ranges and Food Habits of Bald Eagles Nesting in Four Aquatic Habitats in Western Washington. Northwestern Naturalist. 83:101-108."	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Hunt, W. G., R. E. Jackman, and N. L. Hutchins. 2007. Bald Eagle Foraging and Reservoir Management in Northern California. Journal of Raptor Research. 41: 202-211. "	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Elliott, K. H., J. Duffe, S. L. Lee, P. Mineau, and J. E. Elliott. 2006. Foraging Ecology of Bald Eagles at an Urban Landfill. The Wilson Journal of Ornithology. 118: 380-390"	y	n	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Thompson, C. M., P.E. Nye, G. A. Schmidt, and D. K. Garcelon. 2005. Foraging Ecology of Bald Eagles in a Freshwater Tidal System. Journal of Wildlife Management. 69:609-617. "	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Stocek, R. F. Diet of wintering Bald Eagles, Haliaeetus leucocephalus, in New Brunswick. "	n		
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Goulet, R. 2010. Aspects of the Ecology of Urban-nesting Bald Eagles ( Haliaeetus leucocephalus) in South-Coastal British Columbia. McGill University. "	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Markham, A. C., and B. D. Watts. 2008. The Influence of Salinity on the Diet of Nesting Bald Eagles. The Journal of Raptor Research. 42:99-109."	y	Y	
Bald Eagle	Accipitridae	1996	Feeding		"Toland, B. 1986. Hunting success of some Missouri raptors. Wilson Bull. 98:116-125."	y	Y	
Bald Eagle	Accipitridae		Found in 2015 Literature Search		"Newsome SD, Collins PW, Sharpe P. Foraging ecology of a reintroduced population of breeding Bald Eagles on the Channel Islands, California, USA, inferred from prey remains and stable isotope analysis. The Condor [Internet]. Cooper Ornithological Society; 2015 Jul 22;117(3):396–413"			
Black-chested Buzzard-eagle	Accipitridae	1998	Feeding	Food Capture And Consumption	"Jaksic, F. M., H. W. Greene, and J. L. Ya????ez. 1981. The guild structure of a community of predatory vertebrates in central Chile. Oecologia 49:21-28."			
Broad-winged Hawk	Accipitridae	1996	Nutrition And Energetics		"Mosher, J. A. and P. F. Matray. 1974. Size dimorphism: a factor in energy savings for Broad-winged Hawks. Auk 91:325-341."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Feeding		"Burns, F. L. 1911. A monograph of the Broad-winged Hawk (Buteo platypterus). Wilson Bull. 23(3 and 4):1-320."	y	n	
Broad-winged Hawk	Accipitridae	1996	Diet	Major Food Items And Quantitative Analysis	"Palmer, R. S. 1988. Handbook of North American birds. Vol. 5. Yale Univ. Press, New Haven, CT."	y	n/y	useful resource for finding other studies (already done); doesn't have enough data from original studies to use as a source itself
Broad-winged Hawk	Accipitridae	1996	Diet	Major Food Items And Quantitative Analysis	"Meyer De Schauensee, R. and W. H. Phelps, Jr. 1978. A guide to the birds of Venezuela. Princeton Univ. Press, Princeton, NJ."	n		
Broad-winged Hawk	Accipitridae	1996	Feeding		"Slud, P. 1964. Birds of Costa Rica: distribution and ecology. Bull. Am. Mus. Nat. Hist. vol. 128."	n		
Broad-winged Hawk	Accipitridae	1996	Diet	Major Food Items And Quantitative Analysis	"Rosenfield, R. N. 1979. Broad-winged Hawk preys on Saw-whet Owl. Passenger Pigeon 41:60."	n		
Broad-winged Hawk	Accipitridae	1996	Food Selection And Storage		"Lyons, D. M. and J. A. Mosher. 1982. Food caching by raptors and caching of a nestling by the Broad-winged Hawk. Ardea 70:217-219."	n		
Broad-winged Hawk	Accipitridae	1996	"Drinking, Pellet-Casting, And Defecation"		"Duke, G. E., O. A. Evanson, and A. Jegers. 1976. Meal to pellet intervals in 14 species of captive raptors. Comp. Biochem. Physiol. 53A:1-6."	y	n	
Broad-winged Hawk	Accipitridae	1996	Feeding	Main Foods Taken	"Matray, P. F. 1974. Broad-winged Hawk nesting and ecology. Auk 91:307-324."	y	n	
Broad-winged Hawk	Accipitridae	1996	Feeding		"Fitch, H. S. 1974. Observations on the food and nesting of the Broad-winged Hawk (Buteo platypterus) in northeastern Kansas. Condor 76:331-360."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Feeding		"Crocoll, S. T. 1984. Breeding biology of Broad-winged and Red-shouldered hawks in western New York. Master's Thesis. State Univ. College, Fredonia, NY."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Feeding	Microhabitat For Foraging	"Buskirk, W. H. 1976. Social systems in a tropical forest avifauna. Am. Nat. 110:293-310."	y	n	
Broad-winged Hawk	Accipitridae	1996	Feeding	Food Capture And Consumption	"Brown, L. and D. Amadon. 1968. Eagles, hawks, and falcons of the world. McGraw-Hill, New York."	y	n	
Broad-winged Hawk	Accipitridae	1996	Feeding	Main Foods Taken	"Rosenfield, R. N., M. W. Gratson, and L. B. Carson. 1984. Food brought by Broad-winged Hawks to a Wisconsin nest. J. Field Ornithol. 55:246-247."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Nutrition And Energetics		"Hawfield, E. J. 1986. The number of fault bars in the feather of Red-tailed Hawks, Red-shouldered Hawks, Broad-winged Hawks, and Barred Owls. Chat 50:15-18."	y	n	
Broad-winged Hawk	Accipitridae	1996	Diet	Major Food Items And Quantitative Analysis	"Errington, P. L. and N. J. Breckenridge. 1938. Food habits of buteo hawks in the north-central United States. Wilson Bull. 50:113-121."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Diet	Major Food Items And Quantitative Analysis	"Rusch, D. H. and P. D. Doerr. 1972. Broad-winged Hawk nesting and food habits. Auk 89:139-145."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Feeding	Main Foods Taken	"Shelley, E. and S. Benz. 1985. Observations of aerial hunting, food carrying and crop size of migrant raptors. Pages 299-301 in Conservation studies on raptors. (Newton, I. and R. D. Chancellor, Eds.) Tech. Publ. no. 5., Int. Council Bird Preserv. Cambridge, England."	y	n	
Broad-winged Hawk	Accipitridae	1996	Feeding		"Toland, B. 1986. Hunting success of some Missouri raptors. Wilson Bull. 98:116-125."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Diet	Major Food Items And Quantitative Analysis	"Snyder, N. F. R. and J. W. Wiley. 1976. Sexual size dimorphism in hawks and owls of North America. Ornithol. Monogr. 20."	y	Y	
Broad-winged Hawk	Accipitridae	1996	Feeding	Food Capture And Consumption	"Mueller, H. C. 1973. The relationship of hunger to predatory behaviour in hawks (Falco sparverius and Buteo platypterus). Anim. Behav. 21:513-520."	y	n	
Broad-winged Hawk	Accipitridae	1996	Feeding	Main Foods Taken	"Wetmore, A. 1965. The birds of the republic of Panama, part 1-Tinamidae (Tinamous) to Rynchopidae (skimmers). Publ. 4617, Smithsonian Inst. Washington, D.C."	n		requested through ILL; received
Broad-winged Hawk	Accipitridae	from Palmer. 1988. Handbook of North American Birds			"Snyder, L. 1932. Royal Ontario Museum Zoology Handbook 2."			
Broad-winged Hawk	Accipitridae	from Palmer. 1988. Handbook of North American Birds			McDowell. 1949 Pa. Game News 20 n. 4: 15.			
Broad-winged Hawk	Accipitridae	from Palmer. 1988. Handbook of North American Birds			Sherrod. 1978. Raptor Research. 12 49-121			
Broad-winged Hawk	Accipitridae	from Palmer. 1988. Handbook of North American Birds			Brewster. 1925 Mus. Comp. Zool. Harvard Bull. 66 211-402			
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Abramson, I. J. 1976. The Black Hawk (Buteogallus anthracinus) in South Florida. Am. Birds 30:661-662."	n	n	"cited many other studies, noted below"
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Slud, P. 1964. The birds of Costa Rica: distribution and ecology. Bull. Am. Mus. Nat. Hist., vol. 128."	n		
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Hallinan, T. 1924. Notes on some Panama Canal Zone birds with special reference to their food. Auk 304-326."	y	y	
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Dickey, D. R. and A. J. van Rossem. 1938. The birds of El Salvador. Publ. Field Mus. Nat. Hist. Zool. Ser. 23."	y	y	unavailable through ILL
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Sherfy, J. A. 1984. The effect of predator avoidance by ghost crabs on the foraging success of Black Hawks. Am. Zool. 24:50."	y	y	
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Barbour, T. 1923. The birds of Cuba. Mem. Nuttall Ornithol. Club no. 6."	y	n	
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Schnell, J. H., R. L. Glinski, and H. Snyder. 1988. Common Black-Hawk. Pages 65-70 in Southwest Raptor Management Symposium and Workshop. (Glinski, R. L. and et al., Eds.) Natl. Wildl. Fed. Washington, D.C."	y	n	
Common Black-Hawk	Accipitridae	1994	"Drinking, Pellet-Casting, And Defecation"		"Farquhar, C. C. 1992. White-tailed Hawk. in birds of North America, no. 30. (Poole, A., P. Stettenheim, and F. Gill, Eds.) Acad. Nat. Sci. Phila. and Am. Ornithol. Union, Philadelphia, PA."	n		
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Carter, D. L. and R. H. Wauer. 1965. Black Hawk nesting in Utah. Condor 67:82-83."	n		
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Schnell, J. H. 1979. Black Hawk (Buteogallus anthracinus). Tech Note TN- 329. U.S. Dept. Interior, Bureau Land Management, Denver, CO."	n		
Common Black-Hawk	Accipitridae	1994	Diet	Quantitative Analysis	"Millsap, B. A. 1981. Distributional status of falconiformes in westcentral Arizona-with notes on ecology, reproductive success and management. Tech. Note No. 355. U.S. Dept. Interior, Bureau Land Management, Denver, CO."	y	y	https://sora.unm.edu/sites/default/files/journals/jrr/v012n03-04/p00049-p00121.pdf
Common Black-Hawk	Accipitridae	1994	Diet	Quantitative Analysis	"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."	y	y	
Common Black-Hawk	Accipitridae	1994	Feeding	Main Foods Taken	"Clark, A. H. 1905. Birds of the southern Lesser Antilles. Proc. Boston Soc. Nat. Hist. 32:219-243."	y	n	
Common Black-Hawk	Accipitridae	2015 Literature Search			"Etzel, K. E., T. C. Theimer, M. J. Johnson, and J. A. Holmes. 2014. Variation in Prey Delivered to Common Black-Hawk (Buteogallus anthracinus) Nests in Arizona Drainage Basins"	y	y	
Common Black-Hawk	Accipitridae	Found in Schnell 1994			Van Tyne and Sutton 1937	y	n	
Common Black-Hawk	Accipitridae	Found in Schnell 1994			Fowler 1903	y	n	
Common Black-Hawk	Accipitridae	Found in Schnell 1994			Glinski (in Sherrod 1978)	y	Y	
Common Black-Hawk	Accipitridae	Found in Schnell 1994			Wauer 1969	n		"cited many other studies, noted below"
Cooper's Hawk	Accipitridae	1-Apr-06	Food Selection And Storage		"Snyder, N. F. R. and J. W. Wiley. 1976. Sexual size dimorphism in hawks and owls of North America. Ornithol. Monogr. 20."	y	n	
Cooper's Hawk	Accipitridae	1-Apr-06	Diet	Quantitative Analysis	"Stake, M. M., J. Faaborg, and F. R. Thompson III. 2004. Video identification of predators at Golden-cheeked Warbler nests. J. Field Ornithol. 75(4):337-344."	y	n	
Cooper's Hawk	Accipitridae	1-Apr-06	Feeding	Food Capture And Consumption	"Fischer, D. L. 1986. Daily activity patterns and habitat use of coexisting Accipiter hawks in Utah. Ph.D. diss. Brigham Young Univ. Provo, UT."	n		requested through ILL; received
Cooper's Hawk	Accipitridae	1-Apr-06	Feeding	Food Capture And Consumption	"Meng, H. K. 1951. Cooper's Hawk, Accipiter cooperii (Bonaparte). Phd Thesis. Cornell Univ. Ithaca, NY."	n		
Cooper's Hawk	Accipitridae	1-Apr-06	Diet	Quantitative Analysis	"Boal, C. W. and R. W. Mannan. 1999. Comparative breeding ecology of Cooper's Hawks in urban and exurban areas of southeastern Arizona. J. Wildl. Manage. 63(1):77-84."	y	n	
Cooper's Hawk	Accipitridae	1-Apr-06	Feeding	Food Capture And Consumption	"Rosenfield, R. N. 1988. Cooper's Hawk. Pages 328-330 in Handbook of North American birds, vol. 4, part 1: diurnal raptors. (Palmer, R. S., Ed.) Yale Univ. Press, New Haven, CT."	y	n	
Cooper's Hawk	Accipitridae	1-Apr-06	Diet	Major Food Items	"Estes, W. A. and R. W. Mannan. 2003. Feeding behavior of Cooper's Hawks at urban and rural nests in southeastern Arizona. Condor 105:107-116."	y	Y	
Cooper's Hawk	Accipitridae	1-Apr-06	Food Selection And Storage		"Storer, R. W. 1966. Sexual dimorphism and food habits of three North American accipiters. Auk 83:423-436."	y	Y	
Cooper's Hawk	Accipitridae	1-Apr-06	Nutrition And Energetics		"Peterson, D. J. and R. K. Murphy. 1992. Prey delivered to two Cooper's Hawk, Accipiter cooperii, nests in northern mixed grass prairie. Can. Field-Nat. 106:385-386."	y	Y	
Cooper's Hawk	Accipitridae	1-Apr-06	Feeding	Food Capture And Consumption	"Kennedy, P. L. and J. A. Gessaman. 1991. Dirunal resting metabolic rates of accipiters. Wilson Bull. 103:101-105."	y	n	
Cooper's Hawk	Accipitridae	1-Apr-06	Feeding	Food Capture And Consumption	"Toland, B. 1985. Food habits and hunting success of Cooper's Hawks in Missouri. J. Field Ornithol. 56:419-422."	y	Y	requested through ILL
Cooper's Hawk	Accipitridae	1-Apr-06	Nutrition And Energetics		"Craighead, J. J. and F. C. Craighead. 1956. Hawks, owls, and wildlife. Stackpole Co. and Wildlife Management Inst. New York."	n		
Cooper's Hawk	Accipitridae	1-Apr-06	Diet	Quantitative Analysis	"Schmidt, K. A. and R. S. Ostfeld. 2003. Songbird populations in fluctuating environments: predator responses to pulsed resources. Ecology 84(2):406-415."	y	n	
Cooper's Hawk	Accipitridae	1-Apr-06	Feeding	Food Capture And Consumption	"Goslow, Jr., G. E. 1971. The attack and strike of some North American raptors. Auk 88:815-827."	y	n	
Cooper's Hawk	Accipitridae	1-Apr-06	Nutrition And Energetics		"Fitch, H. S., B. Glading, and V. House. 1946. Observations on Cooper's Hawk nesting and predation. Calif. Dep. Fish Game 32:144-154."	n		
Cooper's Hawk	Accipitridae	1-Apr-06	Food Selection And Storage		"Reynolds, R. T. 1979. Food and habitat partitioning in two groups of coexisting Accipiter. Ph.D. diss. Oregon State Univ. Corvallis."	n		
Cooper's Hawk	Accipitridae	1-Apr-06	Feeding	Food Capture And Consumption	"Beebe, F. L. 1974. Field studies of the Falconiformes of British Columbia: vultures, hawks, falcons, eagles. Occas. Pap. Brit. Columbia Prov. Mus. No. 17, Victoria."	y	n	book received through ILL
