Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Caryophyllales		Polygonaceae		Bistorta vivipara	yes				NA	Alpine bistort	0.26	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Poales		Cyperaceae	Carex		yes				NA	Sedges	0.14	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Fabales		Fabaceae	Trifolium		yes				NA	Clovers	0.09	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Malpighiales		Salicaceae	Salix		yes				NA	Willow	0.06	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Non-biological								yes				NA	Grit	0.06	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Caryophyllales		Polygonaceae		Bistorta bistortoides	yes				NA	American bistort	0.06	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Caryophyllales		Caryophyllaceae	Cerastium		yes				NA	Mouse-ear	0.06	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Saxifragales		Saxifragaceae	Micranthes		yes				NA	Snowball saxifrage 	0.05	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Rosales		Rosaceae		Geum rossii	yes				NA	Alpine avens	0.05	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Brassicales		Brassicaceae			yes				NA	Mustards	0.05	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Rosales		Rosaceae	Potentilla		yes				NA	Cinquefoil	0.03	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Ericales		Primulaceae	Androsace		yes				NA	Rock jasmine	0.02	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	7	1966	8	1970	Summer	Plantae		Magnoliopsida	Caryophyllales		Caryophyllaceae		Eremogone fendleri	yes				NA	Fendler's sandwort	0.01	Wt_or_Vol	172	37	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Malpighiales		Salicaceae	Salix		yes				NA	Willow	0.43	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Caryophyllales		Polygonaceae		Bistorta vivipara	yes				NA	Alpine bistort	0.2	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Fabales		Fabaceae	Trifolium		yes				NA	Clovers	0.05	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Ericales		Ericaceae	Vaccinium		yes				NA	Blueberries	0.04	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Caryophyllales		Caryophyllaceae	Cerastium		yes				NA	Mouse-ear	0.04	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Poales		Cyperaceae	Carex		yes				NA	Sedges	0.03	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Brassicales		Brassicaceae			yes				NA	Mustards	0.03	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida						no				NA	Alpine sorrel	0.03	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Caryophyllales		Caryophyllaceae		Minuartia obtusiloba	yes				NA	Alpine sandwort	0.02	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Rosales		Rosaceae	Dryas		yes				NA	Mountain dryad	0.02	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Poales		Poaceae			yes				NA	Grasses	0.03	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Caryophyllales		Polygonaceae		Bistorta bistortoides	yes				NA	American bistort	0.02	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Non-biological								yes				NA	Grit	0.02	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Asterales		Asteraceae		Antennaria rosea	yes				NA	Pussy-toes	0.01	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao	coniferous forest	9	1966	10	1970	Fall	Plantae		Magnoliopsida	Rosales		Rosaceae	Sibbaldia		yes				NA	Sibbaldia	0.01	Wt_or_Vol	731	165	16	crop contents		AZ	"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."
