Order	CommonName	SciName	Status
111	Pied-billed Grebe	Podilymbus podiceps	
112	Horned Grebe	Podiceps auritus	Vulnerable
113	Red-necked Grebe	Podiceps grisegena	
114	Eared Grebe	Podiceps nigricollis	
115	Western Grebe	Aechmophorus occidentalis	
116	Clark's Grebe	Aechmophorus clarkii	
117	Chilean Flamingo	Phoenicopterus chilensis	Introduced species Near-threatened
118	American Flamingo	Phoenicopterus ruber	
119	Yellow-nosed Albatross	Thalassarche chlororhynchos	Rare/Accidental
120	White-capped Albatross	Thalassarche cauta	Rare/Accidental
121	Salvin's Albatross	Thalassarche salvini	Rare/Accidental Vulnerable
122	Chatham Albatross	Thalassarche eremita	Rare/Accidental Vulnerable
123	Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
124	Light-mantled Albatross	Phoebetria palpebrata	Rare/Accidental Near-threatened
125	Wandering Albatross	Diomedea exulans	Rare/Accidental
126	Laysan Albatross	Phoebastria immutabilis	Near-threatened
127	Black-footed Albatross	Phoebastria nigripes	Near-threatened
128	Short-tailed Albatross	Phoebastria albatrus	Vulnerable
129	Southern Giant-Petrel	Macronectes giganteus	
130	Northern Fulmar	Fulmarus glacialis	
131	Gray-faced Petrel	Pterodroma gouldi	Rare/Accidental
132	Kermadec Petrel	Pterodroma neglecta	
133	Trindade Petrel	Pterodroma arminjoniana	Vulnerable
134	Herald Petrel	Pterodroma heraldica	Rare/Accidental
135	Murphy's Petrel	Pterodroma ultima	Near-threatened
136	Providence Petrel	Pterodroma solandri	Rare/Accidental Vulnerable
137	Zino's Petrel	Pterodroma madeira	Rare/Accidental Endangered
138	Fea's Petrel	Pterodroma feae	Rare/Accidental
139	Mottled Petrel	Pterodroma inexpectata	Near-threatened
140	Bermuda Petrel	Pterodroma cahow	Rare/Accidental Endangered
141	Black-capped Petrel	Pterodroma hasitata	
142	Juan Fernandez Petrel	Pterodroma externa	Vulnerable
143	Hawaiian Petrel	Pterodroma sandwichensis	Vulnerable
144	White-necked Petrel	Pterodroma cervicalis	
145	Bonin Petrel	Pterodroma hypoleuca	
146	Black-winged Petrel	Pterodroma nigripennis	
147	Cook's Petrel	Pterodroma cookii	Vulnerable
148	Stejneger's Petrel	Pterodroma longirostris	Vulnerable
149	Phoenix Petrel	Pterodroma alba	Endangered
150	Bulwer's Petrel	Bulweria bulwerii	
151	Jouanin's Petrel	Bulweria fallax	Near-threatened
152	Tahiti Petrel	Pseudobulweria rostrata	Rare/Accidental Near-threatened
153	Parkinson's Petrel	Procellaria parkinsoni	Vulnerable
154	Streaked Shearwater	Calonectris leucomelas	Near-threatened
155	Cory's Shearwater	Calonectris diomedea	
156	Cape Verde Shearwater	Calonectris edwardsii	Rare/Accidental Near-threatened
157	Pink-footed Shearwater	Ardenna creatopus	Vulnerable
158	Flesh-footed Shearwater	Ardenna carneipes	Near-threatened
159	Great Shearwater	Ardenna gravis	
160	Wedge-tailed Shearwater	Ardenna pacifica	
161	Buller's Shearwater	Ardenna bulleri	Vulnerable
162	Sooty Shearwater	Ardenna grisea	Near-threatened
163	Short-tailed Shearwater	Ardenna tenuirostris	
164	Christmas Shearwater	Puffinus nativitatis	
165	Manx Shearwater	Puffinus puffinus	
166	Newell's Shearwater	Puffinus newelli	
167	Bryan's Shearwater	Puffinus bryani	Rare/Accidental Critically endangered
168	Black-vented Shearwater	Puffinus opisthomelas	Near-threatened
169	Barolo Shearwater	Puffinus baroli	Rare/Accidental
170	Audubon's Shearwater	Puffinus lherminieri	
171	Wilson's Storm-Petrel	Oceanites oceanicus	
172	White-faced Storm-Petrel	Pelagodroma marina	
173	European Storm-Petrel	Hydrobates pelagicus	Rare/Accidental
174	Fork-tailed Storm-Petrel	Oceanodroma furcata	
175	Ringed Storm-Petrel	Oceanodroma hornbyi	Rare/Accidental Data deficient
176	Leach's Storm-Petrel	Oceanodroma leucorhoa	
177	Townsend's Storm-Petrel	Oceanodroma socorroensis	
178	Ainley's Storm-Petrel	Oceanodroma cheimomnestes	
179	Swinhoe's Storm-Petrel	Oceanodroma monorhis	Rare/Accidental Near-threatened
180	Ashy Storm-Petrel	Oceanodroma homochroa	Endangered
181	Band-rumped Storm-Petrel	Oceanodroma castro	
182	Wedge-rumped Storm-Petrel	Oceanodroma tethys	Rare/Accidental
183	Black Storm-Petrel	Oceanodroma melania	
184	Tristram's Storm-Petrel	Oceanodroma tristrami	Near-threatened
185	Least Storm-Petrel	Oceanodroma microsoma	
186	White-tailed Tropicbird	Phaethon lepturus	
187	Red-billed Tropicbird	Phaethon aethereus	
188	Red-tailed Tropicbird	Phaethon rubricauda	
189	Jabiru	Jabiru mycteria	Rare/Accidental
190	Wood Stork	Mycteria americana	
191	Lesser Frigatebird	Fregata ariel	Rare/Accidental
192	Magnificent Frigatebird	Fregata magnificens	
193	Great Frigatebird	Fregata minor	
194	Masked Booby	Sula dactylatra	
195	Nazca Booby	Sula granti	Rare/Accidental
196	Blue-footed Booby	Sula nebouxii	Rare/Accidental
197	Brown Booby	Sula leucogaster	
198	Red-footed Booby	Sula sula	
199	Northern Gannet	Morus bassanus	
200	Brandt's Cormorant	Phalacrocorax penicillatus	
201	Red-faced Cormorant	Phalacrocorax urile	
202	Pelagic Cormorant	Phalacrocorax pelagicus	
203	Great Cormorant	Phalacrocorax carbo	
204	Neotropic Cormorant	Phalacrocorax brasilianus	
205	Double-crested Cormorant	Phalacrocorax auritus	
206	Anhinga	Anhinga anhinga	
207	American White Pelican	Pelecanus erythrorhynchos	
208	Brown Pelican	Pelecanus occidentalis	
209	American Bittern	Botaurus lentiginosus	
210	Great Bittern	Botaurus stellaris	Rare/Accidental
211	Yellow Bittern	Ixobrychus sinensis	
212	Least Bittern	Ixobrychus exilis	
213	Bare-throated Tiger-Heron	Tigrisoma mexicanum	Rare/Accidental
214	Great Blue Heron	Ardea herodias	
215	Gray Heron	Ardea cinerea	Rare/Accidental
216	Great Egret	Ardea alba	
217	Intermediate Egret	Mesophoyx intermedia	Rare/Accidental
218	Chinese Egret	Egretta eulophotes	Vulnerable
219	Little Egret	Egretta garzetta	Rare/Accidental
220	Western Reef-Heron	Egretta gularis	Rare/Accidental
221	Snowy Egret	Egretta thula	
222	Little Blue Heron	Egretta caerulea	
223	Tricolored Heron	Egretta tricolor	
224	Reddish Egret	Egretta rufescens	Near-threatened
225	Cattle Egret	Bubulcus ibis	
226	Chinese Pond-Heron	Ardeola bacchus	Rare/Accidental
227	Green Heron	Butorides virescens	
228	Striated Heron	Butorides striata	Rare/Accidental
229	Black-crowned Night-Heron	Nycticorax nycticorax	
230	Yellow-crowned Night-Heron	Nyctanassa violacea	
231	White Ibis	Eudocimus albus	
232	Scarlet Ibis	Eudocimus ruber	Rare/Accidental
233	Glossy Ibis	Plegadis falcinellus	
234	White-faced Ibis	Plegadis chihi	
235	Sacred Ibis	Threskiornis aethiopicus	Introduced species (non established)
236	Roseate Spoonbill	Platalea ajaja	
237	Black Vulture	Coragyps atratus	
238	Turkey Vulture	Cathartes aura	
239	California Condor	Gymnogyps californianus	Critically endangered
240	Osprey	Pandion haliaetus	
241	White-tailed Kite	Elanus leucurus	
242	Hook-billed Kite	Chondrohierax uncinatus	
243	Swallow-tailed Kite	Elanoides forficatus	
244	Golden Eagle	Aquila chrysaetos	
245	Snail Kite	Rostrhamus sociabilis	
246	Double-toothed Kite	Harpagus bidentatus	Rare/Accidental
247	Mississippi Kite	Ictinia mississippiensis	
248	Eurasian Marsh-Harrier	Circus aeruginosus	Rare/Accidental
249	Northern Harrier	Circus cyaneus	
250	Chinese Sparrowhawk	Accipiter soloensis	Rare/Accidental
251	Eurasian Sparrowhawk	Accipiter nisus	Rare/Accidental
252	Sharp-shinned Hawk	Accipiter striatus	
253	Cooper's Hawk	Accipiter cooperii	
254	Northern Goshawk	Accipiter gentilis	
255	Black Kite	Milvus migrans	Rare/Accidental
256	Bald Eagle	Haliaeetus leucocephalus	
257	White-tailed Eagle	Haliaeetus albicilla	
258	Steller's Sea-Eagle	Haliaeetus pelagicus	Rare/Accidental Vulnerable
259	Crane Hawk	Geranospiza caerulescens	Rare/Accidental
260	Common Black Hawk	Buteogallus anthracinus	
261	Great Black Hawk	Buteogallus urubitinga	Rare/Accidental
262	Roadside Hawk	Rupornis magnirostris	Rare/Accidental
263	Harris's Hawk	Parabuteo unicinctus	
264	White-tailed Hawk	Geranoaetus albicaudatus	
265	Gray Hawk	Buteo plagiatus	
266	Gray-lined Hawk	Buteo nitidus	
267	Red-shouldered Hawk	Buteo lineatus	
268	Broad-winged Hawk	Buteo platypterus	
269	Hawaiian Hawk	Buteo solitarius	Near-threatened
270	Short-tailed Hawk	Buteo brachyurus	
271	Swainson's Hawk	Buteo swainsoni	
272	Zone-tailed Hawk	Buteo albonotatus	
273	Red-tailed Hawk	Buteo jamaicensis	
274	Rough-legged Hawk	Buteo lagopus	
275	Ferruginous Hawk	Buteo regalis	
276	Common Buzzard	Buteo buteo	Rare/Accidental
277	Eastern Buzzard	Buteo japonicus	
278	Yellow Rail	Coturnicops noveboracensis	
279	Black Rail	Laterallus jamaicensis	
280	Corn Crake	Crex crex	Rare/Accidental
281	Ridgway's Rail	Rallus obsoletus	
282	King Rail	Rallus elegans	Near-threatened
283	Clapper Rail	Rallus crepitans	
284	Virginia Rail	Rallus limicola	
285	Rufous-necked Wood-Rail	Aramides axillaris	Rare/Accidental
286	Sora	Porzana carolina	
287	Laysan Rail	Zapornia palmeri	Endemic Extinct
288	Hawaiian Rail	Zapornia sandwichensis	Endemic Extinct
289	Paint-billed Crake	Mustelirallus erythrops	Rare/Accidental
290	Spotted Rail	Pardirallus maculatus	Rare/Accidental
291	Purple Gallinule	Porphyrio martinicus	
292	Western Swamphen	Porphyrio porphyrio	Introduced species (non established)
293	Gray-headed Swamphen	Porphyrio poliocephalus	Introduced species (non established)
294	Eurasian Moorhen	Gallinula chloropus	Rare/Accidental
295	Common Gallinule	Gallinula galeata	
296	Eurasian Coot	Fulica atra	
297	Hawaiian Coot	Fulica alai	Endemic Vulnerable
298	American Coot	Fulica americana	
299	Sungrebe	Heliornis fulica	Rare/Accidental
300	Limpkin	Aramus guarauna	
301	Gray Crowned-Crane	Balearica regulorum	Introduced species Endangered
302	Sandhill Crane	Antigone canadensis	
303	Sarus Crane	Antigone antigone	Introduced species Vulnerable
304	Common Crane	Grus grus	
305	Hooded Crane	Grus monacha	Rare/Accidental Vulnerable
306	Whooping Crane	Grus americana	Endangered
307	Double-striped Thick-knee	Burhinus bistriatus	Rare/Accidental
308	Black-winged Stilt	Himantopus himantopus	Rare/Accidental
309	Black-necked Stilt	Himantopus mexicanus	
310	American Avocet	Recurvirostra americana	
311	Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental
312	American Oystercatcher	Haematopus palliatus	
313	Black Oystercatcher	Haematopus bachmani	
314	Black-bellied Plover	Pluvialis squatarola	
315	European Golden-Plover	Pluvialis apricaria	Rare/Accidental
316	American Golden-Plover	Pluvialis dominica	
317	Pacific Golden-Plover	Pluvialis fulva	
318	Northern Lapwing	Vanellus vanellus	Rare/Accidental Near-threatened
319	Sociable Lapwing	Vanellus gregarius	Rare/Accidental Critically endangered
320	Lesser Sand-Plover	Charadrius mongolus	
321	Greater Sand-Plover	Charadrius leschenaultii	Rare/Accidental
322	Collared Plover	Charadrius collaris	Rare/Accidental
323	Snowy Plover	Charadrius nivosus	Near-threatened
324	Wilson's Plover	Charadrius wilsonia	
325	Common Ringed Plover	Charadrius hiaticula	
326	Semipalmated Plover	Charadrius semipalmatus	
327	Piping Plover	Charadrius melodus	Near-threatened
328	Little Ringed Plover	Charadrius dubius	
329	Killdeer	Charadrius vociferus	
330	Mountain Plover	Charadrius montanus	Near-threatened
331	Eurasian Dotterel	Charadrius morinellus	
332	Northern Jacana	Jacana spinosa	
333	Upland Sandpiper	Bartramia longicauda	
334	Little Curlew	Numenius minutus	
335	Eskimo Curlew	Numenius borealis	Rare/Accidental Critically endangered (possibly extinct)
336	Whimbrel	Numenius phaeopus	
337	Bristle-thighed Curlew	Numenius tahitiensis	Vulnerable
338	Far Eastern Curlew	Numenius madagascariensis	Endangered
339	Slender-billed Curlew	Numenius tenuirostris	Rare/Accidental Critically endangered
340	Eurasian Curlew	Numenius arquata	Rare/Accidental Near-threatened
341	Long-billed Curlew	Numenius americanus	
342	Black-tailed Godwit	Limosa limosa	Near-threatened
343	Hudsonian Godwit	Limosa haemastica	
344	Bar-tailed Godwit	Limosa lapponica	Near-threatened
345	Marbled Godwit	Limosa fedoa	
346	Ruddy Turnstone	Arenaria interpres	
347	Black Turnstone	Arenaria melanocephala	
348	Great Knot	Calidris tenuirostris	Endangered
349	Red Knot	Calidris canutus	Near-threatened
350	Surfbird	Calidris virgata	
351	Ruff	Calidris pugnax	
352	Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental
353	Sharp-tailed Sandpiper	Calidris acuminata	
354	Stilt Sandpiper	Calidris himantopus	
355	Curlew Sandpiper	Calidris ferruginea	Near-threatened
356	Temminck's Stint	Calidris temminckii	Rare/Accidental
357	Long-toed Stint	Calidris subminuta	
358	Spoon-billed Sandpiper	Calidris pygmea	Critically endangered
359	Red-necked Stint	Calidris ruficollis	Near-threatened
360	Sanderling	Calidris alba	
361	Dunlin	Calidris alpina	
362	Rock Sandpiper	Calidris ptilocnemis	
363	Purple Sandpiper	Calidris maritima	
364	Baird's Sandpiper	Calidris bairdii	
365	Little Stint	Calidris minuta	
366	Least Sandpiper	Calidris minutilla	
367	White-rumped Sandpiper	Calidris fuscicollis	
368	Buff-breasted Sandpiper	Calidris subruficollis	Near-threatened
369	Pectoral Sandpiper	Calidris melanotos	
370	Semipalmated Sandpiper	Calidris pusilla	Near-threatened
371	Western Sandpiper	Calidris mauri	
372	Short-billed Dowitcher	Limnodromus griseus	
373	Long-billed Dowitcher	Limnodromus scolopaceus	
374	Jack Snipe	Lymnocryptes minimus	
375	Solitary Snipe	Gallinago solitaria	Rare/Accidental
376	Wilson's Snipe	Gallinago delicata	
377	Common Snipe	Gallinago gallinago	
378	Pin-tailed Snipe	Gallinago stenura	
379	Eurasian Woodcock	Scolopax rusticola	Rare/Accidental
380	American Woodcock	Scolopax minor	
381	Terek Sandpiper	Xenus cinereus	
382	Wilson's Phalarope	Phalaropus tricolor	
383	Red-necked Phalarope	Phalaropus lobatus	
384	Red Phalarope	Phalaropus fulicarius	
385	Common Sandpiper	Actitis hypoleucos	
386	Spotted Sandpiper	Actitis macularius	
387	Green Sandpiper	Tringa ochropus	
388	Solitary Sandpiper	Tringa solitaria	
389	Gray-tailed Tattler	Tringa brevipes	Rare/Accidental Near-threatened
390	Wandering Tattler	Tringa incana	
391	Spotted Redshank	Tringa erythropus	
392	Greater Yellowlegs	Tringa melanoleuca	
393	Common Greenshank	Tringa nebularia	
394	Willet	Tringa semipalmata	
395	Lesser Yellowlegs	Tringa flavipes	
396	Marsh Sandpiper	Tringa stagnatilis	
397	Wood Sandpiper	Tringa glareola	
398	Common Redshank	Tringa totanus	Rare/Accidental
399	Oriental Pratincole	Glareola maldivarum	
400	Great Skua	Stercorarius skua	
401	South Polar Skua	Stercorarius maccormicki	
402	Pomarine Jaeger	Stercorarius pomarinus	
403	Parasitic Jaeger	Stercorarius parasiticus	
404	Long-tailed Jaeger	Stercorarius longicaudus	
405	Dovekie	Alle alle	
406	Common Murre	Uria aalge	
407	Thick-billed Murre	Uria lomvia	
408	Razorbill	Alca torda	Near-threatened
409	Great Auk	Pinguinus impennis	Extinct
410	Black Guillemot	Cepphus grylle	
411	Pigeon Guillemot	Cepphus columba	
412	Long-billed Murrelet	Brachyramphus perdix	Rare/Accidental Near-threatened
413	Marbled Murrelet	Brachyramphus marmoratus	Endangered
414	Kittlitz's Murrelet	Brachyramphus brevirostris	Near-threatened
415	Scripps's Murrelet	Synthliboramphus scrippsi	Vulnerable
416	Guadalupe Murrelet	Synthliboramphus hypoleucus	Rare/Accidental Endangered
417	Craveri's Murrelet	Synthliboramphus craveri	Vulnerable
418	Ancient Murrelet	Synthliboramphus antiquus	
419	Cassin's Auklet	Ptychoramphus aleuticus	Near-threatened
420	Parakeet Auklet	Aethia psittacula	
421	Least Auklet	Aethia pusilla	
422	Whiskered Auklet	Aethia pygmaea	
423	Crested Auklet	Aethia cristatella	
424	Rhinoceros Auklet	Cerorhinca monocerata	
425	Atlantic Puffin	Fratercula arctica	Vulnerable
426	Horned Puffin	Fratercula corniculata	
427	Tufted Puffin	Fratercula cirrhata	
428	Swallow-tailed Gull	Creagrus furcatus	Rare/Accidental
429	Black-legged Kittiwake	Rissa tridactyla	
430	Red-legged Kittiwake	Rissa brevirostris	Vulnerable
431	Ivory Gull	Pagophila eburnea	Near-threatened
432	Sabine's Gull	Xema sabini	
433	Bonaparte's Gull	Chroicocephalus philadelphia	
434	Black-headed Gull	Chroicocephalus ridibundus	
435	Little Gull	Hydrocoloeus minutus	
436	Ross's Gull	Rhodostethia rosea	
437	Laughing Gull	Leucophaeus atricilla	
438	Franklin's Gull	Leucophaeus pipixcan	
439	Belcher's Gull	Larus belcheri	Rare/Accidental
440	Black-tailed Gull	Larus crassirostris	
441	Heermann's Gull	Larus heermanni	Near-threatened
442	Mew Gull	Larus canus	
443	Ring-billed Gull	Larus delawarensis	
444	Western Gull	Larus occidentalis	
445	Yellow-footed Gull	Larus livens	
446	California Gull	Larus californicus	
447	Herring Gull	Larus argentatus	
448	Yellow-legged Gull	Larus michahellis	Rare/Accidental
449	Thayer's Gull	Larus thayeri	
450	Iceland Gull	Larus glaucoides	
451	Lesser Black-backed Gull	Larus fuscus	
452	Slaty-backed Gull	Larus schistisagus	
453	Glaucous-winged Gull	Larus glaucescens	
454	Glaucous Gull	Larus hyperboreus	
455	Great Black-backed Gull	Larus marinus	
456	Kelp Gull	Larus dominicanus	Rare/Accidental
457	Brown Noddy	Anous stolidus	
458	Black Noddy	Anous minutus	
459	Blue-gray Noddy	Procelsterna cerulea	
460	White Tern	Gygis alba	
461	Sooty Tern	Onychoprion fuscatus	
462	Gray-backed Tern	Onychoprion lunatus	
463	Bridled Tern	Onychoprion anaethetus	
464	Aleutian Tern	Onychoprion aleuticus	
465	Little Tern	Sternula albifrons	Rare/Accidental
466	Least Tern	Sternula antillarum	
467	Large-billed Tern	Phaetusa simplex	Rare/Accidental
468	Gull-billed Tern	Gelochelidon nilotica	
469	Caspian Tern	Hydroprogne caspia	
470	Black Tern	Chlidonias niger	
471	White-winged Tern	Chlidonias leucopterus	
472	Whiskered Tern	Chlidonias hybrida	Rare/Accidental
473	Roseate Tern	Sterna dougallii	
474	Common Tern	Sterna hirundo	
475	Arctic Tern	Sterna paradisaea	
476	Forster's Tern	Sterna forsteri	
477	Royal Tern	Thalasseus maximus	
478	Great Crested Tern	Thalasseus bergii	
479	Sandwich Tern	Thalasseus sandvicensis	
480	Elegant Tern	Thalasseus elegans	Near-threatened
481	Black Skimmer	Rynchops niger	
482	Chestnut-bellied Sandgrouse	Pterocles exustus	Introduced species
483	Rock Pigeon	Columba livia	Introduced species
484	Scaly-naped Pigeon	Patagioenas squamosa	Rare/Accidental
485	White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
486	Red-billed Pigeon	Patagioenas flavirostris	
487	Band-tailed Pigeon	Patagioenas fasciata	
488	Passenger Pigeon	Ectopistes migratorius	Extinct
489	European Turtle-Dove	Streptopelia turtur	Rare/Accidental Vulnerable
490	Oriental Turtle-Dove	Streptopelia orientalis	
491	Eurasian Collared-Dove	Streptopelia decaocto	Introduced species
492	African Collared-Dove	Streptopelia roseogrisea	Introduced species
493	Spotted Dove	Streptopelia chinensis	Introduced species
494	Laughing Dove	Streptopelia senegalensis	Introduced species
495	Zebra Dove	Geopelia striata	
496	Inca Dove	Columbina inca	
497	Common Ground-Dove	Columbina passerina	
498	Ruddy Ground-Dove	Columbina talpacoti	
499	Ruddy Quail-Dove	Geotrygon montana	Rare/Accidental
500	Key West Quail-Dove	Geotrygon chrysia	Rare/Accidental
501	White-tipped Dove	Leptotila verreauxi	
502	White-winged Dove	Zenaida asiatica	
503	Zenaida Dove	Zenaida aurita	Rare/Accidental
504	Mourning Dove	Zenaida macroura	
505	Smooth-billed Ani	Crotophaga ani	
506	Groove-billed Ani	Crotophaga sulcirostris	
507	Lesser Roadrunner	Geococcyx velox	
508	Greater Roadrunner	Geococcyx californianus	
509	Dark-billed Cuckoo	Coccyzus melacoryphus	Rare/Accidental
510	Yellow-billed Cuckoo	Coccyzus americanus	
511	Mangrove Cuckoo	Coccyzus minor	
512	Black-billed Cuckoo	Coccyzus erythropthalmus	
513	Common Cuckoo	Cuculus canorus	
514	Oriental Cuckoo	Cuculus optatus	Rare/Accidental
515	Barn Owl	Tyto alba	
516	Oriental Scops-Owl	Otus sunia	
517	Flammulated Owl	Psiloscops flammeolus	
518	Western Screech-Owl	Megascops kennicottii	
519	Eastern Screech-Owl	Megascops asio	
520	Whiskered Screech-Owl	Megascops trichopsis	
521	Spectacled Owl	Pulsatrix perspicillata	Introduced species
522	Great Horned Owl	Bubo virginianus	
523	Snowy Owl	Bubo scandiacus	
524	Northern Hawk Owl	Surnia ulula	
525	Northern Pygmy-Owl	Glaucidium gnoma	
526	Ferruginous Pygmy-Owl	Glaucidium brasilianum	
527	Elf Owl	Micrathene whitneyi	
528	Burrowing Owl	Athene cunicularia	
529	Mottled Owl	Ciccaba virgata	Rare/Accidental
530	Spotted Owl	Strix occidentalis	Near-threatened
531	Barred Owl	Strix varia	
532	Great Gray Owl	Strix nebulosa	
533	Long-eared Owl	Asio otus	
534	Stygian Owl	Asio stygius	Rare/Accidental
535	Short-eared Owl	Asio flammeus	
536	Boreal Owl	Aegolius funereus	
537	Northern Saw-whet Owl	Aegolius acadicus	
538	Northern Boobook	Ninox japonica	Rare/Accidental
539	Lesser Nighthawk	Chordeiles acutipennis	
540	Common Nighthawk	Chordeiles minor	
541	Antillean Nighthawk	Chordeiles gundlachii	
542	Common Pauraque	Nyctidromus albicollis	
543	Common Poorwill	Phalaenoptilus nuttallii	
544	Chuck-will's-widow	Antrostomus carolinensis	
545	Buff-collared Nightjar	Antrostomus ridgwayi	
546	Eastern Whip-poor-will	Antrostomus vociferus	
547	Mexican Whip-poor-will	Antrostomus arizonae	
548	Gray Nightjar	Caprimulgus jotaka	Rare/Accidental
549	Black Swift	Cypseloides niger	
550	White-collared Swift	Streptoprocne zonaris	Rare/Accidental
