TAXON_ORDER	CATEGORY	SPECIES_CODE	SCI_NAME	PRIMARY_COM_NAME	ORDER1	FAMILY	SPECIES_GROUP	REPORT_AS
116	species	blctin1	Crypturellus atrocapillus	Black-capped Tinamou	Tinamiformes	Tinamidae (Tinamous)		
119	species	slbtin1	Crypturellus boucardi	Slaty-breasted Tinamou	Tinamiformes	Tinamidae (Tinamous)		
122	species	chotin1	Crypturellus kerriae	Choco Tinamou	Tinamiformes	Tinamidae (Tinamous)		
123	species	vartin1	Crypturellus variegatus	Variegated Tinamou	Tinamiformes	Tinamidae (Tinamous)		
124	species	thitin1	Crypturellus cinnamomeus	Thicket Tinamou	Tinamiformes	Tinamidae (Tinamous)		
134	species	rustin1	Crypturellus brevirostris	Rusty Tinamou	Tinamiformes	Tinamidae (Tinamous)		
135	species	bartin2	Crypturellus bartletti	Bartlett's Tinamou	Tinamiformes	Tinamidae (Tinamous)		
136	species	smbtin1	Crypturellus parvirostris	Small-billed Tinamou	Tinamiformes	Tinamidae (Tinamous)		
137	species	bartin1	Crypturellus casiquiare	Barred Tinamou	Tinamiformes	Tinamidae (Tinamous)		
138	species	tattin1	Crypturellus tataupa	Tataupa Tinamou	Tinamiformes	Tinamidae (Tinamous)		
143	spuh	cryptu1	Crypturellus sp.	Crypturellus sp.	Tinamiformes	Tinamidae (Tinamous)		
144	species	rewtin1	Rhynchotus rufescens	Red-winged Tinamou	Tinamiformes	Tinamidae (Tinamous)		
148	species	huatin1	Rhynchotus maculicollis	Huayco Tinamou	Tinamiformes	Tinamidae (Tinamous)		
149	species	tactin1	Nothoprocta taczanowskii	Taczanowski's Tinamou	Tinamiformes	Tinamidae (Tinamous)		
150	species	orntin1	Nothoprocta ornata	Ornate Tinamou	Tinamiformes	Tinamidae (Tinamous)		
154	species	chitin1	Nothoprocta perdicaria	Chilean Tinamou	Tinamiformes	Tinamidae (Tinamous)		
157	species	brutin1	Nothoprocta cinerascens	Brushland Tinamou	Tinamiformes	Tinamidae (Tinamous)		
160	species	andtin1	Nothoprocta pentlandii	Andean Tinamou	Tinamiformes	Tinamidae (Tinamous)		
168	species	cubtin1	Nothoprocta curvirostris	Curve-billed Tinamou	Tinamiformes	Tinamidae (Tinamous)		
171	spuh	nothop1	Nothoprocta sp.	Nothoprocta sp.	Tinamiformes	Tinamidae (Tinamous)		
172	species	whbnot1	Nothura boraquira	White-bellied Nothura	Tinamiformes	Tinamidae (Tinamous)		
173	species	lesnot1	Nothura minor	Lesser Nothura	Tinamiformes	Tinamidae (Tinamous)		
174	species	darnot1	Nothura darwinii	Darwin's Nothura	Tinamiformes	Tinamidae (Tinamous)		
180	species	sponot1	Nothura maculosa	Spotted Nothura	Tinamiformes	Tinamidae (Tinamous)		
189	species	chanot1	Nothura chacoensis	Chaco Nothura	Tinamiformes	Tinamidae (Tinamous)		
190	species	dwatin1	Taoniscus nanus	Dwarf Tinamou	Tinamiformes	Tinamidae (Tinamous)		
191	species	elctin1	Eudromia elegans	Elegant Crested-Tinamou	Tinamiformes	Tinamidae (Tinamous)		
202	species	quctin1	Eudromia formosa	Quebracho Crested-Tinamou	Tinamiformes	Tinamidae (Tinamous)		
205	species	puntin1	Tinamotis pentlandii	Puna Tinamou	Tinamiformes	Tinamidae (Tinamous)		
206	species	pattin1	Tinamotis ingoufi	Patagonian Tinamou	Tinamiformes	Tinamidae (Tinamous)		
207	spuh	tinamo1	Tinamidae sp.	Tinamou sp.	Tinamiformes	Tinamidae (Tinamous)		
207.05	species	soucas1	Casuarius casuarius	Southern Cassowary	Casuariiformes	Casuariidae (Cassowaries)	Cassowaries and Emu	
207.1	species	dwacas1	Casuarius bennetti	Dwarf Cassowary	Casuariiformes	Casuariidae (Cassowaries)		
207.15	species	norcas1	Casuarius unappendiculatus	Northern Cassowary	Casuariiformes	Casuariidae (Cassowaries)		
207.2	species	emu1	Dromaius novaehollandiae	Emu	Casuariiformes	Dromaiidae (Emu)		
207.35	species	kiiemu1	Dromaius ater	King Island Emu	Casuariiformes	Dromaiidae (Emu)		
207.4	species	kaiemu1	Dromaius baudinianus	Kangaroo Island Emu	Casuariiformes	Dromaiidae (Emu)		
207.45	species	sobkiw1	Apteryx australis	Southern Brown Kiwi	Apterygiformes	Apterygidae (Kiwis)	Kiwis	
207.5	issf	sobkiw2	Apteryx australis australis	Southern Brown Kiwi (South Island)	Apterygiformes	Apterygidae (Kiwis)		sobkiw1
207.55	issf	sobkiw3	Apteryx australis lawryi	Southern Brown Kiwi (Stewart Island)	Apterygiformes	Apterygidae (Kiwis)		sobkiw1
207.6	species	okbkiw1	Apteryx rowi	Okarito Brown Kiwi	Apterygiformes	Apterygidae (Kiwis)		
207.65	species	nibkiw1	Apteryx mantelli	North Island Brown Kiwi	Apterygiformes	Apterygidae (Kiwis)		
207.7	species	liskiw1	Apteryx owenii	Little Spotted Kiwi	Apterygiformes	Apterygidae (Kiwis)		
207.75	species	grskiw1	Apteryx haastii	Great Spotted Kiwi	Apterygiformes	Apterygidae (Kiwis)		
208	species	horscr1	Anhima cornuta	Horned Screamer	Anseriformes	Anhimidae (Screamers)	Screamers	
209	species	souscr1	Chauna torquata	Southern Screamer	Anseriformes	Anhimidae (Screamers)		
210	species	norscr1	Chauna chavaria	Northern Screamer	Anseriformes	Anhimidae (Screamers)		
211	species	maggoo1	Anseranas semipalmata	Magpie Goose	Anseriformes	Anseranatidae (Magpie Goose)	Waterfowl	
212	species	spwduc1	Dendrocygna guttata	Spotted Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
213	species	plwduc1	Dendrocygna eytoni	Plumed Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
214	species	wfwduc1	Dendrocygna viduata	White-faced Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
214.5	hybrid	x00721	Dendrocygna guttata x viduata	Spotted x White-faced Whistling-Duck (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
215	species	bbwduc	Dendrocygna autumnalis	Black-bellied Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
215.3	issf	bkbwhd1	Dendrocygna autumnalis fulgens	Black-bellied Whistling-Duck (Northern)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		bbwduc
215.6	issf	bkbwhd2	Dendrocygna autumnalis autumnalis	Black-bellied Whistling-Duck (Southern)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		bbwduc
216	species	wiwduc1	Dendrocygna arborea	West Indian Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
217	species	fuwduc	Dendrocygna bicolor	Fulvous Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
218	species	wawduc1	Dendrocygna arcuata	Wandering Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
222	species	lewduc1	Dendrocygna javanica	Lesser Whistling-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
223	spuh	whistl1	Dendrocygna sp.	whistling-duck sp.	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
224	species	whbduc1	Thalassornis leuconotus	White-backed Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
227	species	swagoo1	Anser cygnoides	Swan Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
227.3	domestic	swagoo2	Anser cygnoides (Domestic type)	Swan Goose (Domestic type)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
228	species	taibeg1	Anser fabalis	Taiga Bean-Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
232	species	tunbeg1	Anser serrirostris	Tundra Bean-Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
235	slash	y00468	Anser fabalis/serrirostris	Taiga/Tundra Bean-Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
236	species	pifgoo	Anser brachyrhynchus	Pink-footed Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
237	species	gwfgoo	Anser albifrons	Greater White-fronted Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
238	issf	gwfgoo4	Anser albifrons albifrons	Greater White-fronted Goose (Eurasian)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		gwfgoo
239	issf	gwfgoo1	Anser albifrons flavirostris	Greater White-fronted Goose (Greenland)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		gwfgoo
240	issf	gwfgoo2	Anser albifrons gambelli/frontalis	Greater White-fronted Goose (Western)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		gwfgoo
243	issf	gwfgoo3	Anser albifrons elgasi	Greater White-fronted Goose (Tule)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		gwfgoo
247	species	lwfgoo	Anser erythropus	Lesser White-fronted Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
247.5	slash	y00707	Anser albifrons/erythropus	Greater/Lesser White-fronted Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
248	species	gragoo	Anser anser	Graylag Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
249	issf	gragoo2	Anser anser anser	Graylag Goose (European)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		gragoo
250	issf	gragoo3	Anser anser rubrirostris	Graylag Goose (Siberian)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		gragoo
251	domestic	gragoo1	Anser anser (Domestic type)	Graylag Goose (Domestic type)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
252	species	bahgoo	Anser indicus	Bar-headed Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
252.5	hybrid	x00755	Anser albifrons x indicus	Greater White-fronted x Bar-headed Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
252.7	domestic	domgoo1	Anser sp. (Domestic type)	Domestic goose sp. (Domestic type)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
253	species	empgoo	Chen canagica	Emperor Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
254	species	snogoo	Chen caerulescens	Snow Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
256.5	hybrid	x00627	Anser albifrons x Chen caerulescens	Greater White-fronted x Snow Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
259	species	rosgoo	Chen rossii	Ross's Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
259.5	hybrid	sxrgoo1	Chen caerulescens x rossii	Snow x Ross's Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
260	slash	y00469	Chen caerulescens/rossii	Snow/Ross's Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
261	species	brant	Branta bernicla	Brant	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
262	issf	dabbra1	Branta bernicla bernicla	Brant (Dark-bellied)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		brant
264	issf	atlbra1	Branta bernicla hrota	Brant (Atlantic)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		brant
266	issf	blkbra1	Branta bernicla nigricans/orientalis	Brant (Black)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		brant
266.7	form	gybbra1	Branta bernicla (Gray-bellied)	Brant (Gray-bellied)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		brant
266.8	intergrade	brant1	Branta bernicla hrota x nigricans	Brant (Atlantic x Black)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		brant
267	hybrid	x00685	Branta bernicla x Chen caerulescens	Brant x Snow Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
268	species	bargoo	Branta leucopsis	Barnacle Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
268.2	hybrid	x00756	Anser brachyrhynchus x Branta leucopsis	Pink-footed x Barnacle Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
268.4	hybrid	x00757	Anser albifrons x Branta leucopsis	Greater White-fronted x Barnacle Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
268.5	hybrid	x00649	Anser anser x Branta leucopsis	Graylag x Barnacle Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
271	species	cacgoo1	Branta hutchinsii	Cackling Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
272	issf	alcgoo1	Branta hutchinsii leucopareia	Cackling Goose (Aleutian)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cacgoo1
273	issf	ricgoo1	Branta hutchinsii hutchinsii	Cackling Goose (Richardson's)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cacgoo1
274	issf	cacgoo2	Branta hutchinsii minima	Cackling Goose (minima)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cacgoo1
276	issf	tacgoo1	Branta hutchinsii taverneri	Cackling Goose (Taverner's)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cacgoo1
276.1	hybrid	x00692	Chen caerulescens x Branta hutchinsii	Snow x Cackling Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
276.2	hybrid	x00694	Chen rossii x Branta hutchinsii	Ross's x Cackling Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
276.25	hybrid	x00722	Branta bernicla x hutchinsii	Brant x Cackling Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
276.3	hybrid	x00414	Anser albifrons x Branta hutchinsii	Greater White-fronted x Cackling Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
276.6	hybrid	x00416	Branta leucopsis x hutchinsii	Barnacle x Cackling Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
277	species	cangoo	Branta canadensis	Canada Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
278	issf	cangoo4	Branta canadensis moffitti/maxima	Canada Goose (moffitti/maxima)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cangoo
281	issf	cangoo3	Branta canadensis occidentalis/fulva	Canada Goose (occidentalis/fulva)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cangoo
284	issf	cangoo1	Branta canadensis canadensis/interior	Canada Goose (canadensis/interior)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cangoo
287	issf	lecgoo1	Branta canadensis parvipes	Canada Goose (parvipes)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		cangoo
287.1	hybrid	swagoo3	Anser cygnoides (Domestic type) x Branta canadensis	Swan Goose (Domestic type) x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.2	hybrid	x00650	Anser brachyrhynchus x Branta canadensis	Pink-footed x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.4	hybrid	x00415	Anser albifrons x Branta canadensis	Greater White-fronted x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.5	hybrid	x00758	Anser anser x Branta canadensis	Graylag Goose x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.6	hybrid	gragoo4	Anser anser (Domestic type) x Branta canadensis	Graylag Goose (Domestic type) x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.65	hybrid	x00759	Anser sp. (Domestic type) x Branta canadensis	Domestic goose sp. (Domestic type) x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.7	hybrid	x00197	Chen caerulescens x Branta canadensis	Snow x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.8	hybrid	x00693	Chen rossii x Branta canadensis	Ross's x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
287.9	hybrid	x00417	Branta leucopsis x canadensis	Barnacle x Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
288	slash	y00470	Branta hutchinsii/canadensis	Cackling/Canada Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
288.5	hybrid	y00765	Chen caerulescens/rossii x Branta hutchinsii/canadensis	Snow/Ross's x Cackling/Canada Goose (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
289	species	hawgoo	Branta sandvicensis	Hawaiian Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
290	species	rebgoo1	Branta ruficollis	Red-breasted Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
291	spuh	branta1	Branta sp.	Branta sp.	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
292	spuh	goose1	Anser/Chen/Branta sp.	goose sp.	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
293	species	cabgoo1	Cereopsis novaehollandiae	Cape Barren Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
294	species	freduc1	Stictonetta naevosa	Freckled Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
295	species	buwgoo1	Cyanochen cyanoptera	Blue-winged Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
296	species	mutswa	Cygnus olor	Mute Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
297	species	blkswa	Cygnus atratus	Black Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
298	species	blnswa2	Cygnus melancoryphus	Black-necked Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
299	species	truswa	Cygnus buccinator	Trumpeter Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
302	species	tunswa	Cygnus columbianus	Tundra Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
303	issf	tunswa1	Cygnus columbianus columbianus	Tundra Swan (Whistling)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		tunswa
304	issf	bewswa1	Cygnus columbianus bewickii	Tundra Swan (Bewick's)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		tunswa
304.3	intergrade	tunswa2	Cygnus columbianus columbianus x bewickii	Tundra Swan (Whistling x Bewick's)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		tunswa
304.5	hybrid	x00418	Cygnus buccinator x cygnus	Trumpeter x Tundra Swan (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
305	slash	y00471	Cygnus buccinator/columbianus	Trumpeter/Tundra Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
306	species	whoswa	Cygnus cygnus	Whooper Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
306.5	hybrid	x00419	Cygnus buccinator x columbianus	Trumpeter x Whooper Swan (hybrid)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
306.7	slash	y00708	Cygnus columbianus/cygnus	Tundra/Whooper Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
307	spuh	swan1	Cygnus sp.	swan sp.	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
308	species	cosswa1	Coscoroba coscoroba	Coscoroba Swan	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
309	species	comduc1	Sarkidiornis melanotos	Comb Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
310	issf	comduc2	Sarkidiornis melanotos melanotos	Comb Duck (Old World)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		comduc1
311	issf	comduc3	Sarkidiornis melanotos sylvicola	Comb Duck (South American)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		comduc1
312	species	harduc1	Pteronetta hartlaubii	Hartlaub's Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
313	species	andgoo1	Chloephaga melanoptera	Andean Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
314	species	uplgoo1	Chloephaga picta	Upland Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
317	form	uplgoo2	Chloephaga picta (White-breasted)	Upland Goose (White-breasted)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		uplgoo1
318	form	uplgoo3	Chloephaga picta (Bar-breasted)	Upland Goose (Bar-breasted)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		uplgoo1
319	species	kelgoo1	Chloephaga hybrida	Kelp Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
322	species	ashgoo1	Chloephaga poliocephala	Ashy-headed Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
323	species	ruhgoo1	Chloephaga rubidiceps	Ruddy-headed Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
324	species	origoo1	Neochen jubata	Orinoco Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
325	species	egygoo	Alopochen aegyptiaca	Egyptian Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
326	species	rudshe	Tadorna ferruginea	Ruddy Shelduck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
327	species	soashe1	Tadorna cana	South African Shelduck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
328	species	ausshe1	Tadorna tadornoides	Australian Shelduck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
329	species	parshe1	Tadorna variegata	Paradise Shelduck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
330	species	comshe	Tadorna tadorna	Common Shelduck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
331	species	radshe1	Tadorna radjah	Radjah Shelduck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
334	species	creshe1	Tadorna cristata	Crested Shelduck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
335	species	spwgoo1	Plectropterus gambensis	Spur-winged Goose	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
336	issf	spwgoo2	Plectropterus gambensis gambensis	Spur-winged Goose (Northern)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		spwgoo1
337	issf	spwgoo3	Plectropterus gambensis niger	Spur-winged Goose (Southern)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		spwgoo1
338	species	flystd1	Tachyeres patachonicus	Flying Steamer-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
339	species	flistd1	Tachyeres pteneres	Flightless Steamer-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
340	species	falstd1	Tachyeres brachypterus	Falkland Steamer-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
341	species	whhstd1	Tachyeres leucocephalus	White-headed Steamer-Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
342	spuh	steame1	Tachyeres sp.	steamer-duck sp.	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
343	species	creduc1	Lophonetta specularioides	Crested Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
346	species	speduc2	Speculanas specularis	Spectacled Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
347	species	musduc	Cairina moschata	Muscovy Duck	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
347.5	domestic	musduc3	Cairina moschata (Established Feral)	Muscovy Duck (Established Feral)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		musduc
348	domestic	musduc2	Cairina moschata (Domestic type)	Muscovy Duck (Domestic type)	Anseriformes	"Anatidae (Ducks, Geese, and Waterfowl)"		
